Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Turkey,TUR,2008,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1052975
Turkey,TUR,2007,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1039120
Turkey,TUR,2006,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1022546
Turkey,TUR,2005,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1006196
Turkey,TUR,2004,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,994061
Turkey,TUR,2003,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,983626
Turkey,TUR,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,951400
Turkey,TUR,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,937641
Turkey,TUR,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,941835
Turkey,TUR,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,924471
Turkey,TUR,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,902513
Turkey,TUR,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,874995
Turkey,TUR,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,807303
Turkey,TUR,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,776863
Turkey,TUR,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,763529
Turkey,TUR,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,746283
Turkey,TUR,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,725933
Turkey,TUR,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,701074
Turkey,TUR,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,689650
Turkey,TUR,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,670350
Turkey,TUR,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,652702
Turkey,TUR,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,635526
Turkey,TUR,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,611052
Turkey,TUR,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,582291
Turkey,TUR,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,555227
Turkey,TUR,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,512282
Turkey,TUR,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,489813
Turkey,TUR,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,457425
Turkey,TUR,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,435283
Turkey,TUR,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,401935
Turkey,TUR,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,369420
Turkey,TUR,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,320022
Turkey,TUR,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,281479
Turkey,TUR,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,242456
Turkey,TUR,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,200082
Turkey,TUR,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,155710
Turkey,TUR,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,134833
Turkey,TUR,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,117639
Turkey,TUR,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,104640
Turkey,TUR,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,95709
Turkey,TUR,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,84345
Turkey,TUR,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,73874
Turkey,TUR,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,63999
Turkey,TUR,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,52964
Turkey,TUR,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,51386
Turkey,TUR,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,50034
Turkey,TUR,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,43343
Turkey,TUR,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,42488
Turkey,TUR,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,149.39229250035
Turkey,TUR,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,188.941794821046
Turkey,TUR,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,221.413180302423
