ÝLÇE ADI;MAHALLE ADI;SULAMA SUYU KAYNAÐI YÖNETÝMÝ
Ahýrlý;ALÝÇERÇÝ;YOK
Ahýrlý;BADEMLÝ;YOK
Ahýrlý;BALIKLAVA;SULAMA BÝRLÝÐÝ
Ahýrlý;BÜYÜKÖZ;ÞAHSÝ KUYULAR
Ahýrlý;ÇÝFTLÝK;ÞAHSÝ KUYULAR
Ahýrlý;ERDOÐAN;ÞAHSÝ KUYULAR
Ahýrlý;KARACAKUYU;ÞAHSÝ KUYULAR
Ahýrlý;KAYACIK;ÞAHSÝ KUYULAR
Ahýrlý;KURUÇAY;ÞAHSÝ KUYULAR
Ahýrlý;KÜÇÜKÖZ;ÞAHSÝ KUYULAR
Akören;AVDAN;ÞAHSÝ KUYULAR
Akören;KAYASU;SULAMA KOOPERATÝFÝ
Akören;AHMEDÝYE;SULAMA KOOPERATÝFÝ
Akören;ALAN;YOK
Akören;BELKUYU;ÞAHSÝ KUYULAR
Akören;ÇATÖREN;SULAMA KOOPERATÝFÝ
Akören;DUTLU;YOK
Akören;ORHANÝYE;SULAMA KOOPERATÝFÝ
Akören;SÜLEYMANÝYE;SULAMA KOOPERATÝFÝ
Akören;TÜLCE;SULAMA KOOPERATÝFÝ
Akören;KARAHÜYÜK;SULAMA KOOPERATÝFÝ
Akþehir;ÇAKILLAR;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Akþehir;GEDÝL;SULAMA KOOPERATÝFÝ
Akþehir;KARAHÜYÜK;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Akþehir;ADSIZ;SULAMA KOOPERATÝFÝ
Akþehir;ALANYURT;ÞAHSÝ KUYULAR, SULAMA KOOPERATÝFÝ
Akþehir;ALTUNTAÞ;SULAMA KOOPERATÝFÝ
Akþehir;ATAKENT;SULAMA KOOPERATÝFÝ
Akþehir;BOZLAÐAN;SULAMA KOOPERATÝFÝ
Akþehir;CANKURTARAN;ÞAHSÝ KUYULAR
Akþehir;ÇAMLI;SULAMA BÝRLÝÐÝ
