ÝLÇE ADI;MAHALLE ADI;HAYVAN BESLEMEDE KULLANILAN ÜRÜNLER
Ahýrlý;ALÝÇERÇÝ;ARPA, HAZIR YEM
Ahýrlý;BADEMLÝ;KÜSPE, SÝLAJLIK MISIR, HAZIR YEM
Ahýrlý;BALIKLAVA;KÜSPE, ARPA, ÇAVDAR, SÝLAJLIK MISIR
Ahýrlý;BÜYÜKÖZ;BUÐDAY, KÜSPE, KEPEK, ARPA
Ahýrlý;ÇÝFTLÝK;BUÐDAY, ARPA, SAMAN, HAZIR YEM
Ahýrlý;ERDOÐAN;FÝÐ, ARPA, SAMAN, YONCA, HAZIR YEM
Ahýrlý;KARACAKUYU;SAMAN, HAZIR YEM
Ahýrlý;KAYACIK;FÝÐ, ARPA, SAMAN, HAZIR YEM
Ahýrlý;KURUÇAY;ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Ahýrlý;KÜÇÜKÖZ;KÜSPE, SAMAN, HAZIR YEM
Akören;AVDAN;HAZIR YEM
Akören;KAYASU;ARPA, SAMAN, YONCA, HAZIR YEM
Akören;AHMEDÝYE;BUÐDAY, YULAF, ARPA, SÝLAJLIK MISIR
Akören;ALAN;YULAF, FÝÐ, ARPA, SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Akören;BELKUYU;KÜSPE, ARPA, SAMAN, SÝLAJLIK MISIR, HAZIR YEM
Akören;ÇATÖREN;FÝÐ, ARPA, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Akören;DUTLU;FÝÐ, ARPA, HAZIR YEM
Akören;ORHANÝYE;KÜSPE, ARPA, SÝLAJLIK MISIR, HAZIR YEM
Akören;SÜLEYMANÝYE;FÝÐ, KÜSPE, SAMAN, YONCA, SÝLAJLIK MISIR
Akören;TÜLCE;SAMAN, YONCA, HAZIR YEM
Akören;KARAHÜYÜK;YULAF, ARPA, SAMAN, YONCA, SÝLAJLIK MISIR, HAZIR YEM
Akþehir;ÇAKILLAR;YULAF, FÝÐ, ARPA, HAZIR YEM
Akþehir;GEDÝL;ARPA, YONCA, SÝLAJLIK MISIR
Akþehir;KARAHÜYÜK;ARPA, SAMAN, HAZIR YEM
Akþehir;ADSIZ;FÝÐ, ARPA, YONCA, SÝLAJLIK MISIR
Akþehir;ALANYURT;ARPA, YONCA, HAZIR YEM
Akþehir;ALTUNTAÞ;YULAF, KÜSPE, ARPA
Akþehir;ATAKENT;FÝÐ, ARPA, SAMAN, SÝLAJLIK MISIR
Akþehir;BOZLAÐAN;YULAF, FÝÐ, ARPA, SÝLAJLIK MISIR
Akþehir;CANKURTARAN;ARPA, SAMAN, HAZIR YEM
Akþehir;ÇAMLI;YULAF, ARPA, YONCA, SÝLAJLIK MISIR
Akþehir;ÇÝMENDERE;KÜSPE, ARPA, SAMAN, YONCA
Akþehir;DEÐÝRMENKÖY;KÜSPE, KEPEK, ARPA, SAMAN
Akþehir;DOÐRUGÖZ;FÝÐ, ARPA, HAZIR YEM
Akþehir;ENGÝLÝ;FÝÐ, ARPA, SAMAN, HAZIR YEM
Akþehir;GÖLÇAYIR;HAZIR YEM
Akþehir;GÖZPINARI;YULAF, FÝÐ, YONCA, SÝLAJLIK MISIR, HAZIR YEM
