ÝLÇE ADI;MAHALLE ADI;ÝYÝ TARIM UYGULAMALARI
Ahýrlý;ALÝÇERÇÝ;HAYIR
Ahýrlý;BADEMLÝ;HAYIR
Ahýrlý;BALIKLAVA;HAYIR
Ahýrlý;BÜYÜKÖZ;HAYIR
Ahýrlý;ÇÝFTLÝK;HAYIR
Ahýrlý;ERDOÐAN;EVET
Ahýrlý;KARACAKUYU;HAYIR
Ahýrlý;KAYACIK;HAYIR
Ahýrlý;KURUÇAY;HAYIR
Ahýrlý;KÜÇÜKÖZ;HAYIR
Akören;AVDAN;HAYIR
Akören;KAYASU;HAYIR
Akören;AHMEDÝYE;HAYIR
Akören;ALAN;HAYIR
Akören;BELKUYU;HAYIR
Akören;ÇATÖREN;HAYIR
Akören;DUTLU;HAYIR
Akören;ORHANÝYE;HAYIR
Akören;SÜLEYMANÝYE;HAYIR
Akören;TÜLCE;HAYIR
Akören;KARAHÜYÜK;HAYIR
Akþehir;ÇAKILLAR;HAYIR
Akþehir;GEDÝL;HAYIR
Akþehir;KARAHÜYÜK;HAYIR
Akþehir;ADSIZ;HAYIR
Akþehir;ALANYURT;HAYIR
Akþehir;ALTUNTAÞ;HAYIR
Akþehir;ATAKENT;HAYIR
Akþehir;BOZLAÐAN;HAYIR
Akþehir;CANKURTARAN;HAYIR
Akþehir;ÇAMLI;HAYIR
Akþehir;ÇÝMENDERE;HAYIR
Akþehir;DEÐÝRMENKÖY;HAYIR
Akþehir;DOÐRUGÖZ;EVET
Akþehir;ENGÝLÝ;HAYIR
Akþehir;GÖLÇAYIR;HAYIR
Akþehir;GÖZPINARI;HAYIR
Akþehir;ILICAK;HAYIR
Akþehir;KARABULUT;HAYIR
Akþehir;ORTACA;HAYIR
Akþehir;ORTAKÖY;HAYIR
Akþehir;REÝS;HAYIR
Akþehir;SAVAÞ;HAYIR
Akþehir;SORKUN;HAYIR
Akþehir;SÖÐÜTLÜ;HAYIR
Akþehir;TEKKE;HAYIR
Akþehir;TÝPÝKÖY;HAYIR
Akþehir;ULUPINAR;EVET
Akþehir;ÜÇHÜYÜK;HAYIR
Akþehir;YAÞARLAR;HAYIR
Akþehir;YAYLABELEN;HAYIR
Akþehir;YAZLA;EVET
Akþehir;YENÝKÖY;HAYIR
Akþehir;YEÞÝLKÖY;HAYIR
Akþehir;SARAY;HAYIR
Altýnekin;OÐUZELÝ;HAYIR
Altýnekin;AKCAÞAR;HAYIR
Altýnekin;AYIÞIÐI;HAYIR
Altýnekin;AKKÖY;HAYIR
Altýnekin;BORUKKUYU;HAYIR
Altýnekin;HACINUMAN;HAYIR
Altýnekin;KARAKAYA;HAYIR
Altýnekin;KOÇAÞ;HAYIR
Altýnekin;KOÇYAKA;HAYIR
Altýnekin;MANTAR;HAYIR
Altýnekin;YENÝÖLMEZ;HAYIR
Altýnekin;SARNIÇ;HAYIR
Altýnekin;TOPRAKLIK;HAYIR
Altýnekin;YENÝKUYU;HAYIR
Altýnekin;YENÝYAYLA;HAYIR
Altýnekin;DEDELER;HAYIR
Altýnekin;AKINCILAR;HAYIR
Beyþehir;ADAKÖY;HAYIR
Beyþehir;AÐILÖNÜ;HAYIR
Beyþehir;AKBURUN;HAYIR
Beyþehir;AKÇABELEN;HAYIR
Beyþehir;AVDANCIK;HAYIR
Beyþehir;BADEMLÝ;HAYIR
Beyþehir;BAYAT;HAYIR
Beyþehir;BAYAVÞAR;HAYIR
Beyþehir;BAYINDIR;HAYIR
Beyþehir;BAÞGÖZE;HAYIR
Beyþehir;BEKDEMÝR;HAYIR
Beyþehir;DAMLAPINAR;HAYIR
