ÝLÇE ADI;MAHALLE ADI;TARIMSAL SULAMA SUYU
Ahýrlý;ALÝÇERÇÝ;YOK
Ahýrlý;BADEMLÝ;YOK
Ahýrlý;BALIKLAVA;VAR
Ahýrlý;BÜYÜKÖZ;VAR
Ahýrlý;ÇÝFTLÝK;VAR
Ahýrlý;ERDOÐAN;YOK
Ahýrlý;KARACAKUYU;VAR
Ahýrlý;KAYACIK;VAR
Ahýrlý;KURUÇAY;VAR
Ahýrlý;KÜÇÜKÖZ;VAR
Akören;AVDAN;YOK
Akören;KAYASU;VAR
Akören;AHMEDÝYE;VAR
Akören;ALAN;YOK
Akören;BELKUYU;VAR
Akören;ÇATÖREN;VAR
Akören;DUTLU;YOK
Akören;ORHANÝYE;VAR
Akören;SÜLEYMANÝYE;VAR
Akören;TÜLCE;VAR
Akören;KARAHÜYÜK;VAR
Akþehir;ÇAKILLAR;VAR
Akþehir;GEDÝL;VAR
Akþehir;KARAHÜYÜK;VAR
Akþehir;ADSIZ;VAR
Akþehir;ALANYURT;VAR
Akþehir;ALTUNTAÞ;VAR
Akþehir;ATAKENT;VAR
Akþehir;BOZLAÐAN;VAR
Akþehir;CANKURTARAN;VAR
Akþehir;ÇAMLI;VAR
Akþehir;ÇÝMENDERE;VAR
Akþehir;DEÐÝRMENKÖY;VAR
Akþehir;DOÐRUGÖZ;VAR
Akþehir;ENGÝLÝ;VAR
Akþehir;GÖLÇAYIR;VAR
Akþehir;GÖZPINARI;VAR
Akþehir;ILICAK;VAR
Akþehir;KARABULUT;VAR
Akþehir;ORTACA;VAR
Akþehir;ORTAKÖY;VAR
Akþehir;REÝS;VAR
Akþehir;SAVAÞ;VAR
Akþehir;SORKUN;VAR
Akþehir;SÖÐÜTLÜ;VAR
Akþehir;TEKKE;VAR
Akþehir;TÝPÝKÖY;VAR
Akþehir;ULUPINAR;VAR
Akþehir;ÜÇHÜYÜK;VAR
Akþehir;YAÞARLAR;VAR
Akþehir;YAYLABELEN;VAR
Akþehir;YAZLA;VAR
Akþehir;YENÝKÖY;VAR
Akþehir;YEÞÝLKÖY;VAR
Akþehir;SARAY;VAR
