Ýl;Ýlçe;Mahalle/Köy;Kaynak Türü;Kurulu Güç (kWe)
Konya;Sarayönü;Hatýp;Güneþ;200
Konya;Karapýnar;Gaziosmanpaþa;Güneþ;500
Konya;Ereðli;Zengen;Güneþ;500
Konya;Emirgazi;Merkez;Güneþ;500
Konya;Emirgazi;Merkez;Güneþ;500
Konya;Karatay;Fevziçakmak;Güneþ;24.4
Konya;Çumra;Erentepe;Güneþ;990
Konya;Tuzlukçu;Pazarkaya;Güneþ;850
Konya;Tuzlukçu;Pazarkaya;Güneþ;1000
Konya;Tuzlukçu;Pazarkaya;Güneþ;1000
Konya;Çumra;Erentepe;Güneþ;993.6
Konya;Çumra;Erentepe;Güneþ;993.6
Konya;Çumra;Erentepe;Güneþ;993.6
Konya;Çumra;Erentepe;Güneþ;993.6
Konya;Hadim;Dülgerler;Güneþ;993.6
Konya;Hadim;Dülgerler;Güneþ;993.6
Konya;Hadim;Dülgerler;Güneþ;993.6
Konya;Hadim;Dülgerler;Güneþ;993.6
Konya;Çumra;Yörükcamili;Güneþ;990
Konya;Çumra;Yörükcamili;Güneþ;990
Konya;Çumra;Yörükcamili;Güneþ;990
Konya;Çumra;Erentepe;Güneþ;990
Konya;Çumra;Avdul;Güneþ;1000
Konya;Çumra;Avdul;Güneþ;1000
Konya;Akören;Süleymaniye;Güneþ;993.6
Konya;Akören;Süleymaniye;Güneþ;1000
Konya;Kulu;Kemaliye;Güneþ;960
Konya;Kulu;Kemaliye;Güneþ;960
Konya;Kulu;Kemaliye;Güneþ;960
Konya;Kulu;Kemaliye;Güneþ;960
Konya;Karapýnar;Fevzipaþa;Güneþ;960
Konya;Altýnekin;Ölmez;Güneþ;990
Konya;Altýnekin;Ölmez;Güneþ;990
Konya;Altýnekin;Ölmez;Güneþ;990
Konya;Altýnekin;Ölmez;Güneþ;990
Konya;Karapýnar;Salur;Güneþ;1000
Konya;Selçuklu;Ýstikamet;Güneþ;358.8
Konya;Yunak;Karataþ;Güneþ;993.6
Konya;Yunak;Karataþ;Güneþ;993.6
Konya;Yunak;Karataþ;Güneþ;993.6
Konya;Yunak;Karataþ;Güneþ;966
Konya;Yunak;Karataþ;Güneþ;875.6
Konya;Yunak;Karataþ;Güneþ;966
Konya;Yunak;Karataþ;Güneþ;1000
Konya;Yunak;Karataþ;Güneþ;993.6
Konya;Sarayönü;Konar;Güneþ;1000
Konya;Sarayönü;Konar;Güneþ;1000
Konya;Güneysýnýr;Karasýnýr;Güneþ;1000
Konya;Güneysýnýr;Karasýnýr;Güneþ;750
Konya;Sarayönü;Konar;Güneþ;1000
