ÝLÇE ADI;MAHALLE ADI;DOÐRUDAN SATIN ALINABÝLECEK ÜRÜNLER
Ahýrlý;ALÝÇERÇÝ;NOHUT, BUÐDAY, ARPA, MERCÝMEK, FASULYE, SARIMSAK
Ahýrlý;BADEMLÝ;NOHUT, BUÐDAY, YULAF, ARPA, ERÝK
Ahýrlý;BALIKLAVA;ELMA, ÇÝLEK, ERÝK
Ahýrlý;BÜYÜKÖZ;BUÐDAY, ARPA
Ahýrlý;ÇÝFTLÝK;BUÐDAY, ARPA, FASULYE
Ahýrlý;ERDOÐAN;BUÐDAY, ELMA, ÜZÜM
Ahýrlý;KARACAKUYU;NOHUT, BUÐDAY, ARPA
Ahýrlý;KAYACIK;NOHUT, BUÐDAY, ELMA, DOMATES, ARPA
Ahýrlý;KURUÇAY;MISIR
Ahýrlý;KÜÇÜKÖZ;NOHUT, BUÐDAY, ELMA, ARPA, ERÝK
Akören;AVDAN;NOHUT, BUÐDAY, DOMATES, SALATALIK, BÝBER, SOÐAN
Akören;KAYASU;BUÐDAY, ELMA, ARPA, KÝRAZ, FASULYE
Akören;AHMEDÝYE;ÞEKER PANCARI, BUÐDAY, FASULYE
Akören;ALAN;NOHUT, BUÐDAY, ARPA, MERCÝMEK
Akören;BELKUYU;NOHUT, BUÐDAY, ELMA, ARPA, KÝRAZ, SUSAM
Akören;ÇATÖREN;MISIR, BUÐDAY, ARPA, ÇEREZLÝK KABAK
Akören;DUTLU;NOHUT, BUÐDAY, DOMATES, ARPA
Akören;ORHANÝYE;MISIR, ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY
Akören;SÜLEYMANÝYE;MISIR, ÞEKER PANCARI, BUÐDAY, ARPA, KAVUN, FASULYE, KARPUZ
Akören;TÜLCE;NOHUT, BUÐDAY, KORUNGA
Akören;KARAHÜYÜK;MISIR, PATATES, NOHUT, DOMATES, MERCÝMEK
Akþehir;ÇAKILLAR;KÝRAZ, ÇÝLEK, VÝÞNE, ERÝK, FASULYE
Akþehir;GEDÝL;BUÐDAY, BAMYA, ARPA, SOÐAN, VÝÞNE, FASULYE, SARIMSAK
Akþehir;KARAHÜYÜK;MISIR, ÞEKER PANCARI, BUÐDAY, DOMATES, SALATALIK, ARPA, KAVUN
Akþehir;ADSIZ;BUÐDAY, YONCA, HAÞHAÞ, ARPA, VÝÞNE
Akþehir;ALANYURT;ELMA, HAÞHAÞ, KÝRAZ, VÝÞNE
Akþehir;ALTUNTAÞ;MISIR, BUÐDAY, HAÞHAÞ, FÝÐ, ARPA
Akþehir;ATAKENT;MISIR, ELMA, KÝRAZ, VÝÞNE, ERÝK
Akþehir;BOZLAÐAN;HAÞHAÞ, DOMATES, CEVÝZ, BÝBER, SOÐAN, VÝÞNE, PATLICAN, SARIMSAK
Akþehir;CANKURTARAN;KÝRAZ, ÇÝLEK
Akþehir;ÇAMLI;ELMA, KÝRAZ, ÇÝLEK, VÝÞNE, SARIMSAK
Akþehir;ÇÝMENDERE;PATATES, DOMATES, ÇÝLEK, SOÐAN, VÝÞNE, FASULYE
Akþehir;DEÐÝRMENKÖY;KÝRAZ, VÝÞNE, ERÝK
Akþehir;DOÐRUGÖZ;ELMA, KÝRAZ, ÇÝLEK, ERÝK
Akþehir;ENGÝLÝ;BUÐDAY, ARPA, KÝRAZ, VÝÞNE, ERÝK
Akþehir;GÖLÇAYIR;PATATES, ELMA, DOMATES, ARMUT, KÝRAZ, ÇÝLEK, VÝÞNE
Akþehir;GÖZPINARI;ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA
Akþehir;ILICAK;ARPA, KÝRAZ, ÇÝLEK, SOÐAN, VÝÞNE, SARIMSAK
Akþehir;KARABULUT;ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA
Akþehir;ORTACA;BUÐDAY, DOMATES, ARPA, PATLICAN
Akþehir;ORTAKÖY;BUÐDAY, DOMATES, ARPA, BÝBER, PATLICAN
Akþehir;REÝS;NOHUT, BUÐDAY, ARPA, FASULYE
Akþehir;SAVAÞ;ELMA, ÞEFTALÝ, KÝRAZ, VÝÞNE, SARIMSAK, KAYISI
Akþehir;SORKUN;ELMA, ÞEFTALÝ, KÝRAZ, VÝÞNE, ERÝK
Akþehir;SÖÐÜTLÜ;ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA
Akþehir;TEKKE;YOK
Akþehir;TÝPÝKÖY;ÞEKER PANCARI, BUÐDAY, ASPÝR, HAÞHAÞ, ARPA, ANASON
Akþehir;ULUPINAR;KÝRAZ, VÝÞNE
Akþehir;ÜÇHÜYÜK;KÝRAZ, ÇÝLEK
Akþehir;YAÞARLAR;ÞEKER PANCARI, BUÐDAY, HAÞHAÞ, ARPA
Akþehir;YAYLABELEN;BUÐDAY, DOMATES, ARPA, ÇÝLEK, VÝÞNE, FASULYE
Akþehir;YAZLA;MISIR, ÞEKER PANCARI, PATATES, NOHUT, BUÐDAY, HAÞHAÞ, ARPA
Akþehir;YENÝKÖY;DOMATES, SALATALIK, KÝRAZ, ÇÝLEK, VÝÞNE
Akþehir;YEÞÝLKÖY;BUÐDAY, ARPA
