ÝLÇE ADI;MAHALLE ADI;SULAK ALAN MÝKTARI
Ahýrlý;ALÝÇERÇÝ;10%
Ahýrlý;BADEMLÝ;10%
Ahýrlý;BALIKLAVA;20%
Ahýrlý;BÜYÜKÖZ;5%
Ahýrlý;ÇÝFTLÝK;75%
Ahýrlý;ERDOÐAN;50%
Ahýrlý;KARACAKUYU;20%
Ahýrlý;KAYACIK;30%
Ahýrlý;KURUÇAY;10%
Ahýrlý;KÜÇÜKÖZ;0%
Akören;AVDAN;0%
Akören;KAYASU;45%
Akören;AHMEDÝYE;40%
Akören;ALAN;0%
Akören;BELKUYU;5%
Akören;ÇATÖREN;60%
Akören;DUTLU;0%
Akören;ORHANÝYE;50%
Akören;SÜLEYMANÝYE;70%
Akören;TÜLCE;20%
Akören;KARAHÜYÜK;35%
Akþehir;ÇAKILLAR;30%
Akþehir;GEDÝL;30%
Akþehir;KARAHÜYÜK;50%
Akþehir;ADSIZ;50%
Akþehir;ALANYURT;65%
Akþehir;ALTUNTAÞ;10%
Akþehir;ATAKENT;90%
Akþehir;BOZLAÐAN;50%
Akþehir;CANKURTARAN;65%
Akþehir;ÇAMLI;60%
Akþehir;ÇÝMENDERE;30%
Akþehir;DEÐÝRMENKÖY;70%
Akþehir;DOÐRUGÖZ;70%
Akþehir;ENGÝLÝ;80%
Akþehir;GÖLÇAYIR;40%
Akþehir;GÖZPINARI;25%
Akþehir;ILICAK;60%
Akþehir;KARABULUT;5%
Akþehir;ORTACA;5%
Akþehir;ORTAKÖY;20%
Akþehir;REÝS;20%
Akþehir;SAVAÞ;30%
Akþehir;SORKUN;5%
Akþehir;SÖÐÜTLÜ;100%
Akþehir;TEKKE;0%
Akþehir;TÝPÝKÖY;30%
Akþehir;ULUPINAR;50%
Akþehir;ÜÇHÜYÜK;20%
Akþehir;YAÞARLAR;50%
Akþehir;YAYLABELEN;30%
Akþehir;YAZLA;40%
Akþehir;YENÝKÖY;80%
Akþehir;YEÞÝLKÖY;30%
Akþehir;SARAY;65%
Altýnekin;OÐUZELÝ;70%
Altýnekin;AKCAÞAR;40%
Altýnekin;AYIÞIÐI;0%
Altýnekin;AKKÖY;90%
Altýnekin;BORUKKUYU;80%
Altýnekin;HACINUMAN;40%
Altýnekin;KARAKAYA;5%
Altýnekin;KOÇAÞ;5%
Altýnekin;KOÇYAKA;10%
Altýnekin;MANTAR;50%
Altýnekin;YENÝÖLMEZ;90%
Altýnekin;SARNIÇ;60%
Altýnekin;TOPRAKLIK;90%
Altýnekin;YENÝKUYU;80%
Altýnekin;YENÝYAYLA;80%
Altýnekin;DEDELER;30%
Altýnekin;AKINCILAR;70%
Beyþehir;ADAKÖY;60%
Beyþehir;AÐILÖNÜ;5%
Beyþehir;AKBURUN;70%
Beyþehir;AKÇABELEN;30%
Beyþehir;AVDANCIK;40%
Beyþehir;BADEMLÝ;0%
Beyþehir;BAYAT;30%
Beyþehir;BAYAVÞAR;40%
Beyþehir;BAYINDIR;15%
Beyþehir;BAÞGÖZE;20%
Beyþehir;BEKDEMÝR;60%
Beyþehir;DAMLAPINAR;40%
Beyþehir;DOÐANBEY;40%
Beyþehir;DOÐANCIK;40%
Beyþehir;DUMANLI;50%
Beyþehir;EMEN;30%
Beyþehir;ESENCE;50%
Beyþehir;EYLÝKLER;30%
Beyþehir;EÐÝRLER;50%
Beyþehir;FASILLAR;20%
Beyþehir;GÖKÇEKUYU;20%
Beyþehir;GÖKÇÝMEN;5%
Beyþehir;GÖLKAÞI;60%
Beyþehir;GÖLYAKA;10%
Beyþehir;GÖNEN;2%
Beyþehir;GÖÇÜ;60%
Beyþehir;GÜNDOÐDU;20%
Beyþehir;HUÐLU;20%
Beyþehir;HÜSEYÝNLER;2%
Beyþehir;ÝSAKÖY;20%
Beyþehir;KARAALÝ;40%
Beyþehir;KARABAYAT;35%
Beyþehir;KARADÝKEN;40%
Beyþehir;KARAHÝSAR;65%
Beyþehir;KAYABAÞI;2%
Beyþehir;KURUCUOVA;40%
Beyþehir;KUÞLUCA;20%
Beyþehir;KÜÇÜKAVÞAR;5%
Beyþehir;MESUTLAR;65%
Beyþehir;SADIKHACI;20%
Beyþehir;SARIKÖY;10%
Beyþehir;SEVÝNDÝK;30%
Beyþehir;ÞAMLAR;10%
Beyþehir;ÜÇPINAR;10%
Beyþehir;ÜSTÜNLER;40%
Beyþehir;ÜZÜMLÜ;25%
Beyþehir;YAZYURDU;5%
Beyþehir;YENÝDOÐAN;50%
Beyþehir;YEÞÝLDAÐ;45%
Beyþehir;YUKARIESENCE;45%
Beyþehir;YUNUSLAR;10%
Beyþehir;ÇÝFTLÝK;35%
Beyþehir;ÇÝVRÝL;10%
Beyþehir;ÇUKURAÐIL;45%
Bozkýr;ÇAÐLAYAN;15%
Bozkýr;HAMZALAR;30%
Bozkýr;AKÇAPINAR;10%
Bozkýr;ARMUTLU;20%
Bozkýr;ARSLANTAÞ;0%
Bozkýr;AYDINKIÞLA;10%
Bozkýr;AYVALCA;25%
Bozkýr;BAÐYURDU;10%
Bozkýr;BAYBAÐAN;30%
Bozkýr;BOZDAM;20%
Bozkýr;DEREÝÇÝ;50%
Bozkýr;DEREKÖY;10%
Bozkýr;ELMAAÐAÇ;5%
Bozkýr;HACILAR;15%
Bozkýr;HACIYUNUSLAR;10%
Bozkýr;HARMANPINAR;10%
Bozkýr;HÝSARLIK;10%
Bozkýr;IÞIKLAR;15%
Bozkýr;KARABAYIR;35%
Bozkýr;KARACAARDIÇ;10%
Bozkýr;KARACAHÝSAR;70%
Bozkýr;KARAYAHYA;0%
Bozkýr;KAYACILAR;0%
Bozkýr;KAYAPINAR;30%
Bozkýr;KINIK;10%
Bozkýr;KIZILÇAKIR;0%
Bozkýr;KÝLDERE;5%
Bozkýr;KOVANLIK;35%
Bozkýr;KOZAÐAÇ;60%
Bozkýr;KUÞÇA;0%
Bozkýr;KÜÇÜKHÝSARLIK;5%
Bozkýr;PINARCIK;15%
Bozkýr;SARIOÐLAN;10%
Bozkýr;SAZLI;10%
Bozkýr;SOÐUCAK;20%
Bozkýr;SORKUN;10%
Bozkýr;SÖÐÜT;25%
Bozkýr;TARLABAÞI;10%
Bozkýr;TAÞBAÞI;0%
Bozkýr;TEPEARASI;30%
Bozkýr;TEPELÝCE;5%
Bozkýr;ULUPINAR;20%
Bozkýr;ÜÇPINAR;25%
Bozkýr;YALNIZCA;5%
Bozkýr;YAZDAMI;10%
Bozkýr;YELBEYÝ;10%
Bozkýr;YENÝKÖY;20%
Bozkýr;YOLÖREN;20%
Çeltik;GÖKPINAR;30%
Çeltik;ADAKASIM;35%
Çeltik;DOÐANYURT;25%
Çeltik;KAÞÖREN;60%
Çeltik;KÜÇÜKHASAN;60%
