ÝLÇE ADI;MAHALLE ADI;MAHALLEDE KOOPERATÝF VAR MI?
Ahýrlý;ALÝÇERÇÝ;YOK
Ahýrlý;BADEMLÝ;YOK
Ahýrlý;BALIKLAVA;YOK
Ahýrlý;BÜYÜKÖZ;YOK
Ahýrlý;ÇÝFTLÝK;YOK
Ahýrlý;ERDOÐAN;YOK
Ahýrlý;KARACAKUYU;YOK
Ahýrlý;KAYACIK;YOK
Ahýrlý;KURUÇAY;YOK
Ahýrlý;KÜÇÜKÖZ;YOK
Akören;AVDAN;YOK
Akören;KAYASU;TARIMSAL SULAMA KOOPERATÝFÝ
Akören;AHMEDÝYE;TARIMSAL SULAMA KOOPERATÝFÝ
Akören;ALAN;YOK
Akören;BELKUYU;YOK
Akören;ÇATÖREN;TARIMSAL SULAMA KOOPERATÝFÝ
Akören;DUTLU;YOK
Akören;ORHANÝYE;TARIMSAL SULAMA KOOPERATÝFÝ
Akören;SÜLEYMANÝYE;TARIMSAL SULAMA KOOPERATÝFÝ
Akören;TÜLCE;TARIMSAL SULAMA KOOPERATÝFÝ
Akören;KARAHÜYÜK;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;ÇAKILLAR;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Akþehir;GEDÝL;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Akþehir;KARAHÜYÜK;TARIMSAL SULAMA KOOPERATÝFÝ, SÜT KOOPERATÝFÝ
Akþehir;ADSIZ;TARIMSAL KALKINMA KOOPERATÝFÝ, TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;ALANYURT;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;ALTUNTAÞ;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;ATAKENT;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;BOZLAÐAN;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;CANKURTARAN;TARIMSAL SULAMA KOOPERATÝFÝ
Akþehir;ÇAMLI;TARIMSAL SATIÞ KOOPERATÝFÝ
