ÝLÇE ADI;MAHALLE ADI;TRAKTÖR SAYISI
Ahýrlý;ALÝÇERÇÝ;10 Adet
Ahýrlý;BADEMLÝ;70 Adet
Ahýrlý;BALIKLAVA;25 Adet
Ahýrlý;BÜYÜKÖZ;5 Adet
Ahýrlý;ÇÝFTLÝK;40 Adet
Ahýrlý;ERDOÐAN;6 Adet
Ahýrlý;KARACAKUYU;11 Adet
Ahýrlý;KAYACIK;30 Adet
Ahýrlý;KURUÇAY;5 Adet
Ahýrlý;KÜÇÜKÖZ;1 Adet
Akören;AVDAN;50 Adet
Akören;KAYASU;90 Adet
Akören;AHMEDÝYE;15 Adet
Akören;ALAN;50 Adet
Akören;BELKUYU;30 Adet
Akören;ÇATÖREN;80 Adet
Akören;DUTLU;1 Adet
Akören;ORHANÝYE;40 Adet
Akören;SÜLEYMANÝYE;35 Adet
Akören;TÜLCE;100 Adet
Akören;KARAHÜYÜK;40 Adet
Akþehir;ÇAKILLAR;500 Adet
Akþehir;GEDÝL;150 Adet
Akþehir;KARAHÜYÜK;700 Adet
Akþehir;ADSIZ;30 Adet
Akþehir;ALANYURT;35 Adet
Akþehir;ALTUNTAÞ;300 Adet
Akþehir;ATAKENT;70 Adet
Akþehir;BOZLAÐAN;30 Adet
Akþehir;CANKURTARAN;20 Adet
Akþehir;ÇAMLI;120 Adet
Akþehir;ÇÝMENDERE;25 Adet
Akþehir;DEÐÝRMENKÖY;60 Adet
Akþehir;DOÐRUGÖZ;70 Adet
Akþehir;ENGÝLÝ;150 Adet
Akþehir;GÖLÇAYIR;300 Adet
Akþehir;GÖZPINARI;170 Adet
Akþehir;ILICAK;200 Adet
Akþehir;KARABULUT;100 Adet
Akþehir;ORTACA;20 Adet
Akþehir;ORTAKÖY;100 Adet
Akþehir;REÝS;250 Adet
Akþehir;SAVAÞ;60 Adet
Akþehir;SORKUN;110 Adet
Akþehir;SÖÐÜTLÜ;50 Adet
Akþehir;TEKKE;1 Adet
Akþehir;TÝPÝKÖY;50 Adet
Akþehir;ULUPINAR;20 Adet
Akþehir;ÜÇHÜYÜK;15 Adet
Akþehir;YAÞARLAR;60 Adet
Akþehir;YAYLABELEN;130 Adet
Akþehir;YAZLA;300 Adet
Akþehir;YENÝKÖY;100 Adet
Akþehir;YEÞÝLKÖY;70 Adet
Akþehir;SARAY;50 Adet
Altýnekin;OÐUZELÝ;300 Adet
Altýnekin;AKCAÞAR;70 Adet
Altýnekin;AYIÞIÐI;30 Adet
Altýnekin;AKKÖY;60 Adet
Altýnekin;BORUKKUYU;50 Adet
Altýnekin;HACINUMAN;100 Adet
Altýnekin;KARAKAYA;30 Adet
Altýnekin;KOÇAÞ;25 Adet
Altýnekin;KOÇYAKA;80 Adet
Altýnekin;MANTAR;60 Adet
Altýnekin;YENÝÖLMEZ;120 Adet
Altýnekin;SARNIÇ;100 Adet
Altýnekin;TOPRAKLIK;50 Adet
Altýnekin;YENÝKUYU;150 Adet
Altýnekin;YENÝYAYLA;65 Adet
Altýnekin;DEDELER;500 Adet
Altýnekin;AKINCILAR;1200 Adet
Beyþehir;ADAKÖY;40 Adet
Beyþehir;AÐILÖNÜ;150 Adet
Beyþehir;AKBURUN;100 Adet
Beyþehir;AKÇABELEN;80 Adet
Beyþehir;AVDANCIK;40 Adet
Beyþehir;BADEMLÝ;40 Adet
Beyþehir;BAYAT;30 Adet
Beyþehir;BAYAVÞAR;15 Adet
Beyþehir;BAYINDIR;150 Adet
Beyþehir;BAÞGÖZE;15 Adet
Beyþehir;BEKDEMÝR;45 Adet
Beyþehir;DAMLAPINAR;70 Adet
Beyþehir;DOÐANBEY;150 Adet
Beyþehir;DOÐANCIK;70 Adet
Beyþehir;DUMANLI;8 Adet
Beyþehir;EMEN;500 Adet
Beyþehir;ESENCE;300 Adet
Beyþehir;EYLÝKLER;60 Adet
Beyþehir;EÐÝRLER;80 Adet
Beyþehir;FASILLAR;25 Adet
Beyþehir;GÖKÇEKUYU;30 Adet
Beyþehir;GÖKÇÝMEN;150 Adet
Beyþehir;GÖLKAÞI;54 Adet
Beyþehir;GÖLYAKA;80 Adet
Beyþehir;GÖNEN;2 Adet
Beyþehir;GÖÇÜ;180 Adet
Beyþehir;GÜNDOÐDU;20 Adet
Beyþehir;HUÐLU;2 Adet
Beyþehir;HÜSEYÝNLER;45 Adet
Beyþehir;ÝSAKÖY;150 Adet
Beyþehir;KARAALÝ;250 Adet
Beyþehir;KARABAYAT;35 Adet
Beyþehir;KARADÝKEN;50 Adet
Beyþehir;KARAHÝSAR;40 Adet
Beyþehir;KAYABAÞI;5 Adet
Beyþehir;KURUCUOVA;10 Adet
Beyþehir;KUÞLUCA;40 Adet
Beyþehir;KÜÇÜKAVÞAR;10 Adet
Beyþehir;MESUTLAR;40 Adet
Beyþehir;SADIKHACI;671 Adet
Beyþehir;SARIKÖY;80 Adet
Beyþehir;SEVÝNDÝK;300 Adet
Beyþehir;ÞAMLAR;3 Adet
Beyþehir;ÜÇPINAR;10 Adet
Beyþehir;ÜSTÜNLER;60 Adet
Beyþehir;ÜZÜMLÜ;30 Adet
Beyþehir;YAZYURDU;30 Adet
Beyþehir;YENÝDOÐAN;150 Adet
Beyþehir;YEÞÝLDAÐ;150 Adet
Beyþehir;YUKARIESENCE;20 Adet
Beyþehir;YUNUSLAR;40 Adet
Beyþehir;ÇÝFTLÝK;60 Adet
Beyþehir;ÇÝVRÝL;10 Adet
Beyþehir;ÇUKURAÐIL;70 Adet
Bozkýr;ÇAÐLAYAN;4 Adet
Bozkýr;HAMZALAR;6 Adet
Bozkýr;AKÇAPINAR;40 Adet
Bozkýr;ARMUTLU;35 Adet
Bozkýr;ARSLANTAÞ;0 Adet
Bozkýr;AYDINKIÞLA;2 Adet
Bozkýr;AYVALCA;25 Adet
Bozkýr;BAÐYURDU;25 Adet
Bozkýr;BAYBAÐAN;0 Adet
Bozkýr;BOZDAM;10 Adet
Bozkýr;DEREÝÇÝ;5 Adet
Bozkýr;DEREKÖY;2 Adet
Bozkýr;ELMAAÐAÇ;5 Adet
Bozkýr;HACILAR;5 Adet
Bozkýr;HACIYUNUSLAR;5 Adet
Bozkýr;HARMANPINAR;45 Adet
Bozkýr;HÝSARLIK;1 Adet
Bozkýr;IÞIKLAR;0 Adet
Bozkýr;KARABAYIR;6 Adet
Bozkýr;KARACAARDIÇ;15 Adet
Bozkýr;KARACAHÝSAR;0 Adet
Bozkýr;KARAYAHYA;25 Adet
Bozkýr;KAYACILAR;12 Adet
Bozkýr;KAYAPINAR;0 Adet
Bozkýr;KINIK;8 Adet
Bozkýr;KIZILÇAKIR;4 Adet
Bozkýr;KÝLDERE;40 Adet
Bozkýr;KOVANLIK;1 Adet
Bozkýr;KOZAÐAÇ;8 Adet
Bozkýr;KUÞÇA;5 Adet
Bozkýr;KÜÇÜKHÝSARLIK;0 Adet
Bozkýr;PINARCIK;2 Adet
Bozkýr;SARIOÐLAN;90 Adet
Bozkýr;SAZLI;50 Adet
Bozkýr;SOÐUCAK;2 Adet
Bozkýr;SORKUN;1 Adet
Bozkýr;SÖÐÜT;0 Adet
Bozkýr;TARLABAÞI;0 Adet
Bozkýr;TAÞBAÞI;1 Adet
Bozkýr;TEPEARASI;0 Adet
Bozkýr;TEPELÝCE;2 Adet
Bozkýr;ULUPINAR;2 Adet
Bozkýr;ÜÇPINAR;0 Adet
Bozkýr;YALNIZCA;0 Adet
Bozkýr;YAZDAMI;2 Adet
Bozkýr;YELBEYÝ;7 Adet
Bozkýr;YENÝKÖY;15 Adet
Bozkýr;YOLÖREN;10 Adet
Çeltik;GÖKPINAR;400 Adet
Çeltik;ADAKASIM;120 Adet
Çeltik;DOÐANYURT;35 Adet
Çeltik;KAÞÖREN;150 Adet
Çeltik;KÜÇÜKHASAN;150 Adet
Çeltik;TORUNLAR;120 Adet
Çeltik;ÝSHAKUÞAÐI;400 Adet
Çeltik;HONAMLI;1200 Adet
Cihanbeyli;BÖÐRÜDELÝK;300 Adet
Cihanbeyli;YAPALI;100 Adet
Cihanbeyli;YENÝCEOBA;900 Adet
Cihanbeyli;CUMHURÝYET;45 Adet
Cihanbeyli;GEMECÝK;45 Adet
Cihanbeyli;GÖKTEPE;45 Adet
Cihanbeyli;AÐABEYLÝ;200 Adet
Cihanbeyli;HODOÐLU;120 Adet
Cihanbeyli;KAYI;35 Adet
Cihanbeyli;KIRKIÞLA;50 Adet
Cihanbeyli;KORKMAZLAR;50 Adet
Cihanbeyli;KÜÇÜKBEÞKAVAK;100 Adet
Cihanbeyli;MUTLUKONAK;80 Adet
Cihanbeyli;SAÐLIK;80 Adet
Cihanbeyli;SIÐIRCIK;20 Adet
Cihanbeyli;TURANLAR;500 Adet
Cihanbeyli;TÜFEKÇÝPINAR;30 Adet
Cihanbeyli;UZUNCAYAYLA;30 Adet
Cihanbeyli;YÜNLÜKUYU;15 Adet
Cihanbeyli;ZAFERÝYE;100 Adet
Cihanbeyli;GÖLYAZI;500 Adet
Cihanbeyli;GÜNYÜZÜ;300 Adet
Cihanbeyli;ÝNSUYU;200 Adet
Cihanbeyli;KANDÝL;300 Adet
Cihanbeyli;KARABAÐ;100 Adet
Cihanbeyli;KELHASAN;500 Adet
Cihanbeyli;KUÞCA;200 Adet
Cihanbeyli;KÜTÜKUÞAÐI;300 Adet
Cihanbeyli;TAÞPINAR;1000 Adet
Cihanbeyli;BEYLÝOVA;100 Adet
Cihanbeyli;ÇÝMEN;80 Adet
Cihanbeyli;ÇÖL;250 Adet
Cihanbeyli;DAMLAKUYU;100 Adet
Cihanbeyli;BULDUK;30 Adet
Cihanbeyli;BÜYÜKBEÞKAVAK;45 Adet
Cihanbeyli;KARATEPE;50 Adet
Çumra;ARIKÖREN;550 Adet
Çumra;DEDEMOÐLU;200 Adet
Çumra;TÜRKMENCAMÝLÝ;200 Adet
Çumra;A.B.HÜYÜÐÜ;550 Adet
Çumra;DÝNEK;200 Adet
Çumra;ÝÇERÝÇUMRA;300 Adet
Çumra;GÜVERCÝNLÝK;250 Adet
Çumra;KARKIN;750 Adet
Çumra;OKÇU;550 Adet
Çumra;YENÝSU;400 Adet
Çumra;APA;200 Adet
Çumra;ABDÝTOLU;300 Adet
Çumra;ADAKALE;700 Adet
Çumra;ALEMDAR;160 Adet
Çumra;APASARAYCIK;100 Adet
Çumra;AFÞAR;7 Adet
Çumra;AVDUL;100 Adet
Çumra;BALÇIKHÝSAR;50 Adet
Çumra;BEYLERCE;25 Adet
