ÝLÇE ADI;MAHALLE ADI;BÝREYSEL ARAZÝ ORTALAMASI
Ahýrlý;ALÝÇERÇÝ;30 Dekar
Ahýrlý;BADEMLÝ;100 Dekar
Ahýrlý;BALIKLAVA;60 Dekar
Ahýrlý;BÜYÜKÖZ;90 Dekar
Ahýrlý;ÇÝFTLÝK;50 Dekar
Ahýrlý;ERDOÐAN;20 Dekar
Ahýrlý;KARACAKUYU;30 Dekar
Ahýrlý;KAYACIK;45 Dekar
Ahýrlý;KURUÇAY;10 Dekar
Ahýrlý;KÜÇÜKÖZ;70 Dekar
Akören;AVDAN;15 Dekar
Akören;KAYASU;70 Dekar
Akören;AHMEDÝYE;100 Dekar
Akören;ALAN;80 Dekar
Akören;BELKUYU;20 Dekar
Akören;ÇATÖREN;45 Dekar
Akören;DUTLU;50 Dekar
Akören;ORHANÝYE;25 Dekar
Akören;SÜLEYMANÝYE;300 Dekar
Akören;TÜLCE;50 Dekar
Akören;KARAHÜYÜK;70 Dekar
Akþehir;ÇAKILLAR;25 Dekar
Akþehir;GEDÝL;100 Dekar
Akþehir;KARAHÜYÜK;Dekar
Akþehir;ADSIZ;25 Dekar
Akþehir;ALANYURT;35 Dekar
Akþehir;ALTUNTAÞ;50 Dekar
Akþehir;ATAKENT;9 Dekar
Akþehir;BOZLAÐAN;25 Dekar
Akþehir;CANKURTARAN;25 Dekar
Akþehir;ÇAMLI;25 Dekar
Akþehir;ÇÝMENDERE;35 Dekar
Akþehir;DEÐÝRMENKÖY;40 Dekar
Akþehir;DOÐRUGÖZ;6 Dekar
Akþehir;ENGÝLÝ;20 Dekar
Akþehir;GÖLÇAYIR;25 Dekar
Akþehir;GÖZPINARI;150 Dekar
Akþehir;ILICAK;20 Dekar
Akþehir;KARABULUT;40 Dekar
Akþehir;ORTACA;11 Dekar
Akþehir;ORTAKÖY;25 Dekar
Akþehir;REÝS;30 Dekar
Akþehir;SAVAÞ;20 Dekar
Akþehir;SORKUN;25 Dekar
Akþehir;SÖÐÜTLÜ;20 Dekar
Akþehir;TEKKE;5 Dekar
Akþehir;TÝPÝKÖY;40 Dekar
Akþehir;ULUPINAR;10 Dekar
Akþehir;ÜÇHÜYÜK;15 Dekar
Akþehir;YAÞARLAR;40 Dekar
Akþehir;YAYLABELEN;40 Dekar
Akþehir;YAZLA;30 Dekar
Akþehir;YENÝKÖY;6 Dekar
Akþehir;YEÞÝLKÖY;80 Dekar
Akþehir;SARAY;9 Dekar
Altýnekin;OÐUZELÝ;100 Dekar
Altýnekin;AKCAÞAR;90 Dekar
Altýnekin;AYIÞIÐI;200 Dekar
Altýnekin;AKKÖY;300 Dekar
Altýnekin;BORUKKUYU;400 Dekar
Altýnekin;HACINUMAN;150 Dekar
Altýnekin;KARAKAYA;50 Dekar
Altýnekin;KOÇAÞ;120 Dekar
Altýnekin;KOÇYAKA;200 Dekar
Altýnekin;MANTAR;100 Dekar
Altýnekin;YENÝÖLMEZ;75 Dekar
Altýnekin;SARNIÇ;50 Dekar
Altýnekin;TOPRAKLIK;50 Dekar
Altýnekin;YENÝKUYU;250 Dekar
Altýnekin;YENÝYAYLA;40 Dekar
Altýnekin;DEDELER;250 Dekar
Altýnekin;AKINCILAR;350 Dekar
Beyþehir;ADAKÖY;35 Dekar
Beyþehir;AÐILÖNÜ;25 Dekar
Beyþehir;AKBURUN;60 Dekar
Beyþehir;AKÇABELEN;50 Dekar
Beyþehir;AVDANCIK;60 Dekar
Beyþehir;BADEMLÝ;35 Dekar
Beyþehir;BAYAT;30 Dekar
Beyþehir;BAYAVÞAR;25 Dekar
Beyþehir;BAYINDIR;60 Dekar
Beyþehir;BAÞGÖZE;40 Dekar
Beyþehir;BEKDEMÝR;50 Dekar
Beyþehir;DAMLAPINAR;45 Dekar
Beyþehir;DOÐANBEY;25 Dekar
Beyþehir;DOÐANCIK;60 Dekar
Beyþehir;DUMANLI;20 Dekar
Beyþehir;EMEN;70 Dekar
Beyþehir;ESENCE;35 Dekar
Beyþehir;EYLÝKLER;30 Dekar
Beyþehir;EÐÝRLER;80 Dekar
Beyþehir;FASILLAR;30 Dekar
Beyþehir;GÖKÇEKUYU;100 Dekar
Beyþehir;GÖKÇÝMEN;50 Dekar
Beyþehir;GÖLKAÞI;70 Dekar
Beyþehir;GÖLYAKA;20 Dekar
