ÝLÇE ADI;MAHALLE ADI;ALTERNATÝF YENÝ ÜRÜN ÇEÞÝTLERÝ ÜRETÝMÝ
Ahýrlý;ALÝÇERÇÝ;AYÇÝÇEÐÝ
Ahýrlý;BADEMLÝ;YOK
Ahýrlý;BALIKLAVA;YOK
Ahýrlý;BÜYÜKÖZ;YOK
Ahýrlý;ÇÝFTLÝK;YOK
Ahýrlý;ERDOÐAN;YOK
Ahýrlý;KARACAKUYU;YOK
Ahýrlý;KAYACIK;YOK
Ahýrlý;KURUÇAY;YOK
Ahýrlý;KÜÇÜKÖZ;YOK
Akören;AVDAN;YOK
Akören;KAYASU;BEZELYE
Akören;AHMEDÝYE;YOK
Akören;ALAN;ASPÝR
Akören;BELKUYU;SÝLAJLIK MISIR
Akören;ÇATÖREN;YOK
Akören;DUTLU;YOK
Akören;ORHANÝYE;KÝNOA, ASPÝR, ÇÖREKOTU
Akören;SÜLEYMANÝYE;SUSAM, ASPÝR
Akören;TÜLCE;YOK
Akören;KARAHÜYÜK;ASPÝR
Akþehir;ÇAKILLAR;YOK
Akþehir;GEDÝL;ASPÝR
Akþehir;KARAHÜYÜK;YOK
Akþehir;ADSIZ;ÇÝLEK
Akþehir;ALANYURT;YOK
Akþehir;ALTUNTAÞ;YOK
Akþehir;ATAKENT;ÇÝLEK
Akþehir;BOZLAÐAN;MISIR, ASPÝR
Akþehir;CANKURTARAN;YOK
Akþehir;ÇAMLI;YOK
Akþehir;ÇÝMENDERE;YOK
Akþehir;DEÐÝRMENKÖY;CEVÝZ
Akþehir;DOÐRUGÖZ;SARIMSAK, ASPÝR
Akþehir;ENGÝLÝ;YOK
Akþehir;GÖLÇAYIR;YOK
Akþehir;GÖZPINARI;YOK
Akþehir;ILICAK;YOK
Akþehir;KARABULUT;YOK
Akþehir;ORTACA;YOK
Akþehir;ORTAKÖY;YOK
Akþehir;REÝS;ASPÝR
Akþehir;SAVAÞ;YOK
Akþehir;SORKUN;ÇÝLEK, AHUDUDU
Akþehir;SÖÐÜTLÜ;YOK
Akþehir;TEKKE;YOK
Akþehir;TÝPÝKÖY;YOK
Akþehir;ULUPINAR;YOK
Akþehir;ÜÇHÜYÜK;YOK
Akþehir;YAÞARLAR;ASPÝR
Akþehir;YAYLABELEN;YOK
Akþehir;YAZLA;NOHUT, ASPÝR, ÇÖREKOTU
Akþehir;YENÝKÖY;YOK
Akþehir;YEÞÝLKÖY;YOK
Akþehir;SARAY;YOK
Altýnekin;OÐUZELÝ;YOK
Altýnekin;AKCAÞAR;YOK
Altýnekin;AYIÞIÐI;YOK
Altýnekin;AKKÖY;YOK
Altýnekin;BORUKKUYU;PATATES, ÇEREZLÝK KABAK, GÜL
Altýnekin;HACINUMAN;ASPÝR
Altýnekin;KARAKAYA;YOK
Altýnekin;KOÇAÞ;KÝMYON
Altýnekin;KOÇYAKA;YOK
Altýnekin;MANTAR;YOK
Altýnekin;YENÝÖLMEZ;SÝLAJLIK MISIR, FASULYE
Altýnekin;SARNIÇ;KANOLA, ASPÝR
Altýnekin;TOPRAKLIK;YOK
Altýnekin;YENÝKUYU;KANOLA
Altýnekin;YENÝYAYLA;YOK
Altýnekin;DEDELER;SÝLAJLIK MISIR, KÝNOA, ÇÖREKOTU
Altýnekin;AKINCILAR;YOK
Beyþehir;ADAKÖY;ÇÝLEK
Beyþehir;AÐILÖNÜ;YOK
Beyþehir;AKBURUN;YOK
Beyþehir;AKÇABELEN;ÞEKER PANCARI
Beyþehir;AVDANCIK;PATATES
Beyþehir;BADEMLÝ;YOK
Beyþehir;BAYAT;YOK
Beyþehir;BAYAVÞAR;YOK
Beyþehir;BAYINDIR;YOK
Beyþehir;BAÞGÖZE;YOK
Beyþehir;BEKDEMÝR;YOK
Beyþehir;DAMLAPINAR;KANOLA, LAVANTA
Beyþehir;DOÐANBEY;SÝLAJLIK MISIR, FÝÐ, KORUNGA
Beyþehir;DOÐANCIK;YOK
Beyþehir;DUMANLI;YOK
