ÝLÇE ADI;MAHALLE ADI;ENDEMÝK (SADECE BU BÖLGEDE YETÝÞEN) BÝTKÝLER
Ahýrlý;ALÝÇERÇÝ;YOK
Ahýrlý;BADEMLÝ;YOK
Ahýrlý;BALIKLAVA;YOK
Ahýrlý;BÜYÜKÖZ;YOK
Ahýrlý;ÇÝFTLÝK;YOK
Ahýrlý;ERDOÐAN;YOK
Ahýrlý;KARACAKUYU;YOK
Ahýrlý;KAYACIK;YOK
Ahýrlý;KURUÇAY;YOK
Ahýrlý;KÜÇÜKÖZ;YOK
Akören;AVDAN;YOK
Akören;KAYASU;YOK
Akören;AHMEDÝYE;YOK
Akören;ALAN;YOK
Akören;BELKUYU;YOK
Akören;ÇATÖREN;YOK
Akören;DUTLU;YOK
Akören;ORHANÝYE;YOK
Akören;SÜLEYMANÝYE;YOK
Akören;TÜLCE;YOK
Akören;KARAHÜYÜK;YOK
Akþehir;ÇAKILLAR;YOK
Akþehir;GEDÝL;YOK
Akþehir;KARAHÜYÜK;YOK
Akþehir;ADSIZ;YOK
Akþehir;ALANYURT;YOK
Akþehir;ALTUNTAÞ;YOK
Akþehir;ATAKENT;YOK
Akþehir;BOZLAÐAN;YOK
Akþehir;CANKURTARAN;YOK
Akþehir;ÇAMLI;YOK
Akþehir;ÇÝMENDERE;YOK
Akþehir;DEÐÝRMENKÖY;YOK
Akþehir;DOÐRUGÖZ;YOK
Akþehir;ENGÝLÝ;YOK
Akþehir;GÖLÇAYIR;YOK
Akþehir;GÖZPINARI;YOK
Akþehir;ILICAK;YOK
Akþehir;KARABULUT;YOK
Akþehir;ORTACA;YOK
Akþehir;ORTAKÖY;YOK
Akþehir;REÝS;YOK
Akþehir;SAVAÞ;YOK
Akþehir;SORKUN;SARI MEYAN
Akþehir;SÖÐÜTLÜ;YOK
Akþehir;TEKKE;YOK
Akþehir;TÝPÝKÖY;YOK
Akþehir;ULUPINAR;YOK
Akþehir;ÜÇHÜYÜK;YOK
Akþehir;YAÞARLAR;YOK
Akþehir;YAYLABELEN;YOK
Akþehir;YAZLA;YOK
Akþehir;YENÝKÖY;YOK
