ÝLÇE ADI;MAHALLE ADI;TIBBÝ VE AROMATÝK BÝTKÝ YETÝÞTÝRÝCÝLÝÐÝ
Ahýrlý;ALÝÇERÇÝ;YOK
Ahýrlý;BADEMLÝ;YOK
Ahýrlý;BALIKLAVA;ÇÖREKOTU, NANE, DAÐ ÇAYI
Ahýrlý;BÜYÜKÖZ;YOK
Ahýrlý;ÇÝFTLÝK;YOK
Ahýrlý;ERDOÐAN;LAVANTA
Ahýrlý;KARACAKUYU;YOK
Ahýrlý;KAYACIK;LAVANTA, NANE, DAÐ ÇAYI
Ahýrlý;KURUÇAY;ADA ÇAYI
Ahýrlý;KÜÇÜKÖZ;YOK
Akören;AVDAN;KEKÝK
Akören;KAYASU;NANE, EKÝNEZYA, KEKÝK, ADA ÇAYI
Akören;AHMEDÝYE;YOK
Akören;ALAN;YOK
Akören;BELKUYU;ÇÖREKOTU
Akören;ÇATÖREN;NANE, KEKÝK, ADA ÇAYI
Akören;DUTLU;NANE, DAÐ ÇAYI, KEKÝK
Akören;ORHANÝYE;ÇÖREKOTU
Akören;SÜLEYMANÝYE;YOK
Akören;TÜLCE;YOK
Akören;KARAHÜYÜK;YOK
Akþehir;ÇAKILLAR;KEKÝK, ADA ÇAYI
Akþehir;GEDÝL;NANE, KEKÝK, KÝMYON
Akþehir;KARAHÜYÜK;HAÞHAÞ
Akþehir;ADSIZ;YOK
Akþehir;ALANYURT;YOK
Akþehir;ALTUNTAÞ;ÇÖREKOTU, KEKÝK
Akþehir;ATAKENT;HAÞHAÞ
Akþehir;BOZLAÐAN;YOK
Akþehir;CANKURTARAN;YOK
Akþehir;ÇAMLI;ÇÖREKOTU, NANE, KEKÝK
Akþehir;ÇÝMENDERE;ÇÖREKOTU
Akþehir;DEÐÝRMENKÖY;YOK
Akþehir;DOÐRUGÖZ;YOK
Akþehir;ENGÝLÝ;KATRAN, ÇÖREKOTU
Akþehir;GÖLÇAYIR;YOK
Akþehir;GÖZPINARI;ÇÖREKOTU
Akþehir;ILICAK;YOK
Akþehir;KARABULUT;ÇÖREKOTU
Akþehir;ORTACA;YOK
