|||Sütunlar|||||||||||||||||||||||||||||||
Satırlar|||Konya(Ahırlı)-1868|Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Taşkent)-1848|Konya(Tuzlukçu)-1990|Konya(Yalıhüyük)-1994|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||
Canlı Hayvan Sayısı (Baş)|01.41.10.01.01. (Süt Sığırları, Canlı (Saf Kültür), 2 Ve Daha Yukarı Yaşta (İnek))|2016|3011.0|2250.0|4350.0|965.0|6990.0|2102.0|7050.0|1639.0|330.0|2678.0|9860.0|43008.0|3250.0|700.0|3319.0|3060.0|12100.0|12100.0|19750.0|11270.0|1000.0|5145.0|3850.0|2820.0|9246.0|108.0|3020.0|307.0|4250.0|1350.0|30780.0|
|01.41.10.01.02. (Süt Sığırları, Canlı (Saf Kültür), 1 - 2 Yaş Arası Dişi (Düve))|2016|681.0|700.0|5685.0|1500.0|5250.0|883.0|1775.0|416.0|70.0|906.0|2510.0|18737.0|1100.0|150.0|757.0|764.0|2210.0|2750.0|5200.0|3460.0|170.0|4042.0|1420.0|649.0|2417.0|53.0|895.0|54.0|1170.0|105.0|7250.0|
|01.41.10.02.01. (Süt Sığırları, Canlı (Kültür Melezi), 2 Ve Daha Yukarı Yaşta (İnek))|2016|323.0|360.0|1140.0|5000.0|2700.0|1987.0|8500.0|158.0|110.0|468.0|610.0|2627.0|500.0|290.0|90.0|298.0|9500.0|1250.0|6000.0|15380.0|2700.0|5724.0|4500.0|1607.0|4746.0|52.0|1095.0|50.0|1670.0|355.0|2020.0|
|01.41.10.02.02. (Süt Sığırları, Canlı (Kültür Melezi), 1 - 2 Yaş Arası Dişi (Düve))|2016|91.0|98.0|1664.0|1200.0|2641.0|1197.0|2050.0|111.0|70.0|149.0|140.0|1833.0|150.0|30.0|71.0|80.0|2280.0|500.0|1125.0|4850.0|610.0|4125.0|1670.0|745.0|1020.0|23.0|135.0|1.0|552.0|75.0|650.0|
|01.41.10.03.01. (Süt Sığırları, Canlı (Yerli), 2 Ve Daha Yukarı Yaşta (İnek))|2016|87.0|78.0|615.0|22.0|1160.0|50.0|600.0|6.0|37.0|166.0|2.0|559.0|20.0|155.0||10.0|830.0|180.0|140.0|1650.0|2840.0|2321.0|120.0|98.0|1863.0|19.0|93.0|15.0|198.0|100.0|490.0|
|01.41.10.03.02. (Süt Sığırları, Canlı (Yerli), 1 - 2 Yaş Arası Dişi (Düve))|2016|42.0|14.0|950.0|9.0|335.0|53.0|175.0|5.0|26.0|50.0|0.0|169.0|0.0|80.0||8.0|240.0|70.0|120.0|700.0|800.0|2011.0|58.0|75.0|540.0|50.0|4.0|0.0|251.0|10.0|280.0|
|01.41.10.04.01. (Süt Sığırları, Canlı (Manda), 2 Ve Daha Yukarı Yaşta (İnek))|2016|||||61.0|||||||||||2.0|7.0|||||60.0|||||||||5.0|
|01.41.10.04.02. (Süt Sığırları, Canlı (Manda), 1 - 2 Yaş Arası Dişi (Düve))|2016|||||16.0|||||||||||0.0|6.0|||||9.0|||||||||2.0|
|01.42.11.01.01. (Saf Kültür Sığırları, Canlı, 2 Ve Daha Yukarı Yaşta (Boğa))|2016|241.0|220.0|113.0|38.0|280.0|144.0|110.0|102.0|24.0|171.0|310.0|511.0|95.0|90.0|147.0|37.0|380.0|750.0|2250.0|750.0|120.0|3815.0|40.0|345.0|1580.0|8.0|650.0|8.0|400.0|190.0|2900.0|
|01.42.11.01.02. (Saf Kültür Sığırları, Canlı, 2 Ve Daha Yukarı Yaşta (Öküz))|2016|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|
|01.42.11.01.03. (Saf Kültür Sığırları, Canlı, 1 - 2 Yaş Arası Erkek (Tosun))|2016|690.0|470.0|2590.0|200.0|2525.0|464.0|1850.0|373.0|65.0|780.0|2120.0|15619.0|360.0|90.0|383.0|690.0|1200.0|3900.0|2500.0|5890.0|400.0|4612.0|650.0|825.0|1945.0|24.0|512.0|49.0|990.0|500.0|7100.0|
|01.42.11.02.01. (Melez Sığırlar, Canlı, 2 Ve Daha Yukarı Yaşta (Boğa))|2016|27.0|35.0|144.0|94.0|380.0|137.0|1400.0|10.0|18.0|30.0|110.0|64.0|50.0|30.0|0.0|13.0|300.0|70.0|700.0|1260.0|260.0|3473.0|155.0|364.0|962.0|5.0|118.0|0.0|191.0|180.0|140.0|
|01.42.11.02.02. (Melez Sığırlar, Canlı, 2 Ve Daha Yukarı Yaşta (Öküz))|2016|0.0|0.0|0.0|0.0|13.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.0|0.0|0.0|0.0|0.0|0.0|
|01.42.11.02.03. (Melez Sığırlar, Canlı, 1 - 2 Yaş Arası Erkek (Tosun))|2016|98.0|102.0|660.0|1000.0|2325.0|1036.0|2000.0|33.0|82.0|153.0|310.0|1482.0|110.0|25.0|39.0|104.0|1300.0|550.0|1200.0|7250.0|420.0|4457.0|900.0|360.0|418.0|20.0|108.0|0.0|445.0|250.0|450.0|
|01.42.11.03.01. (Yerlı Sığırlar, Canlı, 2 Ve Daha Yukarı Yaşta (Boğa))|2016|14.0|7.0|9.0|4.0|402.0|8.0|60.0|0.0|12.0|7.0|0.0|148.0|0.0|38.0||14.0|50.0|0.0|0.0|100.0|1470.0|1266.0|0.0|23.0|648.0|17.0|8.0|0.0|0.0|0.0|150.0|
|01.42.11.03.02. (Yerlı Sığırlar, Canlı, 2 Ve Daha Yukarı Yaşta (Öküz))|2016|0.0|0.0|0.0|0.0|68.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|
|01.42.11.03.03. (Yerlı Sığırlar, Canlı, 1 - 2 Yaş Arası Erkek (Tosun))|2016|14.0|6.0|96.0|11.0|268.0|19.0|190.0|3.0|25.0|46.0|2.0|227.0|0.0|40.0||6.0|430.0|100.0|150.0|1350.0|1400.0|1521.0|64.0|93.0|203.0|12.0|3.0|0.0|140.0|50.0|200.0|
|01.42.11.04.01. (Manda, Canlı, 2 Ve Daha Yukarı Yaşta (Boğa))|2016|||||0.0|||||||||||0.0|4.0|||||5.0|||||||||0.0|
|01.42.11.04.02. (Manda, Canlı, 2 Ve Daha Yukarı Yaşta (Öküz))|2016|||||0.0|||||||||||0.0|0.0|||||0.0|||||||||0.0|
|01.42.11.04.03. (Manda, Canlı, 1 - 2 Yaş Arası Erkek (Tosun))|2016|||||9.0|||||||||||0.0|6.0|||||7.0|||||||||2.0|
|01.42.12.01.01. (Buzağı Ve Dana, Canlı (Sığır Saf Kültür), 1 Yaşından Küçük Erkek)|2016|677.0|500.0|2945.0|300.0|1150.0|726.0|2200.0|472.0|70.0|986.0|2500.0|21534.0|750.0|120.0|801.0|941.0|2230.0|4480.0|6000.0|3550.0|400.0|2162.0|1230.0|1113.0|2063.0|18.0|1220.0|58.0|1100.0|520.0|8100.0|
|01.42.12.01.02. (Buzağı Ve Dana, Canlı (Sığır Saf Kültür), 1 Yaşından Küçük Dişi)|2016|763.0|510.0|3707.0|500.0|1580.0|977.0|1600.0|461.0|70.0|962.0|2810.0|20893.0|800.0|140.0|801.0|1146.0|2220.0|2000.0|5000.0|3330.0|320.0|2348.0|1620.0|989.0|2302.0|12.0|665.0|64.0|907.0|150.0|7150.0|
|01.42.12.02.01. (Buzağı Ve Dana, Canlı (Sığır Kültür Melezi), 1 Yaşından Küçük Erkek)|2016|84.0|85.0|1077.0|600.0|930.0|467.0|3200.0|103.0|65.0|170.0|99.0|2036.0|75.0|50.0|140.0|88.0|2550.0|700.0|2000.0|6090.0|1040.0|2651.0|2005.0|455.0|425.0|12.0|298.0|0.0|575.0|210.0|380.0|
|01.42.12.02.02. (Buzağı Ve Dana, Canlı (Sığır Kültür Melezi), 1 Yaşından Küçük Dişi)|2016|72.0|115.0|1405.0|650.0|950.0|484.0|2300.0|114.0|70.0|180.0|100.0|1940.0|80.0|55.0|142.0|46.0|2050.0|600.0|1250.0|5500.0|700.0|2611.0|1930.0|319.0|636.0|10.0|205.0|0.0|435.0|100.0|420.0|
|01.42.12.03.01. (Buzağı Ve Dana, Canlı (Sığır Yerli), 1 Yaşından Küçük Erkek)|2016|38.0|3.0|97.0|0.0|230.0|40.0|415.0|3.0|20.0|61.0|2.0|322.0|0.0|42.0||7.0|210.0|300.0|70.0|730.0|3550.0|904.0|58.0|55.0|170.0|9.0|4.0|0.0|197.0|10.0|220.0|
|01.42.12.03.02. (Buzağı Ve Dana, Canlı (Sığır Yerli), 1 Yaşından Küçük Dişi)|2016|18.0|4.0|103.0|0.0|253.0|46.0|250.0|5.0|24.0|67.0|2.0|290.0|0.0|50.0||5.0|200.0|200.0|80.0|660.0|2750.0|1052.0|63.0|65.0|382.0|12.0|12.0|0.0|128.0|7.0|300.0|
|01.42.12.04.01. (Manda Yavrusu, Canlı, 1 Yaşından Küçük Erkek)|2016|||||18.0|||||||||||0.0|4.0|||||22.0|||||||||2.0|
