|||Sütunlar|||||||||||||||||||||||||||||||
Satırlar|||Konya(Ahırlı)-1868|Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Taşkent)-1848|Konya(Tuzlukçu)-1990|Konya(Yalıhüyük)-1994|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||
Hayvansal Üretim|01.41.20.01.01. (Sığır Sütü (Kültür) (Manda Sütü Hariç)) ve Ton|2016|10700.401|7995.983|15458.9|3429.388|24840.852|7470.025|25054.079|5824.629|1172.744|9516.996|35040.172|152840.54|11549.753|2487.639|11794.963|10874.536|43000.617|43000.617|70186.958|40050.988|3553.77|18284.147|13682.015|10021.631|32858.157|383.807|10732.385|1091.007|15103.523|4797.59|109385.041|
|01.41.20.01.02. (Sığır Sütü (Kültür Melezi) (Manda Sütü Hariç)) ve Ton|2016|798.017|889.43|2816.53|12353.2|6670.728|4909.162|21000.44|390.361|271.77|1156.26|1507.09|6490.371|1235.32|716.486|222.358|736.251|23471.08|3088.3|14823.84|37998.443|6670.728|14141.943|11117.88|3970.318|11725.657|128.473|2705.351|123.532|4125.969|877.077|4990.693|
|01.41.20.01.03. (Sığır Sütü (Yerli) (Manda Sütü Hariç)) ve Ton|2016|102.362|91.773|723.597|25.885|1364.833|58.829|705.948|7.059|43.533|195.312|2.353|657.708|23.532|182.37||11.766|976.561|211.784|164.721|1941.357|3341.487|2730.842|141.19|115.305|2191.969|22.355|109.422|17.649|232.963|117.658|576.524|
|01.41.20.02.03. (Manda Sütü (Yerli)) ve Ton|2016|||||78.324|||||||||||2.568|8.988|||||77.04|||||||||6.42|
|01.45.21.00.01. (Koyun Sütü, Merinos, İşlenmemiş) ve Ton|2016|1.139||35.6|121.61|||71.2|3.524||18.868||||11.036||6.764|144.18|412.355|3560.0|373.8||131.079|33.82|117.48|26.522||104.13|6.016|39.872|291.92|178.0|
|01.45.21.00.02. (Koyun Sütü, Yerli Ve Diğerleri, İşlenmemiş) ve Ton|2016|61.662|618.728|553.34|2310.668|516.779|742.474|7382.55|274.49|91.403|379.674|1940.556|6700.543|353.308|506.232|610.08|272.451|2805.369|2475.053|6468.52|7382.55|5990.412|5649.057|2953.02|3944.391|1517.29|243.694|798.019|2.25|2474.912|650.368|4499.84|
|01.45.22.00.01. (Keçi Sütü (Tiftik), İşlenmemiş) ve Ton|2016|||||2.292||||||||||||3.702||13.399|||||||||||||
|01.45.22.00.02. (Keçi Sütü (Kıl Keçisi Ve Diğerleri), İşlenmemiş) ve Ton|2016|158.054|172.872|68.737|82.32|695.604|1041.019|275.772|48.816|535.08|96.314|120.187|1032.293|370.44|791.424|127.102|32.928|362.208|353.976|740.88|292.236|181.104|739.234|86.436|489.804|1202.119|508.326|34.986||30.541|49.392|329.28|
|01.45.30.01.01. (Yapağı (Merinos), Hayvancılık) ve Ton|2016|1.056||15.381|10.878|||15.996|0.435||4.11||||2.808||2.052|26.775|46.644|574.5|46.86||14.679|8.1|14.232|4.857||16.305|0.756|11.085|53.1|29.22|
|01.45.30.01.02. (Yapağı (Yerli Ve Diğerleri), Hayvancılık) ve Ton|2016|7.933|22.469|27.82|85.64|30.335|22.356|260.415|6.864|4.066|13.721|59.535|212.899|14.823|18.055|21.517|12.155|102.886|91.938|243.81|274.104|173.502|177.944|113.4|124.021|55.469|9.278|24.417|0.123|78.181|32.319|151.47|
|01.45.30.02.01. (Tiftik, Hayvancılık) ve Ton|2016|||||0.153||||||||||||0.258||0.402|||||||||||||
|01.45.30.02.02. (Keçi Kılı, Hayvancılık) ve Ton|2016|6.893|6.21|1.331|1.151|10.545|11.81|5.505|0.635|9.33|1.74|1.805|16.459|7.05|13.88|2.696|0.659|9.533|4.826|13.8|5.408|2.925|11.312|2.453|6.585|15.161|8.33|0.536||0.608|1.238|4.56|
|01.49.19.01.01. (Arılar (Kovan Halinde), Eski Tip) ve Kovan Sayısı|2016|0.0|340.0|0.0|0.0|0.0|280.0|8.0|0.0|100.0|0.0|0.0|0.0|0.0|1030.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|46.0|0.0|25.0|0.0|55.0|0.0|10.0|0.0|0.0|300.0|
|01.49.19.01.02. (Arılar (Kovan Halinde), Yeni Tip) ve Kovan Sayısı|2016|983.0|850.0|9193.0|211.0|7575.0|15900.0|290.0|1050.0|2100.0|5550.0|156.0|4700.0|946.0|5033.0|405.0|709.0|3804.0|300.0|915.0|2826.0|1100.0|7490.0|350.0|3600.0|8655.0|491.0|1184.0|0.0|280.0|92.0|4200.0|
|01.49.19.02.01. (İpek Böceği (Damızlık İpek Böceği Hariç)) ve Kutu|2016|||2.0|||||||2.0|||2.0|||||||||||||||||||
|01.49.21. (Doğal Bal) ve Ton|2016|13.4|17.0|50.0|2.79|65.5|167.1|2.18|0.1|14.25|61.0|1.6|71.105|4.73|35.0|1.05|5.3|30.0|0.85|8.24|73.476|12.0|113.04|4.8|51.2|69.24|1.256|10.0|0.01|2.8|0.8|20.0|
|01.49.25.00.00. (İpek Böceği Kozası, Çile Yapmaya Uygun Olanlar) ve Ton|2016|||0.0|||||||0.0|||0.004|||||||||||||||||||
|01.49.26.00.01. (Balmumu, Arı) ve Ton|2016|0.52|0.08|0.45|0.01|4.2|3.75|0.15|0.6|0.5|2.1|0.004|4.9|0.6|1.9|0.1|0.18|1.1|0.01|0.345|2.95|0.012|10.305|0.16|1.1|9.46|0.213|0.5|0.005|0.064|0.1|0.85|
||||||||||||||||||||||||||||||||||
