|||Sütunlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Üretim Miktarı ve Birinci Ekiliş ve 01.11.20.00.00. (Mısır) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.11.82.00.00. (Yerfıstığı, Kabuklu) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.11.84.00.00. (Pamuk Çekirdeği (Çiğit)) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.11.94.00.00. (Susam Tohumu) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.12.10.00.00. (Çeltik) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.13.51.00.00. (Patates (Tatlı Patates Hariç)) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.13.52.00.00. (Tatlı Patates) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.16.11.00.01. (Pamuk, Çırçırlanmamış (Kütlü)) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.16.11.00.02. (Pamuk, Çırçırlanmış (Lifli)) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.19.10.19.00. (Mısır (Hasıl)) - Ton|Üretim Miktarı ve Birinci Ekiliş ve 01.19.10.20.00. (Mısır (Slaj)) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.11.20.00.00. (Mısır) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.11.82.00.00. (Yerfıstığı, Kabuklu) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.11.84.00.00. (Pamuk Çekirdeği (Çiğit)) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.11.94.00.00. (Susam Tohumu) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.12.10.00.00. (Çeltik) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.13.51.00.00. (Patates (Tatlı Patates Hariç)) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.16.11.00.01. (Pamuk, Çırçırlanmamış (Kütlü)) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.16.11.00.02. (Pamuk, Çırçırlanmış (Lifli)) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.19.10.19.00. (Mısır (Hasıl)) - Ton|Üretim Miktarı ve İkinci Ekiliş ve 01.19.10.20.00. (Mısır (Slaj)) - Ton|Üretim Miktarı ve Kuru ve 01.11.11.00.00. (Durum Buğdayı) - Ton|Üretim Miktarı ve Kuru ve 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Ton|Üretim Miktarı ve Kuru ve 01.11.31.00.01. (Arpa (Biralık)) - Ton|Üretim Miktarı ve Kuru ve 01.11.31.00.02. (Arpa (Diğer)) - Ton|Üretim Miktarı ve Kuru ve 01.11.33.00.00. (Yulaf) - Ton|Üretim Miktarı ve Kuru ve 01.11.49.00.04. (Triticale) - Ton|Üretim Miktarı ve Kuru ve 01.11.71.00. (Fasulye, Kuru) - Ton|Üretim Miktarı ve Kuru ve 01.11.73.00.00. (Nohut, Kuru) - Ton|Üretim Miktarı ve Kuru ve 01.11.74.00.01. (Mercimek, Kuru (Kırmızı)) - Ton|Üretim Miktarı ve Kuru ve 01.11.74.00.02. (Mercimek, Kuru (Yeşil)) - Ton|Üretim Miktarı ve Kuru ve 01.11.93.00.00. (Kanola Veya Kolza Tohumu) - Ton|Üretim Miktarı ve Kuru ve 01.11.99.00.03. (Aspir Tohumu) - Ton|Üretim Miktarı ve Kuru ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Ton|Üretim Miktarı ve Kuru ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Ton|Üretim Miktarı ve Kuru ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Ton|Üretim Miktarı ve Kuru ve İkinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Ton|Üretim Miktarı ve Kuru ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Ton|Üretim Miktarı ve Sulu ve 01.11.11.00.00. (Durum Buğdayı) - Ton|Üretim Miktarı ve Sulu ve 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Ton|Üretim Miktarı ve Sulu ve 01.11.31.00.01. (Arpa (Biralık)) - Ton|Üretim Miktarı ve Sulu ve 01.11.31.00.02. (Arpa (Diğer)) - Ton|Üretim Miktarı ve Sulu ve 01.11.33.00.00. (Yulaf) - Ton|Üretim Miktarı ve Sulu ve 01.11.49.00.04. (Triticale) - Ton|Üretim Miktarı ve Sulu ve 01.11.71.00. (Fasulye, Kuru) - Ton|Üretim Miktarı ve Sulu ve 01.11.73.00.00. (Nohut, Kuru) - Ton|Üretim Miktarı ve Sulu ve 01.11.74.00.01. (Mercimek, Kuru (Kırmızı)) - Ton|Üretim Miktarı ve Sulu ve 01.11.74.00.02. (Mercimek, Kuru (Yeşil)) - Ton|Üretim Miktarı ve Sulu ve 01.11.93.00.00. (Kanola Veya Kolza Tohumu) - Ton|Üretim Miktarı ve Sulu ve 01.11.99.00.03. (Aspir Tohumu) - Ton|Üretim Miktarı ve Sulu ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Ton|Üretim Miktarı ve Sulu ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Ton|Üretim Miktarı ve Sulu ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Ton|Üretim Miktarı ve Sulu ve İkinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Ton|Üretim Miktarı ve Sulu ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Ton|Üretim Miktarı ve Sulu ve İkinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Ton|
(Kuru / Sulu) - (1. Ekiliş / 2.  Ekiliş) Ürünleri |Adana-1|2011|534295.0|19162.0|152853.0|464.0||219731.0|240.0|258195.0|95534.0||44645.0|226449.0|15574.0|29815.0|1721.0||525.0|50365.0|18634.0||131492.0||||||||||||||||||||||||||||||||||||
||2012|499148.0|39830.0|119474.0|355.0||200417.0|262.0|201815.0|74673.0||54305.0|183314.0|20934.0|22067.0|1072.0|||37276.0|13792.0||177293.0|640.0|277879.0|0.0|10212.0||490.0|956.0|7756.0|0.0|3.0|0.0||0.0|79862.0|63.0|0.0|321.0|900.0|505933.0|0.0|3453.0||0.0|990.0|60.0|0.0|0.0|500.0||22720.0|27180.0|0.0|53202.0|857.0|0.0|
||2013|722769.0|46770.0|100266.0|387.0||179775.0|327.0|175340.0|68403.0||64040.0|192515.0|21605.0|21002.0|1261.0|||36695.0|14303.0||184270.0|285.0|301382.0||9509.0||330.0|1075.0|7321.0||3.0|14.0|||95865.0|||158.0|480.0|402334.0||2216.0|||928.0|71.0|||||47805.0|3685.0||71269.0|969.0||
||2014|850720.0|50448.0|102764.0|528.0||206120.0||173587.0|62491.0||65675.0|154931.0|20597.0|18281.0|3038.0|||30880.0|11117.0||214890.0|195.0|285234.0||10402.0||301.0|719.0|6814.0|||52.0|396.0||85795.0|||228.0|306.0|297682.0||1601.0|||1708.0|62.0|||||49353.0|2529.0||41516.0|1013.0||
||2015|856808.0|65915.0|62996.0|668.0||219221.0||106413.0|38309.0||79550.0|158620.0|22306.0|19063.0|2964.0|||32199.0|11592.0||179450.0|168.0|352943.0||12878.0|31.0|310.0|330.0|6023.0|||17.0|584.0||106415.0|||188.0|407.0|377355.0||1365.0|17.0||1510.0|75.0|||||48840.0|27293.0||48699.0|465.0||
||2016|929455.0|71571.0|71031.0|658.0||221397.0||118386.0|42621.0||58055.0|157151.0|27754.0|20096.0|2990.0|||33494.0|12059.0||177428.0|219.0|290218.0||10873.0|56.0|235.0|303.0|5719.0|||17.0|158.0||158019.0|||188.0|351.0|331084.0||1245.0|29.0||1542.0|81.0||||5.0|43766.0|7797.0||56670.0|520.0||
||2017|872314.0|68094.0|83442.0|358.0||241196.0||139072.0|50066.0||75488.0|163816.0|29694.0|17529.0|1258.0|||29215.0|10517.0||153479.0|163.0|315598.0||10963.0|53.0|312.0|87.0|5014.0|||18.0|102.0||167235.0|||1063.0|344.0|374306.0||1062.0|26.0||1634.0|82.0||||6.0|33391.0|25600.0||53378.0|1327.0||
||2018|710940.0|65891.0|104219.0|238.0||219076.0||173700.0|66006.0||71183.0|131757.0|32943.0|19465.0|1483.0|||32443.0|12329.0||206602.0|169.0|308432.0||10285.0|25.0|312.0|21.0|6837.0|||16.0|95.0||149708.0|||232.0||373304.0||4511.0|17.0||1414.0|789.0||||6.0|28273.0|26006.0||50981.0|693.0||
||2019|628713.0|60366.0|104778.0|250.0||251408.0||174628.0|64614.0||79467.0|89089.0|30058.0|18625.0|1276.0|||31042.0|11483.0||201957.0|184.0|217232.0||10251.0|43.0|200.0|61.0|3955.0|||10.0|14.0||199409.0|||105.0||285146.0||4038.0|||1151.0|479.0||||5.0|31802.0|63805.0||57792.0|1533.0||
||2020|742503.0|80794.0|56208.0|419.0||211265.0||93681.0|34664.0||82885.0|77475.0|32666.0|17588.0|1199.0|||29313.0|10846.0||223822.0|125.0|290975.0||19245.0|38.0|195.0|21.0|4030.0|||3.0|4.0||135037.0|||662.0||330749.0||4981.0|||1131.0|190.0|||11.0||40562.0|56181.0||58034.0|3549.0||
||2021|738956.0|84575.0|56990.0|454.0||224794.0||94983.0|35146.0||62196.0|71189.0|32342.0|11224.0|1175.0|||18706.0|6920.0||224416.0|178.0|346954.0||21025.0|49.0|128.0|180.0|4061.0|6.0|||||129722.0|||578.0||360389.0||5057.0|||1075.0|104.0||1.0|11.0||44480.0|65011.0||69805.0|6055.0||
|Adıyaman-2|2011|19159.0|1.0|43891.0|95.0||1264.0||74140.0|27432.0||9911.0|6148.0||533.0|52.0|||900.0|333.0||17971.0||||||||||||||||||||||||||||||||||||
