|||Sütunlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Verim ve Birinci Ekiliş ve 01.11.20.00.00. (Mısır) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.11.82.00.00. (Yerfıstığı, Kabuklu) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.11.84.00.00. (Pamuk Çekirdeği (Çiğit)) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.11.94.00.00. (Susam Tohumu) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.12.10.00.00. (Çeltik) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.13.51.00.00. (Patates (Tatlı Patates Hariç)) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.13.52.00.00. (Tatlı Patates) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.16.11.00.01. (Pamuk, Çırçırlanmamış (Kütlü)) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.16.11.00.02. (Pamuk, Çırçırlanmış (Lifli)) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.19.10.19.00. (Mısır (Hasıl)) - Kg/Dekar|Verim ve Birinci Ekiliş ve 01.19.10.20.00. (Mısır (Slaj)) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.11.20.00.00. (Mısır) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.11.82.00.00. (Yerfıstığı, Kabuklu) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.11.84.00.00. (Pamuk Çekirdeği (Çiğit)) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.11.94.00.00. (Susam Tohumu) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.12.10.00.00. (Çeltik) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.13.51.00.00. (Patates (Tatlı Patates Hariç)) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.16.11.00.01. (Pamuk, Çırçırlanmamış (Kütlü)) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.16.11.00.02. (Pamuk, Çırçırlanmış (Lifli)) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.19.10.19.00. (Mısır (Hasıl)) - Kg/Dekar|Verim ve İkinci Ekiliş ve 01.19.10.20.00. (Mısır (Slaj)) - Kg/Dekar|Verim ve Kuru ve 01.11.11.00.00. (Durum Buğdayı) - Kg/Dekar|Verim ve Kuru ve 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Kg/Dekar|Verim ve Kuru ve 01.11.31.00.01. (Arpa (Biralık)) - Kg/Dekar|Verim ve Kuru ve 01.11.31.00.02. (Arpa (Diğer)) - Kg/Dekar|Verim ve Kuru ve 01.11.33.00.00. (Yulaf) - Kg/Dekar|Verim ve Kuru ve 01.11.49.00.04. (Triticale) - Kg/Dekar|Verim ve Kuru ve 01.11.71.00. (Fasulye, Kuru) - Kg/Dekar|Verim ve Kuru ve 01.11.73.00.00. (Nohut, Kuru) - Kg/Dekar|Verim ve Kuru ve 01.11.74.00.01. (Mercimek, Kuru (Kırmızı)) - Kg/Dekar|Verim ve Kuru ve 01.11.74.00.02. (Mercimek, Kuru (Yeşil)) - Kg/Dekar|Verim ve Kuru ve 01.11.93.00.00. (Kanola Veya Kolza Tohumu) - Kg/Dekar|Verim ve Kuru ve 01.11.99.00.03. (Aspir Tohumu) - Kg/Dekar|Verim ve Kuru ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Kg/Dekar|Verim ve Kuru ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Kg/Dekar|Verim ve Kuru ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Kg/Dekar|Verim ve Kuru ve İkinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Kg/Dekar|Verim ve Kuru ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Kg/Dekar|Verim ve Sulu ve 01.11.11.00.00. (Durum Buğdayı) - Kg/Dekar|Verim ve Sulu ve 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Kg/Dekar|Verim ve Sulu ve 01.11.31.00.01. (Arpa (Biralık)) - Kg/Dekar|Verim ve Sulu ve 01.11.31.00.02. (Arpa (Diğer)) - Kg/Dekar|Verim ve Sulu ve 01.11.33.00.00. (Yulaf) - Kg/Dekar|Verim ve Sulu ve 01.11.49.00.04. (Triticale) - Kg/Dekar|Verim ve Sulu ve 01.11.71.00. (Fasulye, Kuru) - Kg/Dekar|Verim ve Sulu ve 01.11.73.00.00. (Nohut, Kuru) - Kg/Dekar|Verim ve Sulu ve 01.11.74.00.01. (Mercimek, Kuru (Kırmızı)) - Kg/Dekar|Verim ve Sulu ve 01.11.74.00.02. (Mercimek, Kuru (Yeşil)) - Kg/Dekar|Verim ve Sulu ve 01.11.93.00.00. (Kanola Veya Kolza Tohumu) - Kg/Dekar|Verim ve Sulu ve 01.11.99.00.03. (Aspir Tohumu) - Kg/Dekar|Verim ve Sulu ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Kg/Dekar|Verim ve Sulu ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Kg/Dekar|Verim ve Sulu ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Kg/Dekar|Verim ve Sulu ve İkinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Kg/Dekar|Verim ve Sulu ve İkinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Kg/Dekar|Verim ve Sulu ve İkinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Kg/Dekar|
(Kuru / Sulu) - (1. Ekiliş / 2.  Ekiliş) Ürünleri |Adana-1|2011|947.0|394.0|339.0|112.0||3317.0|1500.0|572.0|212.0||4749.0|685.0|327.0|256.0|119.0||3500.0|432.0|160.0||3906.0||||||||||||||||||||||||||||||||||||
||2012|923.0|362.0|324.0|89.0||3181.0|1254.0|547.0|202.0||4810.0|729.0|315.0|254.0|97.0|||430.0|159.0||4126.0|200.0|293.0||243.0||350.0|87.0|119.0||150.0||||266.0|252.0||98.0|300.0|488.0||368.0|||111.0|120.0|||500.0||435.0|296.0||363.0|197.0||
||2013|1108.0|401.0|333.0|106.0||3575.0|1253.0|582.0|227.0||4822.0|785.0|329.0|262.0|97.0|||457.0|178.0||4228.0|153.0|291.0||243.0||348.0|94.0|103.0||125.0|241.0|||291.0|||117.0|262.0|467.0||370.0|||116.0|120.0|||||500.0|367.0||381.0|219.0||
||2014|1180.0|411.0|345.0|106.0||3605.0||582.0|210.0||4818.0|780.0|329.0|278.0|103.0|||470.0|169.0||4226.0|115.0|251.0||231.0||350.0|121.0|105.0|||231.0|198.0||256.0|||134.0|191.0|329.0||328.0|||131.0|121.0|||||509.0|312.0||391.0|238.0||
||2015|1109.0|450.0|312.0|109.0||3779.0||527.0|190.0||4910.0|857.0|326.0|290.0|102.0|||490.0|177.0||4203.0|117.0|328.0||268.0|369.0|256.0|110.0|109.0|||340.0|180.0||303.0|||125.0|271.0|473.0||327.0|425.0||137.0|150.0|||||509.0|318.0||408.0|207.0||
||2016|1145.0|437.0|347.0|109.0||3611.0||579.0|208.0||5306.0|1010.0|332.0|292.0|100.0|||486.0|175.0||4574.0|169.0|286.0||258.0|364.0|259.0|112.0|114.0|||340.0|203.0||308.0|||125.0|246.0|455.0||328.0|453.0||136.0|162.0||||200.0|512.0|356.0||413.0|186.0||
||2017|1145.0|436.0|337.0|100.0||3656.0||562.0|202.0||5765.0|964.0|370.0|248.0|77.0|||414.0|149.0||4541.0|182.0|317.0||309.0|363.0|279.0|79.0|100.0|||360.0|252.0||338.0|||170.0|229.0|473.0||386.0|394.0||128.0|156.0||||250.0|510.0|349.0||434.0|254.0||
||2018|1162.0|439.0|357.0|95.0||3421.0||596.0|226.0||5479.0|1031.0|367.0|274.0|100.0|||458.0|174.0||4533.0|181.0|308.0||270.0|202.0|271.0|60.0|114.0|||340.0|200.0||332.0|||170.0||500.0||362.0|304.0||123.0|291.0||||207.0|515.0|397.0||415.0|255.0||
||2019|1106.0|449.0|339.0|88.0||3766.0||566.0|209.0||4992.0|917.0|380.0|282.0|100.0|||470.0|174.0||4400.0|181.0|280.0||262.0|250.0|274.0|107.0|110.0|||357.0|165.0||295.0|||70.0||496.0||370.0|||116.0|276.0||||200.0|505.0|398.0||412.0|207.0||
||2020|1188.0|449.0|338.0|98.0||3469.0||563.0|208.0||5454.0|1011.0|363.0|277.0|88.0|||461.0|171.0||4352.0|123.0|318.0||256.0|253.0|279.0|60.0|109.0|||300.0|200.0||311.0|||192.0||493.0||361.0|||119.0|302.0|||367.0||533.0|371.0||432.0|251.0||
||2021|1294.0|449.0|322.0|92.0||3688.0||537.0|199.0||5277.0|765.0|373.0|267.0|84.0|||444.0|164.0||4400.0|176.0|376.0||263.0|251.0|213.0|120.0|114.0|222.0|||||288.0|||168.0||543.0||339.0|||127.0|296.0||100.0|367.0||528.0|370.0||433.0|266.0||
|Adıyaman-2|2011|739.0|250.0|278.0|57.0||1867.0||469.0|174.0||2817.0|814.0||164.0|53.0|||277.0|102.0||2672.0||||||||||||||||||||||||||||||||||||
||2012|760.0|167.0|282.0|47.0||2290.0||476.0|176.0||2722.0|590.0||166.0|38.0|||281.0|104.0||1994.0|230.0|244.0|363.0|364.0||||161.0|197.0|||||||||409.0|434.0|508.0|495.0|||227.0|||||||109.0|||||
||2013|961.0|200.0|277.0|54.0||2454.0||484.0|189.0|600.0|3193.0|878.0||164.0|53.0|||287.0|112.0||3382.0|266.0|263.0|312.0|334.0||||158.0|174.0|||||||||440.0|424.0|468.0|488.0|||218.0|||||||135.0|||||
