|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Meyve Veren Yaşta Ağaç Sayısı ve 01.21.11.01.01. (Sofralık Üzüm, Çekirdekli) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.21.11.01.02. (Sofralık Üzüm, Çekirdeksiz) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.21.12.01.01. (Şaraplık Üzümler) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.21.12.02.01. (Kurutmalık Üzüm, Çekirdekli) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.21.12.02.02. (Kurutmalık Üzüm, Çekirdeksiz) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.22.11.00.00. (Avokado) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.22.14.00.00. (İncir (Yaş)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.11.00.01. (Greyfurt (Altıntop)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.12.00.00. (Limon Ve Misket Limonu) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.13.00.01. (Portakal (Washington)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.13.00.02. (Portakal (Yafa)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.13.00.99. (Diğer Portakallar) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.14.02.01. (Mandalina (Satsuma)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.14.02.02. (Mandalina (Klemantin)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.14.02.03. (Mandalina (King)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.14.02.99. (Mandalina (Diğer)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.23.19.00.01. (Turunç) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.10.00.01. (Elma (Golden)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.10.00.02. (Elma (Starking)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.10.00.03. (Elma (Amasya)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.10.00.04. (Elma (Granny Smith)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.10.00.99. (Diğer Elmalar) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.21.00.00. (Armut) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.22.00.00. (Ayva) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.23.00.01. (Kayısı) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.23.00.02. (Zerdali) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.24.00.01. (Kiraz) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.24.00.02. (Vişne) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.25.00.00. (Şeftali) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.26.00.00. (Nektarin) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.27.00.00. (Erik) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.29.00.01. (Yenidünya (Malta Eriği)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.29.00.02. (Kızılcık) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.29.00.03. (İğde) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.24.29.00.04. (Hünnap) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.11.00.00. (Kivi) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.12.00.00. (Ahududu) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.13.00.00. (Çilek) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.19.00.01. (Maviyemiş) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.19.00.05. (Böğürtlen) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.19.00.06. (Dut) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.31.00.00. (Badem) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.32.00.00. (Kestane) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.33.00.00. (Fındık) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.34.00.00. (Şam Fıstığı (Antep Fıstığı)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.35.00.00. (Ceviz) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.90.00.01. (Keçiboynuzu (Harnup)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.90.00.02. (Muşmula) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.90.00.03. (Nar) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.25.90.00.04. (Trabzon Hurması (Cennet Elması)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.26.11.00.00. (Sofralık Zeytinler) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.26.12.00.00. (Yağlık Zeytinler (Zeytinyağı Üretimi İçin)) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.27.12.00.00. (Çay Yaprakları) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.28.12.00.00. (Biber, Kuru, İşlenmemiş) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.28.14.00.01. (Anason, İşlenmemiş) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.28.14.00.02. (Kimyon, İşlenmemiş) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.28.14.00.03. (Rezene, İşlenmemiş) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.28.14.00.04. (Kişniş, İşlenmemiş) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.28.19.00.01. (Kekik, İşlenmemiş) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.28.19.00.03. (Süpürge Otu, İşlenmemiş) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.28.19.00.04. (Kapari, İşlenmemiş) - Adet Sayısı|Meyve Veren Yaşta Ağaç Sayısı ve 01.28.19.00.08. (Çörek Otu Tohumu) - Adet Sayısı|
Meyveler Içecek Ve Baharat Bitkileri|Iğdır-76|2004|0.0||||||||||||||||||26538.0|16010.0|0.0|0.0|0.0|3700.0||121000.0||2600.0|2550.0|29700.0||1640.0|||||||||||||||650.0|||||||||||||||||
||2005|0.0||||||||||||||||||33994.0|18400.0|100.0|100.0|0.0|3799.0||118500.0||3200.0|2550.0|28900.0||1700.0|||||||||||||||650.0|||||||||||||||||
||2006|0.0||||||||||||||||||37180.0|17660.0|2650.0|100.0||3919.0||125700.0||3600.0|2900.0|28750.0||2070.0|||||||||||||||750.0|||||||||||||||||
||2007|0.0||||||||||||||||||37525.0|18050.0|2650.0|0.0|1200.0|5270.0||126100.0||3710.0|2900.0|28860.0||2210.0|||2000.0|||||||125.0|||||885.0|||||||||||||||||
||2008|0.0||||||||||||||||||37670.0|18250.0|2650.0|0.0|1200.0|4550.0||126250.0||3710.0|2900.0|27710.0|650.0|2080.0|||2000.0|||||||125.0|||||885.0|||||||||||||||||
||2009|0.0||||||||||||||||||48338.0|29977.0|2650.0|3450.0|1200.0|4575.0||134010.0||4530.0|2900.0|27980.0|650.0|2200.0|||2000.0|||||||125.0|||||1135.0|||||||||||||||||
