|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.21.11.01.01. (Sofralık Üzüm, Çekirdekli) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.21.11.01.02. (Sofralık Üzüm, Çekirdeksiz) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.21.12.01.01. (Şaraplık Üzümler) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.21.12.02.01. (Kurutmalık Üzüm, Çekirdekli) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.21.12.02.02. (Kurutmalık Üzüm, Çekirdeksiz) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.22.11.00.00. (Avokado) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.22.14.00.00. (İncir (Yaş)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.11.00.01. (Greyfurt (Altıntop)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.12.00.00. (Limon Ve Misket Limonu) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.13.00.01. (Portakal (Washington)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.13.00.02. (Portakal (Yafa)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.13.00.99. (Diğer Portakallar) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.14.02.01. (Mandalina (Satsuma)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.14.02.02. (Mandalina (Klemantin)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.14.02.03. (Mandalina (King)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.14.02.99. (Mandalina (Diğer)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.23.19.00.01. (Turunç) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.10.00.01. (Elma (Golden)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.10.00.02. (Elma (Starking)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.10.00.03. (Elma (Amasya)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.10.00.04. (Elma (Granny Smith)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.10.00.99. (Diğer Elmalar) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.21.00.00. (Armut) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.22.00.00. (Ayva) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.23.00.01. (Kayısı) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.23.00.02. (Zerdali) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.24.00.01. (Kiraz) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.24.00.02. (Vişne) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.25.00.00. (Şeftali) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.26.00.00. (Nektarin) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.27.00.00. (Erik) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.29.00.01. (Yenidünya (Malta Eriği)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.29.00.02. (Kızılcık) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.29.00.03. (İğde) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.24.29.00.04. (Hünnap) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.11.00.00. (Kivi) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.12.00.00. (Ahududu) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.13.00.00. (Çilek) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.19.00.01. (Maviyemiş) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.19.00.05. (Böğürtlen) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.19.00.06. (Dut) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.31.00.00. (Badem) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.32.00.00. (Kestane) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.33.00.00. (Fındık) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.34.00.00. (Şam Fıstığı (Antep Fıstığı)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.35.00.00. (Ceviz) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.90.00.01. (Keçiboynuzu (Harnup)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.90.00.02. (Muşmula) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.90.00.03. (Nar) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.25.90.00.04. (Trabzon Hurması (Cennet Elması)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.26.11.00.00. (Sofralık Zeytinler) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.26.12.00.00. (Yağlık Zeytinler (Zeytinyağı Üretimi İçin)) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.27.12.00.00. (Çay Yaprakları) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.28.12.00.00. (Biber, Kuru, İşlenmemiş) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.28.14.00.01. (Anason, İşlenmemiş) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.28.14.00.02. (Kimyon, İşlenmemiş) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.28.14.00.03. (Rezene, İşlenmemiş) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.28.14.00.04. (Kişniş, İşlenmemiş) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.28.19.00.01. (Kekik, İşlenmemiş) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.28.19.00.03. (Süpürge Otu, İşlenmemiş) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.28.19.00.04. (Kapari, İşlenmemiş) - Adet Sayısı|Meyve Vermeyen Yaşta Ağaç Sayısı ve 01.28.19.00.08. (Çörek Otu Tohumu) - Adet Sayısı|
Meyveler Içecek Ve Baharat Bitkileri|Iğdır-76|2004|0.0||||||||||||||||||11212.0|4090.0|200.0|200.0|70.0|589.0||48232.0||1100.0|150.0|750.0||60.0|||||||||||||||50.0|||||||||||||||||
||2005|0.0||||||||||||||||||5956.0|3300.0|100.0|100.0|70.0|600.0||45982.0||700.0|150.0|1550.0||0.0|||||||||||||||50.0|||||||||||||||||
||2006|0.0||||||||||||||||||3100.0|2000.0|300.0|5575.0||2920.0||35432.0||2074.0|0.0|4750.0||150.0|||||||||||||||750.0|||||||||||||||||
||2007|0.0||||||||||||||||||3100.0|2100.0|300.0|10675.0|50.0|2570.0||35700.0||2400.0|0.0|8580.0||150.0|||0.0|||||||25.0|||||815.0|||||||||||||||||
||2008|0.0||||||||||||||||||4300.0|3750.0|300.0|10875.0|50.0|2630.0||36050.0||2400.0|0.0|4720.0|50.0|150.0|||0.0|||||||25.0|||||815.0|||||||||||||||||
||2009|0.0||||||||||||||||||6560.0|6590.0|300.0|7700.0|50.0|2635.0||29700.0||2900.0|0.0|4510.0|50.0|200.0|||0.0|||||||25.0|||||565.0|||||||||||||||||
