|||Sütunlar||||
Satırlar|||||||
|||||||
|||Alçak Tünel - Dekar|Cam Sera - Dekar|Plastik Sera - Dekar|Yüksek Tünel - Dekar|
Örtüaltı Tarım Alanı|Adana-1|2004|119883.0|3.0|242.0|5370.0|
||2005|116190.0|3.0|208.0|2497.0|
||2006|99815.0|10.0|979.0|1137.0|
||2007|110778.0|5.0|350.0|992.0|
||2008|133740.0|8.0|355.0|1939.0|
||2009|136300.0|16.0|373.0|1725.0|
||2010|115980.0|16.0|690.0|3268.0|
||2011|114380.0|16.0|919.6|3198.0|
||2012|95084.0|5.0|885.0|2988.0|
||2013|90075.0|5.0|760.0|3524.6|
||2014|90270.0|6.0|748.0|3454.6|
||2015|92093.0|6.0|731.5|3453.5|
||2016|102563.0|6.0|853.0|4049.0|
||2017|126490.0|6.0|1249.0|8503.0|
||2018|140815.0|6.0|1402.0|8506.0|
||2019|150218.0|6.0|1577.0|8692.0|
||2020|141959.0|6.0|2954.0|9215.0|
||2021|137200.0|6.0|5376.0|12792.0|
|Adıyaman-2|2004|0.0|1.0|32.0|20.0|
||2005|0.0|1.0|32.0|20.0|
||2006|0.0|1.0|32.0|3.0|
||2007|0.0|0.0|25.0|0.0|
||2008|0.0|8.0|31.0|0.0|
||2009|0.0|0.0|95.0|0.0|
||2010|0.0|0.0|130.0|0.0|
||2011|0.0|0.0|137.0|0.0|
||2012|0.0|0.0|143.0|0.0|
||2013|0.0|0.0|117.0|0.0|
||2014|0.0|0.0|122.0|0.0|
||2015|0.0|0.0|139.0|0.0|
||2016|0.0|0.0|173.0|0.0|
||2017|0.0|0.0|195.0|0.0|
||2018|0.0|0.0|191.0|0.0|
||2019|0.0|0.0|187.0|0.0|
||2020|0.0|0.0|170.0|0.0|
||2021|0.0|0.0|145.0|1.0|
|Afyonkarahisar-3|2004|0.0|0.0|30.0|19.0|
||2005|0.0|0.0|47.0|4.0|
||2006|0.0|0.0|48.0|4.0|
||2007|0.0|0.0|18.0|6.0|
||2008|3.0|0.0|28.0|6.0|
||2009|3.0|0.0|28.0|6.0|
||2010|2.0|50.0|111.0|7.0|
||2011|0.0|50.0|144.0|17.0|
||2012|0.0|50.0|154.0|14.0|
||2013|0.0|50.0|341.0|18.0|
||2014|0.0|50.0|527.0|19.0|
||2015|0.0|50.0|526.0|19.0|
||2016|0.0|66.0|563.0|19.0|
||2017|0.0|94.0|751.0|21.0|
||2018|0.0|95.0|1014.0|31.0|
||2019|1.0|94.0|1035.0|31.0|
||2020|0.0|135.0|1178.0|76.0|
||2021|0.0|132.0|1284.0|75.0|
|Ağrı-4|2004|0.0|0.0|0.0|0.0|
||2005|0.0|0.0|0.0|0.0|
||2006|0.0|0.0|0.0|0.0|
||2007|0.0|0.0|0.0|0.0|
||2008|0.0|0.0|0.0|0.0|
||2009|0.0|0.0|0.0|0.0|
||2010|0.0|0.0|0.0|0.0|
||2011|0.0|0.0|0.0|0.0|
||2012|0.0|0.0|0.0|0.0|
||2013|0.0|0.0|0.0|0.0|
||2014|0.0|0.0|0.0|0.0|
||2015|0.0|19.0|0.0|0.0|
||2016|0.0|39.0|0.0|0.0|
||2017|0.0|48.0|0.0|0.0|
||2018|0.0|48.0|0.0|0.0|
||2019|0.0|48.0|0.0|0.0|
||2020|0.0|48.0|0.0|0.0|
||2021|0.0|48.0|0.0|0.0|
|Aksaray-68|2004|0.0|0.0|16.0|0.0|
||2005|0.0|0.0|17.0|0.0|
||2006|0.0|0.0|16.0|0.0|
||2007|0.0|0.0|16.0|0.0|
||2008|0.0|0.0|27.0|0.0|
||2009|0.0|0.0|32.0|0.0|
||2010|0.0|0.0|37.0|0.0|
||2011|0.0|0.0|50.0|0.0|
||2012|0.0|0.0|51.0|0.0|
||2013|0.0|0.0|50.0|0.0|
||2014|0.0|0.0|43.0|6.0|
||2015|0.0|0.0|44.0|6.0|
||2016|20.0|0.0|44.0|6.0|
||2017|20.0|0.0|111.0|6.0|
||2018|20.0|0.0|111.0|21.0|
||2019|22.0|0.0|152.0|28.0|
||2020|24.0|0.0|156.0|33.0|
||2021|26.0|0.0|159.0|36.0|
|Amasya-5|2004|230.0|0.0|202.0|789.0|
||2005|182.0|0.0|220.0|901.0|
||2006|202.0|0.0|228.0|957.0|
||2007|150.0|0.0|140.0|826.0|
||2008|150.0|0.0|143.0|826.0|
||2009|150.0|0.0|145.0|982.0|
||2010|150.0|0.0|155.0|1032.0|
||2011|150.0|0.0|155.0|1090.0|
||2012|125.0|0.0|807.0|1460.0|
||2013|110.0|0.0|33.0|1860.0|
||2014|125.0|0.0|37.0|2862.0|
||2015|140.0|0.0|39.0|4195.0|
||2016|150.0|0.0|39.0|4216.0|
||2017|150.0|0.0|24.0|4252.0|
||2018|148.0|0.0|24.0|4412.0|
||2019|135.0|0.0|0.0|4746.0|
||2020|40.0|0.0|0.0|5162.0|
||2021|20.0|0.0|0.0|5463.0|
|Ankara-6|2004|5.0|0.0|135.0|21.0|
||2005|5.0|0.0|147.0|11.0|
||2006|0.0|0.0|127.0|22.0|
||2007|0.0|0.0|119.0|22.0|
||2008|0.0|0.0|114.0|21.0|
||2009|0.0|0.0|92.0|21.0|
||2010|0.0|0.0|94.0|21.0|
||2011|0.0|0.5|156.7|53.9|
||2012|6.5|0.5|172.2|34.1|
||2013|13.5|0.5|179.2|76.1|
||2014|9.8|0.5|235.4|110.5|
||2015|21.7|0.5|334.7|125.8|
||2016|21.7|2.5|328.5|143.8|
||2017|21.7|2.5|344.2|194.8|
||2018|19.0|2.5|365.5|189.0|
||2019|19.0|0.5|368.5|184.0|
||2020|23.0|0.5|383.0|126.0|
||2021|23.0|1.5|399.0|126.0|
|Antalya-7|2004|14764.0|61437.0|77964.0|17472.0|
||2005|9761.0|54685.0|81919.0|17328.0|
||2006|8273.0|58055.0|83952.0|18410.0|
||2007|3523.0|61936.0|91206.0|19356.0|
||2008|6583.0|69016.0|103990.0|17358.0|
||2009|6553.0|69078.0|113115.0|17873.0|
||2010|7323.0|67012.0|120298.0|21036.0|
||2011|7303.0|64623.8|131567.6|21383.5|
||2012|13423.0|66368.3|148498.1|11515.0|
||2013|13785.0|66601.8|150514.4|11439.0|
||2014|12623.0|67024.8|155091.4|13514.0|
||2015|12357.0|66935.1|165512.2|13748.0|
||2016|12745.0|66730.1|175358.7|13506.0|
||2017|12748.0|64996.7|187041.8|13276.0|
||2018|12721.0|63584.5|193442.6|13535.0|
||2019|12931.0|61061.5|199181.9|13348.0|
||2020|13195.0|66738.4|218006.5|14286.0|
||2021|12075.0|63001.6|235692.2|16198.0|
|Ardahan-75|2004|0.0|0.0|0.0|0.0|
||2005|0.0|0.0|0.0|0.0|
||2006|0.0|0.0|0.0|0.0|
||2007|0.0|0.0|0.0|0.0|
||2008|0.0|0.0|0.0|0.0|
||2009|0.0|0.0|0.0|0.0|
||2010|0.0|0.0|0.0|0.0|
||2011|0.0|0.0|0.0|0.0|
||2012|0.0|0.0|0.0|0.0|
||2013|0.0|0.0|0.0|0.0|
||2014|0.0|0.0|0.0|0.0|
||2015|0.0|0.0|0.0|0.0|
||2016|0.0|0.0|0.0|0.0|
||2017|0.0|0.0|0.0|0.0|
||2018|0.0|0.0|0.0|0.0|
||2019|0.0|0.0|0.0|0.0|
||2020|0.0|0.0|0.0|0.0|
||2021|0.0|0.0|0.0|0.0|
|Artvin-8|2004|0.0|0.0|88.0|0.0|
||2005|0.0|0.0|88.0|0.0|
||2006|0.0|0.0|97.0|0.0|
||2007|0.0|6.0|140.0|8.0|
||2008|0.0|6.0|110.0|19.0|
||2009|0.0|6.0|97.0|8.0|
||2010|0.0|0.0|86.0|2.0|
||2011|0.0|0.0|86.0|0.0|
||2012|0.0|0.0|86.0|0.0|
||2013|0.0|0.0|78.0|0.0|
||2014|0.0|0.0|93.0|0.0|
||2015|0.0|0.0|75.0|0.0|
||2016|0.0|0.0|96.0|0.0|
||2017|0.0|0.0|109.0|0.0|
||2018|0.0|0.0|143.0|0.0|
||2019|0.0|0.0|148.0|0.0|
||2020|0.0|0.0|137.0|0.0|
||2021|0.0|0.0|141.0|0.0|
|Aydın-9|2004|1503.0|34.0|755.0|3502.0|
||2005|776.0|30.0|682.0|4559.0|
||2006|1369.0|31.0|635.0|3094.0|
||2007|994.0|32.0|436.0|3693.0|
||2008|1326.0|31.0|629.0|4802.0|
||2009|1288.0|36.0|617.0|9308.0|
||2010|1699.0|43.0|653.0|7568.0|
||2011|1575.0|50.0|699.2|7725.5|
||2012|1618.0|70.0|785.1|9559.5|
||2013|1625.0|95.0|786.6|10160.6|
||2014|1959.3|100.0|802.2|10718.0|
||2015|2020.0|100.0|798.0|10858.4|
||2016|2193.0|100.0|837.5|11935.4|
||2017|2433.0|141.0|863.5|11973.4|
||2018|1948.0|142.0|902.5|12025.4|
||2019|2168.0|135.0|901.4|9512.4|
||2020|1770.0|146.0|598.5|9992.4|
||2021|1882.0|142.0|675.6|8744.4|
|Balıkesir-10|2004|6.0|0.0|104.0|115.0|
||2005|5.0|14.0|90.0|221.0|
||2006|7.0|14.0|101.0|196.0|
||2007|7.0|11.0|90.0|273.0|
||2008|5.0|14.0|228.0|281.0|
||2009|5.0|14.0|242.0|279.0|
||2010|0.0|0.0|296.0|223.0|
||2011|11.1|10.0|361.0|248.8|
||2012|11.9|0.0|377.0|225.0|
||2013|11.1|0.0|355.2|231.2|
||2014|10.1|0.0|405.9|229.2|
||2015|10.1|17.0|421.9|226.2|
||2016|10.1|17.0|436.9|228.2|
||2017|10.1|17.0|593.9|191.2|
||2018|10.1|17.0|415.9|229.2|
||2019|10.1|33.0|375.6|243.8|
||2020|0.1|33.0|649.6|407.2|
||2021|0.1|33.0|2835.6|358.2|
|Bartın-74|2004|149.0|0.0|1.0|576.0|
||2005|149.0|0.0|2.0|612.0|
||2006|153.0|0.0|2.0|711.0|
||2007|195.0|0.0|2.0|877.0|
||2008|248.0|0.0|2.0|950.0|
||2009|250.0|0.0|2.0|1046.0|
||2010|250.0|0.0|2.0|1157.0|
||2011|275.0|0.0|2.0|1330.0|
||2012|282.0|0.0|2.0|1363.0|
