|||Sütunlar||||||||||||||
Satırlar|||||||||||||||||
|||||||||||||||||
|||Alan ve Alçak Tünel ve 01.25.13.00.00. (Çilek) - Dekar|Alan ve Cam Sera ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Dekar|Alan ve Cam Sera ve 01.25.13.00.00. (Çilek) - Dekar|Alan ve Plastik Sera ve 01.21.11.01.01. (Sofralık Üzüm, Çekirdekli) - Dekar|Alan ve Plastik Sera ve 01.21.11.01.02. (Sofralık Üzüm, Çekirdeksiz) - Dekar|Alan ve Plastik Sera ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Dekar|Alan ve Plastik Sera ve 01.24.23.00.01. (Kayısı) - Dekar|Alan ve Plastik Sera ve 01.24.26.00.00. (Nektarin) - Dekar|Alan ve Plastik Sera ve 01.24.27.00.00. (Erik) - Dekar|Alan ve Plastik Sera ve 01.25.13.00.00. (Çilek) - Dekar|Alan ve Plastik Sera ve 01.25.19.00.01. (Maviyemiş) - Dekar|Alan ve Yüksek Tünel ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Dekar|Alan ve Yüksek Tünel ve 01.24.27.00.00. (Erik) - Dekar|Alan ve Yüksek Tünel ve 01.25.13.00.00. (Çilek) - Dekar|
Örtüaltı Meyveler|Adana-1|2004||||||||||24.0||||10.0|
||2005|10.0|||||||||51.0|||||
||2006|25.0|||||1.0||||51.0|||||
||2007||||||||||51.0|||||
||2008||||||||||51.0|||||
||2009||||||||||51.0|||||
||2010||||||||||314.0|||||
||2011||||||||||314.0|||||
||2012||||||||||320.0|||||
||2013||||||||||320.0|||||
||2014||||||||||320.0|||||
||2015||||||||||320.0|||||
||2016||||||||||350.0||12.0|||
||2017||||||93.0||||350.0||74.0|||
||2018||||||261.0||||354.0||78.0||2.0|
||2019||||||404.0||||354.0||305.0||2.0|
||2020|2.0|||||1827.0|||14.0|50.0||608.0||2.0|
||2021|102.0|||||3914.0||||50.0||1677.0||10.0|
|Adıyaman-2|2004||||||||||1.0|||||
|Amasya-5|2020||||||||||||||2.0|
||2021||||||||||||||2.0|
|Ankara-6|2013||||||||||1.0|||||
||2014||||||||||1.0|||||
||2015||||||||||1.0|||||
||2016||||||||||1.0|||||
||2017||||||||||1.0|||||
||2018||||||||||1.0|||||
||2020||||||||||2.0|||||
||2021||||||||||3.0||||1.0|
|Antalya-7|2004||97.0|350.0|||1605.0||||335.0||||5030.0|
||2005||102.0|300.0|||1855.0||||395.0||||5230.0|
||2006||100.0|50.0|||1880.0||||270.0||||5330.0|
||2007|50.0|1000.0||||1075.0||||200.0||||6130.0|
||2008|550.0|100.0||||1825.0||||260.0||||6540.0|
||2009|720.0|70.0|65.0|||1775.0||||||||6800.0|
||2010|1000.0||325.0|14.0|5.0|1775.0||||570.0||||7040.0|
||2011|950.0||325.0|15.0|5.0|1805.0||||571.0||||7404.0|
||2012|7500.0||215.0|15.0|5.0|1301.0||||612.0||||6610.0|
||2013|7900.0||170.0|15.0|5.0|1455.0||||675.0||||6560.0|
||2014|5110.0||170.0|14.0|5.0|2016.0||||770.0||||6545.0|
||2015|3750.0||150.0|14.0|5.0|2905.0||||770.0||||6900.0|
||2016|3710.0||160.0|14.0|5.0|5185.0||||811.0||||6394.0|
||2017|3714.0||165.0|20.0|5.0|7915.0||24.0|5.0|811.0||||6439.0|
||2018|3679.0||165.0|20.0|5.0|10555.0||||835.0||||6610.0|
||2019|3719.0||20.0|23.0|7.0|14005.0||||356.0||||6580.0|
||2020|3735.0||175.0|21.0|7.0|20376.0||||881.0||650.0||7135.0|
||2021|3709.0||202.0|13.0|7.0|26678.0|||5.0|4159.0|22.0|3140.0||6385.0|
|Aydın-9|2004|260.0|||||||||4.0||||3439.0|
||2005|4.0|||||||||4.0||||4506.0|
||2006|551.0|||||||||7.0||||2996.0|
||2007|916.0|||||||||9.0||||3220.0|
||2008|6.0|||||||||8.0||||4730.0|
||2009|6.0|||||||||3.0||||9212.0|
||2010|6.0|||||||||4.0||||7424.0|
||2011|6.0|||||||||4.0||||7670.0|
||2012|4.0|||||||||4.0||||9404.0|
||2013|6.0|||||||||1.0||||10004.0|
||2014|4.0|||||||||4.0||||10554.0|
||2015|7.0|||||||||1.0||||10634.0|
||2016|3.0|||||||||1.0||||11634.0|
||2017|4.0|||||||||154.0||||11652.0|
||2018|4.0|||||||||32.0||||11656.0|
||2019|229.0|||||||||40.0||||9309.0|
||2020|4.0|||||||||41.0||||9818.0|
||2021|4.0||5.0|||||||51.0||||8549.0|
|Balıkesir-10|2004|5.0|||||||||3.0||||10.0|
||2006|5.0|||||||||1.0|||||
||2021||||||||||2200.0|||||
|Bartın-74|2013||||||||||4.0|||||
||2014||||||||||4.0|||||
||2015||||||||||4.0|||||
||2016||||||||||4.0|||||
|Burdur-15|2004||||||||||10.0|||||
||2005||||||||||10.0|||||
||2006||||||||||10.0|||||
||2010|3.0||||||||||||||
||2013||||4.0||||||10.0|||||
||2016||||4.0|||||||||||
||2017||||4.0|||||||||||
||2018||||4.0|||||||||||
||2019||||4.0|||||||||||
||2020||||5.0|||||||||||
||2021||||5.0||||||4.0|||||
|Bursa-16|2007||||||||||||||250.0|
||2008||||||||||||||250.0|
||2009||||||||||||||250.0|
||2018|19.0||||||||||||||
||2019|29.0||||||||||||||
|Çanakkale-17|2010||||||||||||||3.0|
||2011||||||||||||||3.0|
||2012|2.0|||||||||||||3.0|
||2013|2.0|||||||||||||4.0|
||2014|4.0|||||||||||||3.0|
||2015|6.0|||||||||||||3.0|
||2016|6.0|||||||||||||3.0|
||2017|9.0|||||||||1.0|||||
||2018|15.0|||||||||4.0|||||
||2019|33.0|||||||||||||6.0|
||2020|41.0|||||||||||||10.0|
||2021|74.0|||||||||||||10.0|
|Çorum-19|2016||||||||||1.0|||||
||2017||||||||||1.0|||||
||2018||||||||||1.0|||||
||2020||||||||||||||3.0|
|Denizli-20|2004|2.0||||||||||||||
||2005|2.0|||||||||||||1.0|
||2006|3.0|||||||||||||7.0|
||2007||||||||||||||17.0|
||2020||||||10.0||||4.0|||||
||2021||||||10.0||||4.0|||||
|Düzce-81|2007|3.0||||||||||||||
||2008|7.0|||||||||2.0|||||
||2009|8.0||||||||||||||
||2010|6.0||||||||||||||
||2011|5.0||||||||||||||
||2012|3.0|||||||||||||1.0|
||2013|3.0|||||||||||||1.0|
||2014|3.0|||||||||||||1.0|
||2015|3.0|||||||||||||1.0|
||2016|3.0|||||||||||||1.0|
||2017||||||||||||||1.0|
||2018||||||||||||||1.0|
||2019||||||||||||||1.0|
||2020||||||||||||||1.0|
||2021||||||||||||||1.0|
|Erzurum-25|2008||||||||||||||1.0|
||2009||||||||||||||1.0|
||2014||||||||||1.0|||||
||2015||||||||||1.0|||||
||2016||||||||||2.0|||||
||2017||||||||||2.0|||||
||2018||||||||||2.0|||||
||2019||||||||||3.0|||||
||2020||||||||||3.0|||||
||2021||||||||||3.0|||||
|Eskişehir-26|2020||||||||||2.0|||||
||2021||||||||||2.0|||||
|Hatay-31|2004||||||1.0|||||||||
||2005||||||1.0|||||||||
||2006||||||1.0|||||||||
||2007||||||5.0|||||||||
||2008||||||5.0|||||||||
||2009||||||33.0||||10.0|||||
||2010|12.0|||||103.0|||||||||
||2011|5.0|||||230.0|||||||||
||2012|5.0|||||265.0|||||||||
||2013|32.0|||||336.0|||||||||
||2014|52.0|||||340.0||||||||6.0|
||2015|50.0|||||362.0||||||||6.0|
||2016|67.0|||||350.0|||||||20.0||
||2017|60.0|||||673.0|||||||20.0||
||2018|163.0|||||670.0||||||1.0|20.0|2.0|
||2019|152.0|||||729.0||||6.0||5.0|20.0||
||2020|142.0|||||1102.0||||4.0||11.0|20.0||
||2021|152.0|||||1275.0||||4.0||23.0|20.0|4.0|
|Isparta-32|2006|||1.0|||||||4.0|||||
||2007|||2.0|||||||5.0|||||
||2008|||2.0|||||||5.0|||||
|İstanbul-34|2020|||1.0||||||||||||
|İzmir-35|2004||||||||||13.0||||290.0|
||2005||||||||||15.0||||290.0|
||2006|20.0|||||||||16.0||||290.0|
||2007|21.0|||||||||13.0||||290.0|
||2008|21.0|||||||||13.0||||290.0|
||2009|1.0|||||||||13.0||||336.0|
||2010|1.0|||||||||13.0||||351.0|
||2011|1.0|||||||||13.0||||351.0|
||2012|1.0|||||||||13.0||||351.0|
||2013|1.0|||||||||13.0||||351.0|
||2014|1.0|||||||||13.0||||351.0|
||2015|1.0|||||||||13.0||||352.0|
||2016|13.0|||||||||18.0||||330.0|
||2017|13.0|||||||||18.0||||324.0|
||2018|13.0|||||||||131.0||||324.0|
