|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Üretim Miktarı ve Alçak Tünel ve 01.11.61.00.01. (Fasulye, Taze) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.14.00.01. (Marul (Kıvırcık)) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.14.00.02. (Marul (Göbekli)) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.14.00.03. (Marul (İceberg)) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.16.00.00. (Ispanak) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.19.00.03. (Semizotu) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.19.00.04. (Maydanoz) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.19.00.07. (Nane) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.19.00.08. (Dereotu) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.21.00.00. (Karpuz) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.29.00.00. (Kavun) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.31.00.02. (Biber (Dolmalık)) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.31.00.03. (Biber (Sivri)) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.31.00.04. (Biber (Çarliston)) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.32.00.01. (Hıyar (Sofralık)) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.33.00.00. (Patlıcan) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.34.00.01. (Domates (Sofralık)) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.39.00.02. (Kabak (Sakız)) - Ton|Üretim Miktarı ve Alçak Tünel ve 01.13.43.00.01. (Soğan (Taze)) - Ton|Üretim Miktarı ve Cam Sera ve 01.11.61.00.01. (Fasulye, Taze) - Ton|Üretim Miktarı ve Cam Sera ve 01.13.14.00.01. (Marul (Kıvırcık)) - Ton|Üretim Miktarı ve Cam Sera ve 01.13.14.00.02. (Marul (Göbekli)) - Ton|Üretim Miktarı ve Cam Sera ve 01.13.21.00.00. (Karpuz) - Ton|Üretim Miktarı ve Cam Sera ve 01.13.29.00.00. (Kavun) - Ton|Üretim Miktarı ve Cam Sera ve 01.13.31.00.03. (Biber (Sivri)) - Ton|Üretim Miktarı ve Cam Sera ve 01.13.32.00.01. (Hıyar (Sofralık)) - Ton|Üretim Miktarı ve Cam Sera ve 01.13.33.00.00. (Patlıcan) - Ton|Üretim Miktarı ve Cam Sera ve 01.13.34.00.01. (Domates (Sofralık)) - Ton|Üretim Miktarı ve Cam Sera ve 01.13.39.00.02. (Kabak (Sakız)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.11.61.00.01. (Fasulye, Taze) - Ton|Üretim Miktarı ve Plastik Sera ve 01.11.62.00.00. (Bezelye, Taze) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.12.00.03. (Lahana (Kara Yaprak)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.13.00.02. (Brokoli) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.14.00.01. (Marul (Kıvırcık)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.14.00.02. (Marul (Göbekli)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.14.00.03. (Marul (İceberg)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.16.00.00. (Ispanak) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.19.00.03. (Semizotu) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.19.00.04. (Maydanoz) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.19.00.05. (Roka) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.19.00.06. (Tere) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.19.00.07. (Nane) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.19.00.08. (Dereotu) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.21.00.00. (Karpuz) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.29.00.00. (Kavun) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.31.00.01. (Biber (Salçalık, Kapya)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.31.00.02. (Biber (Dolmalık)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.31.00.03. (Biber (Sivri)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.31.00.04. (Biber (Çarliston)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.32.00.01. (Hıyar (Sofralık)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.33.00.00. (Patlıcan) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.34.00.01. (Domates (Sofralık)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.39.00.01. (Bamya) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.39.00.02. (Kabak (Sakız)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.42.00.01. (Sarımsak (Taze)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.43.00.01. (Soğan (Taze)) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.44.00.01. (Pırasa) - Ton|Üretim Miktarı ve Plastik Sera ve 01.13.49.03.02. (Turp (Kırmızı)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.11.61.00.01. (Fasulye, Taze) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.11.69.00.02. (Bakla, Taze) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.12.00.03. (Lahana (Kara Yaprak)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.13.00.02. (Brokoli) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.14.00.01. (Marul (Kıvırcık)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.14.00.02. (Marul (Göbekli)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.14.00.03. (Marul (İceberg)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.16.00.00. (Ispanak) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.19.00.02. (Pazı) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.19.00.03. (Semizotu) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.19.00.04. (Maydanoz) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.19.00.05. (Roka) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.19.00.06. (Tere) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.19.00.07. (Nane) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.19.00.08. (Dereotu) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.21.00.00. (Karpuz) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.29.00.00. (Kavun) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.31.00.01. (Biber (Salçalık, Kapya)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.31.00.02. (Biber (Dolmalık)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.31.00.03. (Biber (Sivri)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.31.00.04. (Biber (Çarliston)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.32.00.01. (Hıyar (Sofralık)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.33.00.00. (Patlıcan) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.34.00.01. (Domates (Sofralık)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.39.00.02. (Kabak (Sakız)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.42.00.01. (Sarımsak (Taze)) - Ton|Üretim Miktarı ve Yüksek Tünel ve 01.13.43.00.01. (Soğan (Taze)) - Ton|
Örtüaltı Sebzeler|Mardin-47|2004||||||||||||||||||||||||||||||||80.0||160.0|||80.0|||||||||||||15.0||95.0||||||||||||||||||||||||||||||||||
||2005||||||||||||||||||||||||||||||||||3.0|6.0|||||||||||||||125.0||60.0||||3.0||||||||||||||||||||||||||||||
||2006||||||||||||||||||||||||||||||||||3.0|6.0||||||||||||3.0|4.0||238.0||60.0||||3.0||||||||||||||||||||||||||||||
||2007||||||||||||||||||||||||||||||||||6.0|6.0|||||||||||||55.0||238.0|65.0|170.0||||4.0||||||||||||||||||||||||||||||
||2008||||||||||||||||||||||||||||||||||6.0|6.0|||||||||||||50.0||262.0|65.0|227.0||||5.0||||||||||||||||||||||||||||||
||2009||||||||||||||||||||||||||||||||||6.0|6.0|||||||||||||50.0||356.0|65.0|283.0||||3.0||||||||||||||||||||||||||||||
