|||Sütunlar||||||||||||||||||||||
Satırlar|||||||||||||||||||||||||
|||||||||||||||||||||||||
|||Üretim Miktarı ve 01.19.21.00.01. (Karanfil, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.02. (Glayöl, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.03. (Gerbera, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.04. (Gypsohilla, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.05. (Kasımpatı (Krizantem), Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.06. (Anemon (Manisa Lalesi), Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.07. (Lilyum (Zambak), Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.08. (Orkide, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.09. (Lale, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.10. (Gül, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.12. (Lisianthus, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.13. (Fresia, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.14. (Şebboy, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.15. (Sümbül, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.16. (İris, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.17. (Statice, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.18. (Solidago (Altınbaşak), Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.19. (Nergis, Kesme) - Adet Sayısı|Üretim Miktarı ve 01.19.21.00.99. (Diğer Kesme Çiçek Ve Çiçek Koncaları) - Adet Sayısı|Üretim Miktarı ve 01.30.10.01. (Çiçek Soğanları) - Adet Sayısı|Üretim Miktarı ve 01.30.10.03.05. (İç Mekan Süs Bitkileri (Oda Bitkileri)) - Adet Sayısı|Üretim Miktarı ve 01.30.10.03.06. (Dış Mekan Süs Bitkileri) - Adet Sayısı|
Süs Bitkileri|Adana-1|2011|130000.0|||||||||4614600.0|||||||||||||
||2012||||||||||3060000.0|||||||||||||
||2013||||||||||2820000.0|||||||||||6777800.0||
||2014||||||||||2820000.0|||||||||||6777800.0||
||2015||||||||||2820000.0|||||||||||6950000.0|1.05295E7|
||2016||||||||||9125000.0|||||||||||3410000.0|1.17295E7|
||2017|2500.0||||2500.0|||||2.97525E7|||||||||||1.616E7|2.994225E7|
||2018|2500.0||||2500.0|||||2.97525E7|||||||||||1.616E7|3.059225E7|
||2019||||||||||2.975E7|||||||||||1.616E7|3.05795E7|
||2020||||||||||2.376E7|||||||||||1.616E7|3.05795E7|
||2021||||||||||2.376E7|||||||||||1.616E7|2.01795E7|
|Adıyaman-2|2011|||||||||116577.0||||||||||||||
||2012|||||||||90000.0||||||||||||||
||2013|||||||||10000.0||||||||||||||
||2014|||||||||18000.0||||||||||||||
|Afyonkarahisar-3|2011|||||||||40000.0||||||||||||||
||2012|||||||22960.0||10000.0|||||44000.0||||17000.0|||||
||2013|||||||40000.0||10000.0|||||44000.0||||17000.0|||||
||2014|||||||40000.0||10000.0|||||44000.0||||17000.0|||||
||2015|||||||22960.0||10000.0|||||44000.0||||17000.0|||||
||2016|||||||22960.0||10000.0|||||44000.0||||17000.0|||||
||2017|||||||22960.0||10000.0|||||44000.0||||17000.0|||||
||2018|||||||22960.0||||||||||||||||
||2019|||||||22960.0||||||||||||||||
||2020|||||||22960.0||||||||||||||||
|Ankara-6|2011|1480.0||||||||166500.0|||||117500.0||||18000.0|||||
||2012|1480.0||12000.0||3500.0||||380000.0|||||278510.0||||202500.0|||||
||2013|4440.0||12000.0||3500.0||||663800.0|||||268800.0||||202500.0|||995700.0|2.5150696E7|
||2014|50000.0||6000.0||80000.0||||554000.0|||||217500.0||||182250.0|||1071200.0|5.3154638E7|
||2015|50000.0||7000.0||50000.0||||279000.0|||||45950.0||||14350.0|||973012.0|5.1818274E7|
||2016|50000.0||7000.0||50000.0||||50005.0|||||44750.0||||14350.0|||973012.0|5.038425E7|
||2017|||||50000.0||||50750.0|||||45500.0||||15750.0|||969212.0|5.039225E7|
||2018|||||50000.0||||45500.0|||||42000.0||||14000.0|5000.0||409370.0|4.8878E7|
||2019|||||50000.0||||45500.0|||||42000.0||||14000.0|5000.0||409370.0|4.8878E7|
||2020|||||50000.0||||45500.0|||||42000.0||||14000.0||40000.0|409370.0|5.0323E7|
||2021|||||50000.0||||65000.0|||||60000.0||||20000.0|||409370.0|5.0562E7|
|Antalya-7|2011|2.94045E8|144000.0|1.0199E8|1.1905E7|1046000.0|1000000.0|252000.0|||1.045E7|4300000.0|1040000.0|||||1.692E7||7542000.0||||
||2012|3.08165E8|144000.0|9.004E7|1.189E7|956000.0|900000.0|270000.0|||1.105E7|4300000.0|890000.0|||||1.504E7||1.619E7||||
||2013|3.28699E8|150000.0|9.0025E7|1.189E7|956000.0|900000.0|270000.0|||1.045E7|4300000.0|865000.0|||||1.504E7||1.619E7|553000.0|5452820.0|1.458075E7|
||2014|3.301315E8|150000.0|9.401E7|1.189E7|1006000.0|900000.0|270000.0|||1.1195E7|4547500.0|865000.0|||||1.504E7||1.439E7|1541250.0|6223820.0|2.508125E7|
||2015|3.10433E8|125000.0|9.38E7|1.189E7|1006000.0|900000.0|270000.0|13500.0||1.21371E7|4247500.0|865000.0|||||1.504E7||1.319E7|2818500.0|1.3643454E7|9454300.0|
||2016|3.11029E8|90000.0|9.32E7|1.189E7|1086000.0|900000.0|270000.0|13500.0||1.20872E7|4247500.0|800000.0|20000.0||||1.504E7||1.327E7|2818500.0|1.1529204E7|1.28502E7|
||2017|3.10769E8|90000.0|9.32E7|1.189E7|1086000.0|900000.0|270000.0|13500.0||1.20122E7|4267500.0|800000.0|||||1.504E7||1.327E7|5274000.0|1.15424E7|1.29916E7|
||2018|3.1641E8|180000.0|1.0004E8|1.2219E7|2670500.0|900000.0|360000.0|13500.0||1.23722E7|4667500.0|840000.0|||||1.472E7||1.311E7|5860000.0|1.36665E7|1.2437E7|
||2019|3.18515E8|180000.0|1.0004E8|1.2219E7|2755500.0|900000.0|360000.0|13500.0||1.23722E7|4667500.0|840000.0|||||1.472E7||1.311E7|1.106225E7|8875800.0|1.30796E7|
||2020|3.15215E8|180000.0|1.0004E8|1.2219E7|1405500.0|900000.0|360000.0|13149.0||1.21722E7|9687500.0|1080000.0|||||2.272E7||1.315E7|1.9600354E7|7531500.0|1.3426E7|
||2021|2.9173E8|252000.0|9.9195E7|1.15125E7|1527500.0|1012500.0|330000.0|3000.0||1.3251E7|9828000.0|1120000.0|||||2.272E7||1360000.0|2.0330354E7|1.0881E7|1.9083E7|
|Artvin-8|2011|||||||175000.0||||||||||||||||
|Aydın-9|2011|86150.0||850000.0||100075.0|500.0||||||15000.0|||||||||||
||2012|86000.0||816000.0||120000.0|||||||25000.0|||||||||||
||2013|215000.0||748000.0||160000.0|||||||27500.0||||||||||338915.0|
||2014|43000.0||782000.0||140000.0|||||||||||||||||279799.0|
||2015|||884000.0||80000.0||||||||||||||||6400.0|382935.0|
||2016|||856800.0||96000.0||||||||||||||||6900.0|1137120.0|
||2017|||1020000.0||||||||||||||||||6900.0|1362146.0|
||2018|||1020000.0||||||||||||||||||6900.0|1376826.0|
||2019|||1904000.0||||||||||||||||||61100.0|1376826.0|
||2020|||2720000.0||||||||||||||||||6900.0|1376826.0|
||2021|||2720000.0||||||||||||||||||6900.0|1251646.0|
|Balıkesir-10|2011|8000.0||||4800.0||67500.0||1000.0||||||||||||||
||2012|4000.0||||4800.0||45000.0||||||||||||||||
||2013||||||||||24000.0||||||||||4917000.0|396000.0|1191500.0|
||2014||||||||||24000.0||||||||||5245000.0|396000.0|824700.0|
||2015||||||||||||||||||||5295000.0|396000.0|864700.0|
||2016||||||||||||||||||||4995000.0|396000.0|871200.0|
||2017||||||||||||||||||||4995000.0|396000.0|871200.0|
||2018||||||||||||||||||||5445000.0|396000.0|881200.0|
||2019||||||||||||||||||||4239225.0|60000.0|628580.0|
||2020||||||||||||||||||||4710000.0|60000.0|640580.0|
||2021||||||||||||||||||||5190000.0|60000.0|637477.0|
|Bartın-74|2013|||||||||||||||||||||4000.0|25000.0|
||2014|||||||||||||||||||||4000.0|25000.0|
||2016||||||||||||||||||||24000.0|||
||2017||||||||||||||||||||24000.0|||
||2018||||||||||||||||||||40000.0|||
||2019||||||||||||||||||||40000.0|||
||2020||||||||||||||||||||40000.0|||
|Bolu-14|2011|70000.0|40000.0|||40500.0||6500.0||20000.0|||||15000.0|12250.0||||||||
||2012|66000.0|38000.0|||36000.0||5200.0||16000.0|||||15000.0|12250.0||||||||
||2013|72000.0|39000.0|||36000.0||5850.0||16800.0|||||15000.0|12600.0|||||||247680.0|
|Burdur-15|2011|1900000.0||||||||||||||||||||||
||2012|1995000.0||||||||||||||||||||||
||2013|2470000.0||||||||||||||||||||||
||2014|2470000.0||||||||||||||||||||||
||2015|2470000.0||||||||||||||||||||||
||2016|2470000.0||||||||||||||||||||||
||2017|2470000.0||||||||||||||||||||||
||2018|2470000.0||||||||||||||||||||||
||2019|2522000.0||||||||||||||||||||||
||2020|7053220.0|||||||||140000.0|||||||||||||
||2021|1.239428E7|||||||||280000.0||||||330000.0||||300.0|||
|Bursa-16|2011|50000.0|3000000.0|||17500.0||500000.0||131250.0|300000.0|200000.0|70000.0|900000.0|205000.0|802000.0|||30000.0|||||
||2012||3000000.0|||||500000.0||220500.0|300000.0|200000.0|70000.0|906000.0|110500.0|800000.0|||28000.0|||||
||2013||2700000.0|||||750000.0||220500.0|25000.0|200000.0|70000.0|756000.0|110500.0|1000000.0|||28000.0|||1215500.0|8503432.0|
||2014||2550000.0|||||875000.0||225750.0|27500.0|190000.0|70000.0|804000.0|99750.0|960000.0|||30100.0|||1217495.0|8854326.0|
||2015||2550000.0|||||875000.0||226905.0|27500.0|190000.0|70000.0|804000.0|99750.0|960000.0|||30100.0|||1217495.0|1.3712226E7|
