|||Sütunlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Toplu Meyveliklerin Alanı ve 01.21.11.01.01. (Sofralık Üzüm, Çekirdekli) - Dekar|Toplu Meyveliklerin Alanı ve 01.21.11.01.02. (Sofralık Üzüm, Çekirdeksiz) - Dekar|Toplu Meyveliklerin Alanı ve 01.21.12.01.01. (Şaraplık Üzümler) - Dekar|Toplu Meyveliklerin Alanı ve 01.21.12.02.01. (Kurutmalık Üzüm, Çekirdekli) - Dekar|Toplu Meyveliklerin Alanı ve 01.21.12.02.02. (Kurutmalık Üzüm, Çekirdeksiz) - Dekar|Toplu Meyveliklerin Alanı ve 01.22.11.00.00. (Avokado) - Dekar|Toplu Meyveliklerin Alanı ve 01.22.12.00.00. (Muz, Plantain Ve Benzerleri) - Dekar|Toplu Meyveliklerin Alanı ve 01.22.14.00.00. (İncir (Yaş)) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.11.00.01. (Greyfurt (Altıntop)) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.12.00.00. (Limon Ve Misket Limonu) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.13.00.01. (Portakal (Washington)) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.13.00.02. (Portakal (Yafa)) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.13.00.99. (Diğer Portakallar) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.14.02.01. (Mandalina (Satsuma)) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.14.02.02. (Mandalina (Klemantin)) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.14.02.03. (Mandalina (King)) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.14.02.99. (Mandalina (Diğer)) - Dekar|Toplu Meyveliklerin Alanı ve 01.23.19.00.01. (Turunç) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.10.00.01. (Elma (Golden)) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.10.00.02. (Elma (Starking)) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.10.00.03. (Elma (Amasya)) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.10.00.04. (Elma (Granny Smith)) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.10.00.99. (Diğer Elmalar) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.21.00.00. (Armut) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.22.00.00. (Ayva) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.23.00.01. (Kayısı) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.23.00.02. (Zerdali) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.24.00.01. (Kiraz) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.24.00.02. (Vişne) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.25.00.00. (Şeftali) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.26.00.00. (Nektarin) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.27.00.00. (Erik) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.29.00.01. (Yenidünya (Malta Eriği)) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.29.00.02. (Kızılcık) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.29.00.03. (İğde) - Dekar|Toplu Meyveliklerin Alanı ve 01.24.29.00.04. (Hünnap) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.11.00.00. (Kivi) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.12.00.00. (Ahududu) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.13.00.00. (Çilek) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.19.00.01. (Maviyemiş) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.19.00.05. (Böğürtlen) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.19.00.06. (Dut) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.31.00.00. (Badem) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.32.00.00. (Kestane) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.33.00.00. (Fındık) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.34.00.00. (Şam Fıstığı (Antep Fıstığı)) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.35.00.00. (Ceviz) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.90.00.01. (Keçiboynuzu (Harnup)) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.90.00.02. (Muşmula) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.90.00.03. (Nar) - Dekar|Toplu Meyveliklerin Alanı ve 01.25.90.00.04. (Trabzon Hurması (Cennet Elması)) - Dekar|Toplu Meyveliklerin Alanı ve 01.26.11.00.00. (Sofralık Zeytinler) - Dekar|Toplu Meyveliklerin Alanı ve 01.26.12.00.00. (Yağlık Zeytinler (Zeytinyağı Üretimi İçin)) - Dekar|Toplu Meyveliklerin Alanı ve 01.27.12.00.00. (Çay Yaprakları) - Dekar|Toplu Meyveliklerin Alanı ve 01.28.12.00.00. (Biber, Kuru, İşlenmemiş) - Dekar|Toplu Meyveliklerin Alanı ve 01.28.14.00.01. (Anason, İşlenmemiş) - Dekar|Toplu Meyveliklerin Alanı ve 01.28.14.00.02. (Kimyon, İşlenmemiş) - Dekar|Toplu Meyveliklerin Alanı ve 01.28.14.00.03. (Rezene, İşlenmemiş) - Dekar|Toplu Meyveliklerin Alanı ve 01.28.14.00.04. (Kişniş, İşlenmemiş) - Dekar|Toplu Meyveliklerin Alanı ve 01.28.19.00.01. (Kekik, İşlenmemiş) - Dekar|Toplu Meyveliklerin Alanı ve 01.28.19.00.03. (Süpürge Otu, İşlenmemiş) - Dekar|Toplu Meyveliklerin Alanı ve 01.28.19.00.04. (Kapari, İşlenmemiş) - Dekar|Toplu Meyveliklerin Alanı ve 01.28.19.00.08. (Çörek Otu Tohumu) - Dekar|
Meyveler Içecek Ve Baharat Bitkileri|Iğdır-76|2004|90.0||||||||||||||||||2340.0|1110.0|10.0|10.0|10.0|210.0||15510.0||80.0|50.0|1310.0||30.0|||||||||||||||70.0|||||||||||||||||
||2005|90.0||||||||||||||||||2370.0|1120.0|10.0|10.0|10.0|220.0||15250.0||80.0|50.0|1310.0||70.0|||||||||||||||70.0|||||||||||||||||
||2006|90.0||||||||||||||||||2393.0|9342.0|50.0|149.0||293.0||15150.0||110.0|80.0|1300.0||144.0|||||||||||||||70.0|||||||||||||||||
||2007|90.0||||||||||||||||||2449.0|9458.0|50.0|245.0|10.0|339.0||15170.0||67.0|81.0|1250.0||55.0|||10.0|||||||0.0|||||70.0|||||||||||||||||
||2008|80.0||||||||||||||||||2389.0|9500.0|5.0|250.0|10.0|344.0||9418.0||67.0|0.0|1220.0|0.0|10.0|||10.0|||||||0.0|||||70.0|||||||||||||||||
||2009|80.0||||||||||||||||||2694.0|10107.0|5.0|270.0|10.0|349.0||9518.0||105.0|0.0|1230.0|0.0|10.0|||10.0|||||||0.0|||||70.0|||||||||||||||||
||2010|80.0||||||||||||||||||4800.0|11567.0||300.0||365.0||15955.0||215.0|560.0|2005.0|0.0|10.0||||||||||187.0|||||220.0|||||||||||||||||
||2011|80.0||||||||||||||||||9400.0|7384.0||344.0||375.0||16652.0||229.0|460.0|2054.0|0.0|10.0|||||||||||||||230.0|||||||||||||||||
||2012|80.0||||||||||||||||||9941.0|9317.0||785.0|101.0|375.0||18572.0||263.0|457.0|2287.0|172.0|152.0|||||||||||||||233.0|||||||||||||||||
||2013|80.0||||||||||||||||||10084.0|9412.0||812.0|101.0|323.0||18822.0||291.0|252.0|2423.0|171.0|161.0|||||||||||||||252.0|||||||||||||||||
||2014|75.0||||||||||||||||||10306.0|9601.0||819.0|100.0|291.0||19786.0||294.0|245.0|2456.0|170.0|185.0|||||||||||||||300.0|||||||||||||||||
||2015|100.0||||||||||||||||||10706.0|9889.0||819.0|100.0|301.0||27126.0||319.0|130.0|1896.0|30.0|180.0|||||||||||||||1000.0|||||||||||||||||
||2016|100.0||||||||||||||||||10906.0|9977.0||772.0|100.0|273.0||27276.0||329.0|115.0|1926.0|260.0|210.0|||||||||||||||1000.0|||||||||||||||||
||2017|80.0||||||||||||||||||9291.0|10691.0||1070.0|100.0|332.0||32300.0||380.0|105.0|2225.0|300.0|255.0|||||||||||||||1054.0|||||||||||||||||
||2018|83.0||||||||||||||||||8938.0|10724.0||1000.0|100.0|331.0||34070.0||360.0|130.0|1810.0|300.0|255.0|||||||||||||||1100.0|||||||||||||||||
||2019|83.0||||||||||||||||||8850.0|8950.0||1030.0|110.0|345.0|20.0|35600.0||380.0|132.0|1855.0|310.0|286.0|||||||||||||||1220.0|||||||||||||||||
||2020|90.0||||||||||||||||||8810.0|8960.0||1098.0|115.0|350.0|20.0|35300.0||400.0|135.0|1778.0|315.0|297.0|||||||||||||||1100.0|||||||||||||||||
||2021|90.0||||||||||||||||||8606.0|8810.0||1130.0|123.0|303.0|20.0|38540.0||415.0|130.0|1985.0|375.0|380.0|||||||||||||||1200.0|||||||||||||||||
|Isparta-32|2004|44510.0||2000.0|23310.0||||200.0|||||||||||68840.0|100840.0||1720.0|13320.0|2130.0|1600.0|9870.0|50.0|26220.0|10750.0|2610.0|890.0|1250.0|0.0|0.0|0.0||||90.0|||10.0|3880.0|0.0|110.0|30.0|1650.0||0.0|20.0|0.0|200.0|40.0||||800.0|||190.0||||
||2005|43610.0||2040.0|23700.0||||180.0|||||||||||66180.0|99210.0||11090.0|3040.0|2090.0|4580.0|11050.0|50.0|27560.0|9430.0|3160.0|490.0|1310.0|0.0|0.0|0.0||||170.0|||10.0|3270.0|0.0|70.0|30.0|5020.0||0.0|20.0|0.0|210.0|40.0||||800.0|||230.0||||
