|||Sütunlar||||||||||||||||||
Satırlar|||||||||||||||||||||
|||||||||||||||||||||
|||01.41.20.01.01. (Sığır Sütü (Kültür) (Manda Sütü Hariç)) ve Ton|01.41.20.01.02. (Sığır Sütü (Kültür Melezi) (Manda Sütü Hariç)) ve Ton|01.41.20.01.03. (Sığır Sütü (Yerli) (Manda Sütü Hariç)) ve Ton|01.41.20.02.03. (Manda Sütü (Yerli)) ve Ton|01.45.21.00.01. (Koyun Sütü, Merinos, İşlenmemiş) ve Ton|01.45.21.00.02. (Koyun Sütü, Yerli Ve Diğerleri, İşlenmemiş) ve Ton|01.45.22.00.01. (Keçi Sütü (Tiftik), İşlenmemiş) ve Ton|01.45.22.00.02. (Keçi Sütü (Kıl Keçisi Ve Diğerleri), İşlenmemiş) ve Ton|01.45.30.01.01. (Yapağı (Merinos), Hayvancılık) ve Ton|01.45.30.01.02. (Yapağı (Yerli Ve Diğerleri), Hayvancılık) ve Ton|01.45.30.02.01. (Tiftik, Hayvancılık) ve Ton|01.45.30.02.02. (Keçi Kılı, Hayvancılık) ve Ton|01.49.19.01.01. (Arılar (Kovan Halinde), Eski Tip) ve Kovan Sayısı|01.49.19.01.02. (Arılar (Kovan Halinde), Yeni Tip) ve Kovan Sayısı|01.49.19.02.01. (İpek Böceği (Damızlık İpek Böceği Hariç)) ve Kutu|01.49.21. (Doğal Bal) ve Ton|01.49.25.00.00. (İpek Böceği Kozası, Çile Yapmaya Uygun Olanlar) ve Ton|01.49.26.00.01. (Balmumu, Arı) ve Ton|
Hayvansal Üretim|Konya(Ahırlı)-1868|2015|9559.641|815.311|117.658|||47.108||98.784||3.993||2.003|6.0|1070.0||13.7||0.61|
||2016|10700.401|798.017|102.362||1.139|61.662||158.054|1.056|7.933||6.893|0.0|983.0||13.4||0.52|
||2017|10668.418|802.958|100.009||2.278|122.058||138.545|2.103|15.712||6.065|0.0|1229.0||13.05||0.63|
||2018|10625.772|1600.975|97.656||9.612|102.16||136.075|12.0|12.96||5.91|0.0|1150.0||15.0||0.58|
||2019|10103.368|1512.032|95.303||23.318|220.0||188.43|29.313|27.911||8.297|0.0|1218.0||24.36||0.6|
||2020|||||||||16.431|32.51||9.313|0.0|1218.0||24.0||0.6|
||2021|||||||||12.69|29.346||8.426|0.0|995.0||20.0||0.58|
|Konya(Akören)-1753|2015|7974.66|864.724|94.126|||583.573||164.64||20.979||6.488|345.0|868.0||20.8||0.086|
||2016|7995.983|889.43|91.773|||618.728||172.872||22.469||6.21|340.0|850.0||17.0||0.08|
||2017|8859.549|1067.316|44.71|||449.211||150.399||20.994||3.987|340.0|860.0||18.0||0.08|
||2018|9467.243|1571.327|67.065|||696.21||184.15||28.948||4.039|340.0|860.0||15.0||0.07|
||2019|9282.447|1561.444|10.589|||619.501||182.997||29.936||3.252|40.0|184.0||2.0||0.1|
||2020||||||||||26.497||2.997|38.0|292.0||1.94||0.107|
||2021||||||||||34.375||3.329|0.0|414.0||2.0||0.066|
|Konya(Akşehir)-1122|2015|15814.277|3261.245|767.13||44.5|516.779||55.978|10.605|28.617||1.35|0.0|7953.0||75.55||0.85|
||2016|15458.9|2816.53|723.597||35.6|553.34||68.737|15.381|27.82||1.331|0.0|9193.0|2.0|50.0|0.0|0.45|
||2017|39564.121|7098.149|210.608||164.472|786.066||161.265|24.087|30.991||2.225|0.0|10406.0||156.09||0.5|
||2018|41312.576|6502.724|89.42||127.234|833.314||145.624|18.9|35.964||1.988|0.0|10931.0||163.965||0.525|
||2019|39695.611|6006.126|71.771||91.706|854.337||146.036|13.689|41.208||2.003|0.0|9500.0|1.0|95.0|0.011|0.5|
||2020|||||||||30.681|84.627||3.77|0.0|9852.0||12.5||1.2|
||2021|||||||||31.809|87.367||3.909|0.0|9300.0||120.0||1.05|
|Konya(Altınekin)-1760|2015|2007.88|12353.2|25.885||231.4|2671.78||57.624|20.13|91.611||0.829|0.0|210.0||2.8||0.01|
||2016|3429.388|12353.2|25.885||121.61|2310.668||82.32|10.878|85.64||1.151|0.0|211.0||2.79||0.01|
||2017|6041.409|9882.56|7.059||160.2|2137.776||61.575|15.39|80.83||1.031|0.0|300.0||2.7||0.03|
||2018|7818.294|10376.688|5.883||213.6|2713.404||77.792|33.6|81.729||1.283|0.0|322.0||1.0||0.01|
||2019|9055.006|8894.304|5.883||678.821|1518.907||61.74|115.866|59.621||1.187|0.0|310.0||1.1||0.012|
||2020|||||||||188.142|39.758||1.276|0.0|346.0||2.3||0.05|
||2021|||||||||182.07|82.356||1.561|0.0|520.0||3.6||0.0|
|Konya(Beyşehir)-1188|2015|21713.535|6979.558|1588.383|23.112||402.525|0.882|390.938||29.849|0.18|10.89|0.0|6971.0||104.565||5.25|
||2016|24840.852|6670.728|1364.833|78.324||516.779|2.292|695.604||30.335|0.153|10.545|0.0|7575.0||65.5||4.2|
||2017|26482.694|7535.452|1441.311|150.228|2.421|520.294|1.41|691.488|0.756|30.788|0.1|10.545|0.0|7648.0||114.72||6.0|
||2018|26937.577|7201.916|1594.266|224.7|1.78|488.655|1.551|773.808|0.6|25.272|0.1|12.788|0.0|7500.0||112.5||5.625|
||2019|29116.038|8486.648|1894.294|227.268|1.922|629.275|1.516|856.128|0.6|36.45|0.1|15.638|0.0|6750.0||101.25||5.4|
||2020|||||||||0.882|47.382|0.112|15.691|0.0|6215.0||50.0||5.0|
||2021|||||||||1.044|50.878|0.127|16.294|0.0|6370.0||243.0||4.5|
|Konya(Bozkır)-1207|2015|7000.927|4728.805|52.946|||819.463||1029.412||24.624||11.675|300.0|14500.0||160.0||3.45|
||2016|7470.025|4909.162|58.829|||742.474||1041.019||22.356||11.81|280.0|15900.0||167.1||3.75|
||2017|15643.696|1704.742|44.71|||674.835||945.363||20.412||10.814|350.0|16800.0||170.0||4.3|
||2018|15384.27|1702.271|45.887|0.0||629.345||1080.697||19.116||12.713|367.0|17640.0||154.0||3.9|
||2019|14755.253|1712.154|31.768|5.136||577.104||1028.177||17.982||12.353|345.0|18000.0||160.0||4.0|
||2020||||||||||21.144||14.246|320.0|20000.0||180.0||5.0|
||2021||||||||||19.957||8.534|350.0|20150.0||180.0||5.0|
|Konya(Çeltik)-1902|2015|4797.59|877.077|117.658||291.92|650.368||45.111|53.7|32.351||1.238|0.0|90.0||0.8||0.1|
||2016|4797.59|877.077|117.658||291.92|650.368||49.392|53.1|32.319||1.238|0.0|92.0||0.8||0.1|
||2017|3766.996|741.192|123.541||222.5|421.86||45.276|43.65|21.708||0.653|0.0|0.0||0.0||0.0|
||2018|3909.147|778.252|||240.3|467.562||64.21|46.905|24.284||1.001|0.0|0.0||0.0||0.0|
||2019|1599.197|988.256|||248.132|488.655||58.612|48.72|25.709||0.881|0.0|0.0||0.0||0.0|
||2020|||||||||56.877|28.836||1.14|0.0|87.0||2.2||0.0|
||2021|||||||||61.335|28.337||0.611|0.0|215.0||1.0||0.0|
|Konya(Cihanbeyli)-1222|2015|18657.293|21865.164|717.714||69.42|8085.65||288.12|15.6|282.204||5.607|8.0|277.0||2.16||0.145|
||2016|25054.079|21000.44|705.948||71.2|7382.55||275.772|15.996|260.415||5.505|8.0|290.0||2.18||0.15|
||2017|28430.16|25076.996|700.065||67.64|7171.62||267.54|15.09|249.561||5.37|20.0|819.0||5.9||0.4|
||2018|29851.668|25200.528|717.714||67.996|7136.465||262.601|15.195|248.265||5.07|18.0|919.0||6.62||0.449|
||2019|30029.357|24706.4|670.651||67.64|8099.712||267.54|16.125|294.516||5.224|19.0|695.0||5.005||0.34|
||2020|||||||||16.23|343.335||5.243|20.0|710.0||5.105||0.346|
||2021|||||||||18.198|401.112||5.385|19.0|720.0||6.0||0.406|
|Konya(Çumra)-1262|2015|99505.56|5003.046|570.641|23.112|174.44|4851.39||312.816|28.74|161.838||4.478|400.0|4600.0||22.0||0.9|
||2016|109385.041|4990.693|576.524|6.42|178.0|4499.84||329.28|29.22|151.47||4.56|300.0|4200.0||20.0||0.85|
||2017|127935.72|9437.845|588.29|8.988|195.8|5554.49|1.692|393.49|33.45|200.567|0.098|5.88|107.0|5150.0||43.38||2.81|
||2018|133337.45|10253.156|564.758|11.556|202.92|6978.268|0.176|587.765|34.41|204.59|0.013|7.27|108.0|7657.0||63.497||4.077|
||2019|113720.64|9882.56|423.569|19.26|357.78|7108.341|0.423|692.723|54.825|210.276|0.027|8.441|48.0|4667.0||41.23||1.82|
||2020|||||||||70.998|268.382|0.03|11.089|50.0|2950.0|6.0|35.0|0.0|4.1|
||2021|||||||||66.27|240.327|0.055|9.979|40.0|3380.0||32.0||3.8|
|Konya(Derbent)-1907|2015|5195.612|691.779|35.297||4.272|281.451||57.377|0.57|7.523||1.723|0.0|700.0||6.07||0.35|
||2016|5824.629|390.361|7.059||3.524|274.49||48.816|0.435|6.864||0.635|0.0|1050.0||0.1||0.6|
||2017|6062.732|331.066|4.706||2.634|147.721||70.466|0.27|6.219||1.421|0.0|1050.0||13.0||0.7|
||2018|6638.442|506.481|1.177||3.845|124.8||52.932|0.756|5.753||1.157|100.0|870.0||7.3||0.125|
||2019|6578.028|659.661|1.177||1.744|193.704||74.911|0.321|7.953||1.28|0.0|550.0||4.6||0.08|
||2020|||||||||0.324|9.969||1.127|0.0|550.0||5.0||0.1|
||2021|||||||||2.568|11.41||1.049|0.0|785.0||6.75||0.22|
|Konya(Derebucak)-1789|2015|1226.051|284.124|47.063|||119.527||563.892||4.99||9.735|110.0|2200.0||15.6||0.55|
||2016|1172.744|271.77|43.533|||91.403||535.08||4.066||9.33|100.0|2100.0||14.25||0.5|
||2017|3766.996|284.124|47.063|||94.919||530.964||4.163||9.3|110.0|2150.0||14.5||0.48|
||2018|4371.137|306.359|51.77|||88.591||512.03||3.964||8.929|120.0|2450.0||10.2||0.45|
||2019|4300.062|296.477|64.712|||63.279||412.835||3.151||7.091|80.0|2500.0||10.3||0.44|
||2020||||||||||3.519||8.246|75.0|2550.0||10.3||0.001|
||2021||||||||||4.095||9.483|80.0|2576.0||10.0||0.002|
