||Sütunlar||
Satırlar||Ölçüm bazında||
||||
||||
||İpek Böcekçiliği Faaliyeti Yapan  Işletme Sayısı|İpek Böcekçiliği Faaliyeti Yapan Köy Sayısı|
Konya(Akşehir)-1122|2016|1.0|1.0|
|2019|1.0|1.0|
Konya(Çumra)-1262|2020|2.0|1.0|
Konya(Doğanhisar)-1285|2016|1.0|1.0|
Konya(Ereğli)-1312|2017|1.0|1.0|
Konya(Güneysınır)-1933|2016|1.0|1.0|
Konya(Ilgın)-1400|2017|1.0|1.0|
Konya(Kulu)-1491|2019|2.0|2.0|
Konya(Meram)-1827|2017|2.0|2.0|
|2018|1.0|1.0|
|2019|1.0|1.0|
|2021|2.0|2.0|
Konya(Selçuklu)-1839|2019|1.0|1.0|
|2020|2.0|2.0|
|2021|1.0|1.0|
Konya(Tuzlukçu)-1990|2021|1.0|1.0|
||||
