|||Sütunlar||||
Satırlar|||||||
|||||||
|||01.45.11.01. (Koyun, Canlı (Merinos))|01.45.11.02. (Koyun, Canlı (Yerli Ve Diğerleri))|01.45.12.01. (Keçi, Canlı (Tiftik Keçisi))|01.45.12.02. (Keçi, Canlı (Kıl Keçisi Ve Diğerleri))|
Kırkılan Hayvan Sayısı (Baş)|Konya(Ahırlı)-1868|2015||2465.0||2670.0|
||2016|352.0|4897.0||9190.0|
||2017|701.0|9699.0||8087.0|
||2018|4000.0|8000.0||7880.0|
||2019|9771.0|17229.0||11063.0|
||2020|5477.0|20068.0||12417.0|
||2021|4230.0|18115.0||11235.0|
|Konya(Akören)-1753|2015||12950.0||8650.0|
||2016||13870.0||8280.0|
||2017||12959.0||5316.0|
||2018||17869.0||5385.0|
||2019||18479.0||4336.0|
||2020||16356.0||3996.0|
||2021||21219.0||4438.0|
|Konya(Akşehir)-1122|2015|3535.0|17665.0||1800.0|
||2016|5127.0|17173.0||1775.0|
||2017|8029.0|19130.0||2967.0|
||2018|6300.0|22200.0||2650.0|
||2019|4563.0|25437.0||2670.0|
||2020|10227.0|52239.0||5027.0|
||2021|10603.0|53930.0||5212.0|
|Konya(Altınekin)-1760|2015|6710.0|56550.0||1105.0|
||2016|3626.0|52864.0||1535.0|
||2017|5130.0|49895.0||1375.0|
||2018|11200.0|50450.0||1711.0|
||2019|38622.0|36803.0||1582.0|
||2020|62714.0|24542.0||1701.0|
||2021|60690.0|50837.0||2081.0|
|Konya(Beyşehir)-1188|2015||18425.0|180.0|14520.0|
||2016||18725.0|153.0|14060.0|
||2017|252.0|19005.0|100.0|14060.0|
||2018|200.0|15600.0|100.0|17050.0|
||2019|200.0|22500.0|100.0|20850.0|
||2020|294.0|29248.0|112.0|20921.0|
||2021|348.0|31406.0|127.0|21725.0|
|Konya(Bozkır)-1207|2015||15200.0||15567.0|
||2016||13800.0||15746.0|
||2017||12600.0||14418.0|
||2018||11800.0||16950.0|
||2019||11100.0||16470.0|
||2020||13052.0||18995.0|
||2021||12319.0||11379.0|
|Konya(Çeltik)-1902|2015|17900.0|19970.0||1650.0|
||2016|17700.0|19950.0||1650.0|
||2017|14550.0|13400.0||870.0|
||2018|15635.0|14990.0||1335.0|
||2019|16240.0|15870.0||1174.0|
||2020|18959.0|17800.0||1520.0|
||2021|20445.0|17492.0||815.0|
|Konya(Cihanbeyli)-1222|2015|5200.0|174200.0||7476.0|
||2016|5332.0|160750.0||7340.0|
||2017|5030.0|154050.0||7160.0|
||2018|5065.0|153250.0||6760.0|
||2019|5375.0|181800.0||6965.0|
||2020|5410.0|211935.0||6990.0|
||2021|6066.0|247600.0||7180.0|
|Konya(Çumra)-1262|2015|9580.0|99900.0||5970.0|
||2016|9740.0|93500.0||6080.0|
||2017|11150.0|123807.0|98.0|7840.0|
||2018|11470.0|126290.0|13.0|9693.0|
||2019|18275.0|129800.0|27.0|11255.0|
||2020|23666.0|165668.0|30.0|14785.0|
||2021|22090.0|148350.0|55.0|13305.0|
|Konya(Derbent)-1907|2015|190.0|4644.0||2297.0|
||2016|145.0|4237.0||846.0|
||2017|90.0|3839.0||1894.0|
||2018|252.0|3551.0||1543.0|
||2019|107.0|4909.0||1707.0|
||2020|108.0|6154.0||1503.0|
||2021|856.0|7043.0||1399.0|
|Konya(Derebucak)-1789|2015||3080.0||12980.0|
||2016||2510.0||12440.0|
||2017||2570.0||12400.0|
||2018||2447.0||11905.0|
||2019||1945.0||9455.0|
||2020||2172.0||10995.0|
||2021||2528.0||12644.0|
|Konya(Doğanhisar)-1285|2015|1410.0|8640.0||2400.0|
||2016|1370.0|8470.0||2320.0|
||2017|1682.0|5544.0||1008.0|
||2018|1905.0|5653.0||1493.0|
||2019|2052.0|5155.0||1930.0|
||2020|3287.0|5470.0||1844.0|
||2021|4847.0|7114.0||2421.0|
|Konya(Emirgazi)-1920|2015||36410.0||2390.0|
||2016||36750.0||2406.0|
||2017||55045.0||2975.0|
||2018||82327.0||2991.0|
||2019||81295.0||3026.0|
||2020||76715.0||2727.0|
||2021||79521.0||2257.0|
|Konya(Ereğli)-1312|2015||131419.0||18857.0|
||2016||131419.0||21945.0|
||2017||171873.0||8501.0|
||2018||180014.0||9047.0|
||2019||205356.0||9627.0|
||2020||266156.0||12090.0|
||2021|10817.0|296851.0|464.0|12597.0|
|Konya(Güneysınır)-1933|2015||11570.0||9350.0|
||2016||9150.0||9400.0|
||2017||9672.0||12467.0|
||2018||11561.0||13816.0|
||2019||15409.0||15858.0|
||2020||17043.0||16136.0|
||2021|2834.0|19644.0||15640.0|
|Konya(Hadim)-1375|2015|674.0|11911.0||17997.0|
||2016|936.0|11145.0||18507.0|
||2017|729.0|7782.0||16823.0|
||2018|889.0|8398.0||17088.0|
||2019|1002.0|10202.0||20723.0|
||2020|1208.0|10171.0||15376.0|
||2021|1401.0|14745.0||22677.0|
|Konya(Halkapınar)-1937|2015||13795.0|4.0|3979.0|
||2016||13282.0||3595.0|
||2017||15297.0||3526.0|
||2018||15351.0||2731.0|
||2019||16893.0||2343.0|
||2020||19510.0||2721.0|
||2021|79.0|22918.0||2539.0|
|Konya(Hüyük)-1804|2015|525.0|7634.0||1018.0|
||2016|684.0|7503.0||879.0|
||2017|1174.0|7618.0||1759.0|
||2018|1003.0|7505.0||1816.0|
||2019|1216.0|8187.0||1691.0|
||2020|1824.0|9323.0||1633.0|
||2021|2300.0|12950.0||1900.0|
|Konya(Ilgın)-1400|2015|8178.0|61850.0|233.0|11137.0|
||2016|8925.0|63510.0|258.0|12710.0|
||2017|13180.0|68820.0|222.0|10808.0|
||2018|14820.0|64900.0|232.0|10894.0|
||2019|14830.0|67750.0|243.0|11602.0|
||2020|9810.0|90880.0|243.0|8417.0|
||2021|10802.0|106043.0||9502.0|
|Konya(Kadınhanı)-1422|2015|16500.0|56900.0||6850.0|
||2016|15548.0|56752.0||6435.0|
||2017|24148.0|75604.0||8753.0|
||2018|24475.0|76775.0||8741.0|
||2019|24560.0|76790.0||8760.0|
||2020|24080.0|93190.0||9865.0|
||2021|24495.0|91035.0||9565.0|
|Konya(Karapınar)-1441|2015|209525.0|166847.0|433.0|19825.0|
||2016|191500.0|150500.0|402.0|18400.0|
||2017|156000.0|116500.0|217.0|11850.0|
||2018|154650.0|148075.0|194.0|14160.0|
||2019|172913.0|165845.0|183.0|14370.0|
||2020|88533.0|264629.0|183.0|16226.0|
||2021|82191.0|256619.0||14440.0|
|Konya(Karatay)-1814|2015|17175.0|144200.0||6600.0|
||2016|15620.0|169200.0||7210.0|
||2017|15450.0|162200.0||4310.0|
||2018|15540.0|163300.0||4325.0|
||2019|16130.0|165500.0||4345.0|
||2020|22911.0|219226.0||5500.0|
||2021|22910.0|219227.0||5560.0|
|Konya(Kulu)-1491|2015||107400.0||3927.0|
||2016||107100.0||3900.0|
||2017||111900.0|217.0|3692.0|
||2018|54.0|113032.0|202.0|3378.0|
||2019|2132.0|109106.0|383.0|4909.0|
||2020|1612.0|113453.0|501.0|4099.0|
||2021|1626.0|130323.0|599.0|4460.0|
|Konya(Meram)-1827|2015|6484.0|107226.0||14602.0|
||2016|4893.0|109842.0||15082.0|
||2017|4878.0|116809.0||16014.0|
||2018|7643.0|114214.0||17900.0|
||2019|9170.0|122093.0||18083.0|
||2020|10957.0|140887.0||18930.0|
||2021|10979.0|140913.0||18936.0|
|Konya(Sarayönü)-1598|2015|2495.0|67554.0||3200.0|
||2016|2700.0|70000.0||3270.0|
||2017|2600.0|77400.0||2950.0|
||2018|2710.0|82325.0||3875.0|
||2019|3000.0|105000.0||4954.0|
||2020|4583.0|120935.0||4950.0|
||2021|4214.0|111189.0||4551.0|
|Konya(Selçuklu)-1839|2015||82370.0||9382.0|
||2016|4744.0|76556.0||8780.0|
||2017|3012.0|96302.0|183.0|15521.0|
||2018|657.0|89071.0|256.0|11546.0|
||2019|715.0|92570.0|272.0|12324.0|
||2020|2352.0|102532.0|461.0|17039.0|
||2021|2843.0|119034.0|437.0|17189.0|
|Konya(Seydişehir)-1617|2015|961.0|33911.0||19352.0|
||2016|1619.0|34240.0||20215.0|
||2017|1810.0|29770.0||18150.0|
||2018|3376.0|30995.0||18771.0|
||2019|3373.0|36927.0||17280.0|
||2020|4770.0|39520.0||13019.0|
||2021|7003.0|48818.0||18700.0|
|Konya(Taşkent)-1848|2015||5867.0||11474.0|
||2016||5727.0||11106.0|
||2017||9030.0||11903.0|
||2018||9858.0||12437.0|
||2019||11879.0||14220.0|
||2020||9433.0||14189.0|
||2021||9433.0||14189.0|
|Konya(Tuzlukçu)-1990|2015|5699.0|15713.0||728.0|
||2016|5435.0|15072.0||715.0|
||2017|6165.0|17190.0||1045.0|
||2018|10169.0|14047.0||672.0|
||2019|10025.0|13938.0||580.0|
||2020|9508.0|18207.0||620.0|
||2021|12979.0|20678.0||796.0|
|Konya(Yalıhüyük)-1994|2015|185.0|100.0|||
||2016|252.0|76.0|||
||2017|260.0|200.0|||
||2018|320.0|330.0|||
||2019|435.0|375.0||7.0|
||2020|446.0|350.0||137.0|
||2021|553.0|423.0||216.0|
|Konya(Yunak)-1735|2015|4660.0|48070.0||790.0|
||2016|3695.0|48260.0||810.0|
||2017|3670.0|39330.0||825.0|
||2018|5505.0|58994.0||1236.0|
||2019|5750.0|54630.0||1320.0|
||2020|7010.0|60000.0||3400.0|
||2021|12100.0|110400.0||3250.0|
|||||||
