|||Sütunlar|||
Satırlar||||||
||||||
|||01.47.12. (Hindi, Canlı)|01.47.13. (Kaz, Canlı)|01.47.14. (Ördek Ve Beç Tavuğu, Canlı)|
Diğer Kümes Hayvanları Sayısı|Konya(Ahırlı)-1868|2015|200.0|55.0|15.0|
||2016|250.0|50.0|23.0|
||2017|238.0|48.0|20.0|
||2018|230.0|42.0|19.0|
||2019|150.0|30.0|18.0|
||2020|70.0|20.0|18.0|
||2021|60.0|25.0|15.0|
|Konya(Akören)-1753|2015|435.0|63.0|70.0|
||2016|460.0|80.0|65.0|
||2017|300.0|150.0|65.0|
||2018|280.0|140.0|70.0|
||2019|200.0|135.0|65.0|
||2020|300.0|390.0|315.0|
||2021|255.0|390.0|255.0|
|Konya(Akşehir)-1122|2015|1475.0|450.0|330.0|
||2016|1300.0|650.0|450.0|
||2017|3440.0|3033.0|1784.0|
||2018|3129.0|2982.0|1645.0|
||2019|2857.0|2865.0|1523.0|
||2020|3257.0|2780.0|378.0|
||2021|3300.0|2670.0|305.0|
|Konya(Altınekin)-1760|2015|2000.0|500.0|140.0|
||2016|2500.0|550.0|300.0|
||2017|2900.0|675.0|255.0|
||2018|300.0|650.0|250.0|
||2019|350.0|650.0|250.0|
||2020|330.0|600.0|220.0|
||2021|236.0|36.0|20.0|
|Konya(Beyşehir)-1188|2015|280.0|115.0|100.0|
||2016|245.0|148.0|135.0|
||2017|581.0|357.0|242.0|
||2018|585.0|350.0|240.0|
||2019|580.0|400.0|235.0|
||2020|581.0|357.0|242.0|
||2021|575.0|350.0|240.0|
|Konya(Bozkır)-1207|2015|85.0|310.0|178.0|
||2016|81.0|280.0|165.0|
||2017|230.0|260.0|150.0|
||2018|220.0|237.0|136.0|
||2019|240.0|200.0|110.0|
||2020|205.0|165.0|90.0|
||2021|200.0|160.0|85.0|
|Konya(Çeltik)-1902|2015|70.0|40.0|200.0|
||2016|65.0|46.0|150.0|
||2017|25.0|20.0|50.0|
||2018|147.0|52.0|43.0|
||2019|75.0|12.0|11.0|
||2020|1005.0|505.0|205.0|
||2021|320.0|32.0|23.0|
|Konya(Cihanbeyli)-1222|2015|5250.0|550.0|475.0|
||2016|5330.0|560.0|490.0|
||2017|5450.0|580.0|485.0|
||2018|5475.0|585.0|480.0|
||2019|5490.0|565.0|470.0|
||2020|1686.0|880.0|355.0|
||2021|1690.0|875.0|350.0|
|Konya(Çumra)-1262|2015|6000.0|4000.0|350.0|
||2016|5200.0|3600.0|320.0|
||2017|5460.0|3200.0|660.0|
||2018|5615.0|3225.0|640.0|
||2019|5000.0|3100.0|620.0|
||2020|5050.0|3150.0|600.0|
||2021|5150.0|3200.0|610.0|
|Konya(Derbent)-1907|2015|305.0|22.0|53.0|
||2016|245.0|15.0|45.0|
||2017|240.0|14.0|42.0|
||2018|230.0|13.0|40.0|
||2019|196.0|15.0|28.0|
||2020|152.0|13.0|25.0|
||2021|50.0|20.0|30.0|
|Konya(Derebucak)-1789|2015|0.0|20.0|25.0|
||2016|0.0|22.0|27.0|
||2017|0.0|20.0|25.0|
||2018|0.0|40.0|30.0|
||2019|0.0|30.0|23.0|
||2020|0.0|25.0|20.0|
||2021|0.0|30.0|18.0|
|Konya(Doğanhisar)-1285|2015|621.0|72.0|297.0|
||2016|615.0|70.0|295.0|
||2017|630.0|60.0|210.0|
||2018|620.0|55.0|170.0|
||2019|580.0|75.0|160.0|
||2020|1640.0|400.0|520.0|
||2021|1535.0|350.0|500.0|
|Konya(Emirgazi)-1920|2015|4300.0|500.0|200.0|
||2016|4320.0|510.0|210.0|
||2017|475.0|65.0|38.0|
||2018|510.0|75.0|41.0|
||2019|530.0|80.0|45.0|
||2020|550.0|90.0|45.0|
||2021|625.0|92.0|50.0|
|Konya(Ereğli)-1312|2015|2300.0|250.0|260.0|
||2016|2310.0|240.0|250.0|
||2017|2500.0|300.0|275.0|
||2018|2550.0|320.0|255.0|
||2019|2900.0|300.0|250.0|
||2020|195.0|340.0|105.0|
||2021|230.0|360.0|110.0|
|Konya(Güneysınır)-1933|2018|940.0|290.0|72.0|
||2019|1075.0|325.0|80.0|
||2020|0.0|0.0|0.0|
||2021|1200.0|2200.0|0.0|
|Konya(Hadim)-1375|2015|46.0|30.0|32.0|
||2016|30.0|25.0|15.0|
||2017|25.0|0.0|0.0|
||2018|25.0|0.0|0.0|
||2019|24.0|0.0|0.0|
||2020|80.0|0.0|0.0|
||2021|86.0|0.0|0.0|
|Konya(Halkapınar)-1937|2015|25.0|12.0|50.0|
||2016|15.0|20.0|45.0|
||2017|0.0|10.0|13.0|
||2018|35.0|15.0|20.0|
||2019|20.0|25.0|35.0|
||2020|20.0|40.0|45.0|
||2021|15.0|50.0|60.0|
|Konya(Hüyük)-1804|2015|667.0|75.0|118.0|
||2016|740.0|100.0|120.0|
||2017|708.0|79.0|114.0|
||2018|720.0|85.0|105.0|
||2019|1011.0|225.0|143.0|
||2020|1008.0|278.0|142.0|
||2021|1011.0|225.0|143.0|
|Konya(Ilgın)-1400|2015|4900.0|175.0|105.0|
||2016|4500.0|170.0|85.0|
||2017|4300.0|250.0|100.0|
||2018|4080.0|300.0|105.0|
||2019|3950.0|400.0|120.0|
||2020|3850.0|410.0|105.0|
||2021|3847.0|414.0|108.0|
|Konya(Kadınhanı)-1422|2015|5000.0|1650.0|350.0|
||2016|3700.0|2400.0|1000.0|
||2017|3600.0|2350.0|975.0|
||2018|4050.0|2450.0|990.0|
||2019|4010.0|2430.0|930.0|
||2020|3950.0|2460.0|930.0|
||2021|3970.0|2480.0|950.0|
|Konya(Karapınar)-1441|2015|1250.0|185.0|125.0|
||2016|1150.0|150.0|100.0|
||2017|1200.0|160.0|110.0|
||2018|1150.0|150.0|100.0|
||2019|1200.0|165.0|95.0|
||2020|734.0|119.0|182.0|
||2021|1472.0|240.0|367.0|
|Konya(Karatay)-1814|2015|3100.0|750.0|320.0|
||2016|5300.0|2350.0|750.0|
||2017|3030.0|710.0|310.0|
||2018|3010.0|710.0|305.0|
||2019|3100.0|750.0|325.0|
||2020|5500.0|1700.0|400.0|
||2021|2082.0|725.0|0.0|
|Konya(Kulu)-1491|2015|3650.0|2700.0|410.0|
||2016|3750.0|2650.0|400.0|
||2017|3600.0|2450.0|380.0|
||2018|4000.0|2120.0|430.0|
||2019|2864.0|1764.0|636.0|
||2020|3625.0|1750.0|687.0|
||2021|3416.0|1890.0|655.0|
|Konya(Meram)-1827|2015|2350.0|255.0|290.0|
||2016|1960.0|260.0|300.0|
||2017|2231.0|980.0|185.0|
||2018|2012.0|621.0|185.0|
||2019|2373.0|1059.0|182.0|
||2020|1201.0|1020.0|187.0|
||2021|2592.0|1590.0|275.0|
|Konya(Sarayönü)-1598|2015|200.0|0.0|0.0|
||2016|765.0|331.0|180.0|
||2017|1134.0|431.0|285.0|
||2018|1140.0|430.0|290.0|
||2019|954.0|434.0|180.0|
||2020|1010.0|450.0|170.0|
||2021|1334.0|573.0|221.0|
|Konya(Selçuklu)-1839|2015|542.0|900.0|200.0|
||2016|340.0|690.0|150.0|
||2017|535.0|895.0|210.0|
||2018|492.0|180.0|850.0|
||2019|482.0|185.0|800.0|
||2020|411.0|235.0|707.0|
||2021|390.0|250.0|599.0|
|Konya(Seydişehir)-1617|2015|1300.0|825.0|1425.0|
||2016|1250.0|800.0|1345.0|
||2017|1275.0|820.0|1385.0|
||2018|1310.0|825.0|1350.0|
||2019|1280.0|840.0|1270.0|
||2020|1200.0|0.0|0.0|
||2021|850.0|900.0|850.0|
|Konya(Taşkent)-1848|2015|100.0|21.0|18.0|
||2016|82.0|19.0|15.0|
||2017|73.0|18.0|16.0|
||2018|70.0|17.0|14.0|
||2019|70.0|17.0|14.0|
||2020|68.0|20.0|11.0|
||2021|65.0|22.0|12.0|
|Konya(Tuzlukçu)-1990|2015|1232.0|155.0|185.0|
||2016|983.0|150.0|130.0|
||2017|400.0|200.0|100.0|
||2018|390.0|198.0|98.0|
||2019|385.0|195.0|95.0|
||2020|388.0|195.0|98.0|
||2021|379.0|196.0|93.0|
|Konya(Yalıhüyük)-1994|2015|35.0|12.0|60.0|
||2016|45.0|15.0|50.0|
||2017|50.0|20.0|30.0|
||2018|42.0|28.0|35.0|
||2019|45.0|30.0|38.0|
||2020|55.0|35.0|45.0|
||2021|60.0|38.0|35.0|
|Konya(Yunak)-1735|2015|1500.0|1100.0|680.0|
||2016|1520.0|1125.0|700.0|
||2017|1550.0|1150.0|670.0|
||2018|1550.0|1150.0|670.0|
||2019|1580.0|1100.0|650.0|
||2020|2473.0|1773.0|300.0|
||2021|2300.0|1605.0|350.0|
||||||
