|||Sütunlar||||||||||||||||||||||||||||
Satırlar|||Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Tuzlukçu)-1990|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
|||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||
(Kuru / Sulu) - (1. Ekiliş / 2.  Ekiliş) Ürünleri |Ekilen Alan ve Kuru ve Birinci Ekiliş ve 01.11.81.00.00. (Soya Fasulyesi) - Dekar|2020||||||||||||||||||||100.0|||||||||
||2021|||||||||||||||||||||||||10.0||||
|Ekilen Alan ve Kuru ve Birinci Ekiliş ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Dekar|2015|336.0|210.0|420.0|||840.0|||34.0|||154.0|||59.0|260.0|4200.0||2436.0|643.0||1136.0||||||1134.0|
||2016|540.0|180.0|99.0|||765.0|||36.0|||180.0||45.0|36.0|234.0|4500.0||2610.0|615.0||||||||1170.0|
||2017|360.0|158.0|99.0|||765.0|||32.0|||163.0|||32.0|234.0|13500.0||2610.0|150.0|||||68.0|||1170.0|
||2018|409.0||455.0|||773.0|||23.0|||500.0|27.0||30.0|637.0|15469.0||2275.0|273.0||||91.0||||1183.0|
||2019|128.0||427.0|||725.0|||137.0|||410.0|||21.0|3104.0|4267.0||939.0|90.0|299.0|||768.0||||1024.0|
||2020|213.0||140.0|||723.0|128.0|||||383.0|||19.0|4338.0|3953.0||1445.0|307.0||||||||1105.0|
||2021|250.0|125.0|600.0|||850.0|128.0|||||430.0||||8200.0|4800.0||2620.0|533.0|||||150.0|||1300.0|
|Ekilen Alan ve Kuru ve Birinci Ekiliş ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Dekar|2015||||||||||||236.0||30.0||20.0||||||50.0|||45.0|||1500.0|
||2016||||||||||||300.0||30.0||20.0|||||||||40.0|||1200.0|
||2017||||||||||||301.0||||20.0||||107.0|250.0||||150.0|||1200.0|
||2018||||||||||||375.0||||20.0||||50.0|300.0||||80.0|||1200.0|
||2019||||55.0||||||||485.0||||24.0||||61.0|412.0||||97.0|||1333.0|
||2020||||50.0||||||||613.0||||24.0|||||395.0||||85.0|||1200.0|
||2021||||50.0||||||||850.0||||200.0|||||360.0||||60.0|||1100.0|
