|||Sütunlar|||||||||||||||||||||||||||||||
Satırlar|||Konya(Ahırlı)-1868|Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Taşkent)-1848|Konya(Tuzlukçu)-1990|Konya(Yalıhüyük)-1994|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||
Meyveler Içecek Ve Baharat Bitkileri|Verim ve 01.21.11.01.01. (Sofralık Üzüm, Çekirdekli) - Kg/Dekar|2015|333.0|688.0|242.0|486.0|29.0|296.0|233.0|217.0|293.0|740.0|284.0|370.0|259.0|641.0|815.0|487.0|750.0|200.0|184.0|665.0|500.0|355.0|670.0|400.0|481.0|278.0|370.0|0.0|||222.0|
||2016|268.0|626.0|215.0|592.0|125.0|358.0|300.0|267.0|267.0|671.0|253.0|447.0|268.0|1252.0|984.0|402.0|670.0|286.0|120.0|780.0|429.0|313.0|600.0|357.0|894.0|258.0|286.0|0.0|||224.0|
||2017|275.0|719.0|234.0|680.0|173.0|360.0|133.0|25.0|307.0|691.0|258.0|514.0|514.0|1286.0|1133.0|360.0|770.0|333.0|124.0|882.0|714.0|370.0|516.0|391.0|926.0|265.0|314.0|250.0|||257.0|
||2018|452.0|740.0|185.0|125.0|586.0|760.0|581.0|36.0|619.0|712.0|264.0|645.0|1484.0|1412.0|271.0|426.0|621.0|400.0|69.0||737.0|207.0|360.0|1032.0|1032.0|1318.0|368.0|211.0|||264.0|
||2019|382.0|623.0|156.0|107.0|517.0|525.0|533.0|38.0|260.0|618.0|218.0|534.0|881.0|1215.0|847.0|370.0|537.0|200.0|304.0||667.0|179.0|311.0|899.0|955.0|1144.0|269.0|200.0|||230.0|
||2020|395.0|719.0|800.0|111.0|1000.0|521.0|600.0|38.0|300.0|650.0|249.0|534.0|900.0|1399.0|718.0|372.0|537.0|300.0|300.0||667.0|1000.0|311.0|99.0|1100.0|1156.0|420.0|250.0|||250.0|
||2021|350.0|644.0|673.0|100.0|896.0|607.0|533.0|25.0|267.0|1076.0|126.0|478.0|673.0|1379.0|635.0|358.0|197.0|350.0|180.0||600.0|883.0|313.0|94.0|986.0|1075.0|461.0|200.0|||224.0|
|Verim ve 01.21.11.01.02. (Sofralık Üzüm, Çekirdeksiz) - Kg/Dekar|2015||||600.0||||||||||||||||||560.0||||||||||
||2016||||600.0||||||||||||||||||560.0||||1000.0||||||
||2017||||630.0||||||||||||||||||588.0||||1000.0||||||
||2018||||100.0||||||||||||||||||275.0||||||||||
||2019||||100.0||||||||||||||||||333.0||||||||||
||2020||||100.0||||||||||||||||||1000.0||||||||||
||2021||||100.0||||||||||||||||||882.0||||||||||
|Verim ve 01.21.12.01.01. (Şaraplık Üzümler) - Kg/Dekar|2015|||||||||||||||1100.0|||||||686.0||||||||||
||2016|||||||||||||||1100.0|||||||667.0||||||||||
||2017|||||||||||||||1273.0|||||||778.0||||||||||
||2018|||||||||||||||361.0|||||||972.0||||||||||
||2019|||||||||||||||1034.0|||||||722.0||||||||||
||2020|||||||||||||||1205.0|||||||750.0||||||||||
||2021|||||||||||||||781.0|435.0||||||667.0||||||||||
|Verim ve 01.21.12.02.01. (Kurutmalık Üzüm, Çekirdekli) - Kg/Dekar|2015|450.0||288.0|||460.0|||||||562.0|838.0||||||||560.0|||1000.0|327.0||||||
||2016|||344.0|||553.0|||||||720.0|1200.0||||||||672.0|||1200.0|395.0||||||
||2017|||276.0|||444.0|||||||543.0|1086.0||||||||607.0|||981.0|431.0||||||
||2018|||221.0|||1072.0|||||||2087.0|1957.0||||||||292.0|||1463.0|480.0||||||
||2019|||178.0|||178.0|||||||1122.0|1564.0||||||||232.0|||1571.0|560.0||||||
||2020|||802.0|||130.0|||||||1100.0|1292.0||||||||1000.0|||1500.0|||||||
||2021|||670.0|||153.0|||||||538.0|1276.0||||||||883.0|||1344.0|||||||
|Verim ve 01.21.12.02.02. (Kurutmalık Üzüm, Çekirdeksiz) - Kg/Dekar|2016||||||||||||||||||||||||||1000.0||||||
||2017||||||||||||||||||||||||||1000.0||||||
|Verim ve 01.24.10.00.01. (Elma (Golden)) - Kg/Meyve Veren Ağaç|2015|25.0|5.0|55.0|60.0|40.0|18.0|40.0|30.0|29.0|50.0|50.0|30.0|30.0|30.0|45.0|48.0|18.0|30.0|8.0|45.0|20.0|35.0|10.0|30.0|15.0|42.0|25.0|85.0|29.0|100.0|25.0|
||2016|24.0|5.0|48.0|58.0|16.0|19.0|38.0|29.0|29.0|48.0|38.0|38.0|29.0|38.0|48.0|35.0|17.0|29.0|8.0|36.0|19.0|43.0|10.0|29.0|29.0|39.0|23.0|143.0|26.0|77.0|25.0|
||2017|70.0|40.0|55.0|60.0|17.0|22.0|40.0|30.0|32.0|48.0|50.0|40.0|28.0|38.0|50.0|34.0|18.0|30.0|8.0|36.0|20.0|40.0|10.0|30.0|30.0|39.0|26.0|150.0|26.0|74.0|25.0|
||2018|60.0|40.0|120.0|60.0|17.0|30.0|40.0|30.0|32.0|48.0|40.0|40.0|30.0|38.0|45.0|34.0|20.0|30.0|8.0|36.0|20.0|40.0|10.0|25.0|25.0|39.0|25.0|150.0|26.0|35.0|25.0|
||2019|60.0|40.0|120.0|60.0|18.0|25.0|40.0|30.0|32.0|50.0|60.0|40.0|30.0|40.0|45.0|34.0|20.0|30.0|8.0|36.0|20.0|42.0|10.0|25.0|35.0|39.0|25.0|150.0||35.0|25.0|
||2020|60.0|40.0|120.0|60.0|20.0|28.0|40.0|32.0|32.0|50.0|65.0|40.0|30.0|38.0|45.0|35.0|20.0|32.0|8.0|36.0|20.0|43.0|10.0|25.0|35.0|42.0|28.0|125.0||35.0|25.0|
||2021|60.0|40.0|120.0|60.0|20.0|20.0|40.0|25.0|32.0|50.0|70.0|40.0|28.0|38.0|45.0|38.0|20.0|30.0|10.0|36.0|20.0|43.0|11.0|21.0|45.0|44.0|29.0|105.0||23.0|25.0|
|Verim ve 01.24.10.00.02. (Elma (Starking)) - Kg/Meyve Veren Ağaç|2015|25.0|6.0|55.0|45.0|40.0|18.0|40.0|30.0|25.0|50.0|49.0|25.0|30.0|33.0|45.0|48.0|18.0|30.0|8.0|45.0|25.0|35.0|10.0|26.0|15.0|45.0|50.0|85.0|25.0|100.0|25.0|
||2016|23.0|5.0|45.0|41.0|15.0|18.0|36.0|27.0|27.0|45.0|36.0|36.0|27.0|36.0|45.0|36.0|16.0|27.0|7.0|34.0|23.0|41.0|10.0|23.0|27.0|40.0|40.0|135.0|25.0|72.0|23.0|
||2017|70.0|39.0|55.0|45.0|17.0|22.0|40.0|30.0|27.0|45.0|49.0|40.0|27.0|36.0|50.0|34.0|18.0|30.0|8.0|36.0|24.0|40.0|10.0|25.0|30.0|40.0|38.0|140.0|26.0|73.0|25.0|
||2018|60.0|40.0|120.0|45.0|16.0|30.0|40.0|30.0|27.0|45.0||40.0|30.0|35.0|45.0|34.0|20.0|30.0|7.0|35.0|24.0|39.0|10.0|20.0|30.0|40.0|39.0|140.0|26.0|37.0|30.0|
||2019|60.0|40.0|120.0|45.0|18.0|25.0|40.0|30.0|27.0|45.0||40.0|30.0|35.0|45.0|32.0|20.0|30.0|7.0|35.0|24.0|39.0|10.0|20.0|35.0|40.0|37.0|142.0||36.0|30.0|
||2020|60.0|40.0|120.0|45.0|20.0|28.0|40.0|33.0|27.0|50.0||40.0|30.0|38.0|45.0|34.0|20.0|32.0|8.0|35.0|24.0|43.0|10.0|21.0|35.0|41.0|35.0|125.0||35.0|30.0|
||2021|60.0|40.0|120.0|45.0|20.0|20.0|40.0|25.0|27.0|50.0||40.0|28.0|38.0|45.0|35.0|20.0|30.0|10.0|35.0|24.0|43.0|11.0|21.0|45.0|43.0|34.0|105.0||22.0|30.0|
|Verim ve 01.24.10.00.03. (Elma (Amasya)) - Kg/Meyve Veren Ağaç|2015|25.0||55.0||46.0|18.0||29.0|30.0|60.0||22.0||33.0|45.0|40.0|||8.0|41.0||35.0|7.0|20.0|15.0|46.0||60.0||30.0|18.0|
||2016|25.0||51.0||47.0|18.0||29.0|25.0|61.0||23.0||41.0|51.0|40.0|||8.0|41.0||41.0|10.0|20.0|31.0|46.0||102.0||33.0|20.0|
||2017|70.0||55.0||45.0|20.0||29.0|25.0|62.0||22.0||40.0|50.0|35.0|||8.0|31.0||35.0|9.0|20.0|30.0|46.0||100.0||87.0|20.0|
||2018|60.0||120.0||45.0|30.0||29.0|25.0|61.0||22.0||40.0|45.0|34.0|||8.0|31.0||34.0|9.0|18.0|30.0|46.0||100.0||33.0|20.0|
||2019|60.0||120.0||45.0|25.0||29.0|25.0|60.0||22.0||40.0|45.0||||8.0|31.0||35.0|11.0|18.0|35.0|46.0||100.0||40.0|20.0|
||2020|60.0||120.0||45.0|28.0||33.0|25.0|60.0||23.0||38.0|45.0||||8.0|31.0||42.0|11.0|18.0|35.0|47.0||100.0||40.0|20.0|
||2021|60.0||120.0||45.0|20.0||25.0|25.0|60.0||21.0||38.0|45.0||||10.0|28.0||42.0|13.0|18.0|40.0|45.0||85.0||25.0|20.0|
|Verim ve 01.24.10.00.04. (Elma (Granny Smith)) - Kg/Meyve Veren Ağaç|2015||5.0|55.0||30.0|17.0||31.0||40.0||30.0|30.0||45.0|60.0|23.0|30.0|6.0|45.0||35.0|12.0|30.0|15.0|35.0|20.0|60.0|||30.0|
