|||Sütunlar||||||||
Satırlar|||||||||||
|||||||||||
|||01.41.10.01. (Süt Sığırları, Canlı (Saf Kültür))|01.41.10.02. (Süt Sığırları, Canlı (Kültür Melezi))|01.41.10.03. (Süt Sığırları, Canlı (Yerli))|01.41.10.04. (Süt Sığırları, Canlı (Manda))|01.45.11.01. (Koyun, Canlı (Merinos))|01.45.11.02. (Koyun, Canlı (Yerli Ve Diğerleri))|01.45.12.01. (Keçi, Canlı (Tiftik Keçisi))|01.45.12.02. (Keçi, Canlı (Kıl Keçisi Ve Diğerleri))|
Sağılan Hayvan Sayısı (Baş)|Konya(Ahırlı)-1868|2015|2394.0|294.0|89.0|||596.0||1008.0|
||2016|2680.0|287.0|77.0||28.0|781.0||1613.0|
||2017|2672.0|289.0|76.0||57.0|1545.0||1414.0|
||2018|2661.0|577.0|74.0||240.0|1293.0||1389.0|
||2019|2530.0|545.0|72.0||583.0|2785.0||1923.0|
|Konya(Akören)-1753|2015|1997.0|312.0|71.0|||7387.0||1680.0|
||2016|2003.0|320.0|69.0|||7832.0||1764.0|
||2017|2219.0|384.0|34.0|||5686.0||1535.0|
||2018|2371.0|566.0|51.0|||8813.0||1879.0|
||2019|2325.0|562.0|8.0|||7842.0||1867.0|
|Konya(Akşehir)-1122|2015|3961.0|1175.0|580.0||1113.0|6542.0||571.0|
||2016|3872.0|1015.0|547.0||890.0|7004.0||701.0|
||2017|9908.0|2557.0|159.0||4112.0|9950.0||1646.0|
||2018|10346.0|2342.0|68.0||3181.0|10548.0||1486.0|
||2019|9941.0|2164.0|54.0||2293.0|10814.0||1490.0|
|Konya(Altınekin)-1760|2015|503.0|4450.0|20.0||5785.0|33820.0||588.0|
||2016|859.0|4450.0|20.0||3040.0|29249.0||840.0|
||2017|1513.0|3560.0|5.0||4005.0|27060.0||628.0|
||2018|1958.0|3738.0|4.0||5340.0|34347.0||794.0|
||2019|2268.0|3204.0|4.0||16971.0|19227.0||630.0|
|Konya(Beyşehir)-1188|2015|5438.0|2514.0|1202.0|18.0||5095.0|21.0|3989.0|
||2016|6221.0|2403.0|1032.0|61.0||6542.0|53.0|7098.0|
||2017|6632.0|2715.0|1090.0|117.0|61.0|6586.0|33.0|7056.0|
||2018|6746.0|2594.0|1206.0|175.0|45.0|6186.0|36.0|7896.0|
||2019|7292.0|3057.0|1433.0|177.0|48.0|7966.0|35.0|8736.0|
|Konya(Bozkır)-1207|2015|1753.0|1703.0|40.0|||10373.0||10504.0|
||2016|1871.0|1768.0|45.0|||9398.0||10623.0|
||2017|3918.0|614.0|34.0|||8542.0||9647.0|
||2018|3853.0|613.0|35.0|0.0||7966.0||11028.0|
||2019|3695.0|617.0|24.0|4.0||7305.0||10492.0|
|Konya(Çeltik)-1902|2015|1202.0|316.0|89.0||7298.0|8233.0||460.0|
||2016|1202.0|316.0|89.0||7298.0|8233.0||504.0|
||2017|943.0|267.0|93.0||5563.0|5340.0||462.0|
||2018|979.0|280.0|||6008.0|5919.0||655.0|
||2019|401.0|356.0|||6203.0|6186.0||598.0|
|Konya(Cihanbeyli)-1222|2015|4673.0|7877.0|543.0||1736.0|102350.0||2940.0|
||2016|6275.0|7565.0|534.0||1780.0|93450.0||2814.0|
||2017|7120.0|9034.0|530.0||1691.0|90780.0||2730.0|
||2018|7476.0|9078.0|543.0||1700.0|90335.0||2680.0|
||2019|7521.0|8900.0|507.0||1691.0|102528.0||2730.0|
|Konya(Çumra)-1262|2015|24920.0|1802.0|432.0|18.0|4361.0|61410.0||3192.0|
||2016|27394.0|1798.0|436.0|5.0|4450.0|56960.0||3360.0|
||2017|32040.0|3400.0|445.0|7.0|4895.0|70310.0|39.0|4015.0|
||2018|33393.0|3694.0|427.0|9.0|5073.0|88333.0|4.0|5998.0|
||2019|28480.0|3560.0|320.0|15.0|8945.0|89979.0|10.0|7069.0|
|Konya(Derbent)-1907|2015|1301.0|249.0|27.0||107.0|3563.0||585.0|
||2016|1459.0|141.0|5.0||88.0|3475.0||498.0|
||2017|1518.0|119.0|4.0||66.0|1870.0||719.0|
||2018|1663.0|182.0|1.0||96.0|1580.0||540.0|
||2019|1647.0|238.0|1.0||44.0|2452.0||764.0|
|Konya(Derebucak)-1789|2015|307.0|102.0|36.0|||1513.0||5754.0|
||2016|294.0|98.0|33.0|||1157.0||5460.0|
||2017|943.0|102.0|36.0|||1202.0||5418.0|
||2018|1095.0|110.0|39.0|||1121.0||5225.0|
||2019|1077.0|107.0|49.0|||801.0||4213.0|
|Konya(Doğanhisar)-1285|2015|2386.0|418.0|149.0||481.0|4895.0||1008.0|
||2016|2383.0|417.0|148.0||472.0|4806.0||983.0|
||2017|2575.0|1446.0|45.0|3.0|678.0|2933.0||344.0|
||2018|2029.0|1298.0|55.0|4.0|1099.0|3360.0||507.0|
||2019|3443.0|1281.0|71.0|9.0|1519.0|3594.0||889.0|
|Konya(Emirgazi)-1920|2015|8767.0|534.0|1.0|||24475.0||1222.0|
||2016|8775.0|543.0|2.0|||24564.0||1226.0|
||2017|10555.0|552.0|24.0|||32347.0||1512.0|
||2018|12068.0|579.0|25.0|||43084.0||1516.0|
||2019|11997.0|641.0|27.0|||39463.0||1749.0|
|Konya(Ereğli)-1312|2015|36267.0|2215.0|464.0|||74550.0||8652.0|
||2016|38277.0|2338.0|498.0|||84817.0||10534.0|
||2017|47730.0|3983.0|542.0|||96555.0||4432.0|
||2018|49296.0|4114.0|560.0|||98677.0||5069.0|
||2019|50168.0|4187.0|570.0|||109417.0||5397.0|
|Konya(Güneysınır)-1933|2015|2848.0|490.0|19.0|||5340.0||3864.0|
||2016|2893.0|445.0|18.0|||4472.0||3780.0|
||2017|3160.0|436.0||||5716.0||4868.0|
||2018|3355.0|445.0||||5789.0||4927.0|
||2019|3467.0|485.0||||6080.0||5403.0|
|Konya(Hadim)-1375|2015|665.0|263.0|158.0||228.0|6589.0||7127.0|
||2016|623.0|258.0|138.0||276.0|6408.0||8076.0|
||2017|641.0|257.0|117.0||178.0|5055.0||7266.0|
||2018|690.0|257.0|117.0||240.0|5180.0||7350.0|
||2019|691.0|259.0|118.0||267.0|6285.0||9065.0|
|Konya(Halkapınar)-1937|2015|2307.0|76.0||||8459.0|3.0|1258.0|
||2016|2954.0|80.0||||7723.0||1297.0|
||2017|2674.0|254.0||||8483.0||1373.0|
||2018|2808.0|176.0||||9063.0||1410.0|
||2019|2869.0|368.0||||7860.0||1251.0|
|Konya(Hüyük)-1804|2015|2501.0|242.0|63.0|2.0|151.0|3249.0||396.0|
||2016|2723.0|265.0|9.0|2.0|169.0|3449.0||336.0|
||2017|2737.0|236.0|43.0|3.0|283.0|3014.0||636.0|
||2018|3269.0|318.0|45.0|11.0|363.0|3778.0||471.0|
||2019|3300.0|329.0|27.0|19.0|389.0|2884.0||420.0|
|Konya(Ilgın)-1400|2015|9879.0|7120.0|854.0|8.0|3471.0|35244.0|80.0|3192.0|
||2016|10769.0|8455.0|739.0|7.0|3605.0|35511.0|86.0|3696.0|
||2017|10502.0|9790.0|166.0|31.0|6230.0|37380.0|70.0|4187.0|
||2018|11570.0|8900.0|134.0|20.0|7031.0|35600.0|72.0|4218.0|
||2019|12015.0|9345.0|160.0|25.0|7387.0|37380.0|91.0|5151.0|
|Konya(Kadınhanı)-1422|2015|12460.0|1335.0|267.0||8900.0|32930.0||2184.0|
||2016|10769.0|1113.0|160.0||10309.0|31330.0||3612.0|
||2017|12233.0|1248.0|136.0||16131.0|40954.0||4876.0|
||2018|12229.0|1276.0|139.0||16327.0|41741.0||4874.0|
||2019|10858.0|1100.0|116.0||16643.0|41830.0||4872.0|
|Konya(Karapınar)-1441|2015|17622.0|5776.0|142.0||97900.0|89018.0|328.0|8505.0|
||2016|17578.0|5340.0|125.0||89000.0|81880.0|312.0|7560.0|
||2017|17133.0|7521.0|71.0|0.0|77430.0|62300.0|164.0|4200.0|
||2018|19580.0|8544.0|62.0|0.0|77403.0|81880.0|148.0|5040.0|
||2019|25645.0|6724.0|36.0|0.0|86695.0|91706.0|139.0|5082.0|
|Konya(Karatay)-1814|2015|10324.0|13457.0|1558.0||8900.0|81880.0||3142.0|
||2016|10030.0|13688.0|1469.0||9345.0|93450.0||2982.0|
||2017|11855.0|16105.0|1455.0|48.0|9879.0|101758.0||2058.0|
||2018|12527.0|16376.0|1469.0|40.0|9897.0|102350.0||2058.0|
||2019|12549.0|16465.0|1442.0|40.0|10235.0|103418.0||2079.0|
|Konya(Kulu)-1491|2015|922.0|2456.0|2537.0|||75846.0||1856.0|
||2016|890.0|2403.0|2528.0|||75828.0||1848.0|
||2017|2203.0|3026.0|1491.0|1.0||76763.0|91.0|1762.0|
||2018|2326.0|2943.0|1226.0|0.0|0.0|70080.0|96.0|1616.0|
||2019|2131.0|2638.0|718.0|8.0|1227.0|67770.0|189.0|2323.0|
|Konya(Meram)-1827|2015|3284.0|3168.0|1357.0|75.0|2875.0|68561.0||8098.0|
||2016|4579.0|5094.0|2066.0|60.0|3277.0|71507.0||7543.0|
||2017|23387.0|4390.0|1084.0|57.0|3336.0|68128.0||6641.0|
||2018|24532.0|5650.0|1007.0|77.0|5021.0|84678.0||10118.0|
||2019|25183.0|7067.0|876.0|76.0|5667.0|86275.0||10852.0|
|Konya(Sarayönü)-1598|2015|3560.0|4540.0|116.0||801.0|35600.0||840.0|
||2016|3427.0|4005.0|107.0||846.0|37380.0||882.0|
||2017|6837.0|3458.0|55.0||890.0|49840.0||1050.0|
||2018|10324.0|1246.0|53.0||912.0|52510.0||1302.0|
||2019|11748.0|1380.0|80.0||1100.0|53701.0||2325.0|
|Konya(Selçuklu)-1839|2015|2715.0|2416.0|102.0|||53623.0||5124.0|
||2016|2510.0|1430.0|87.0||2937.0|49929.0||4998.0|
||2017|4623.0|902.0|21.0|3.0|1719.0|55358.0|55.0|8316.0|
||2018|4624.0|906.0|22.0||238.0|53967.0|128.0|6412.0|
||2019|3541.0|1416.0|22.0|0.0|320.0|54869.0|135.0|7031.0|
|Konya(Seydişehir)-1617|2015|5890.0|5259.0|2515.0||362.0|23742.0||11871.0|
