|||Sütunlar|
Satırlar|||Konya(Meram)-1827|
||||
||||
Örtüaltı Süs Bitkileri|Ekilen Alan ve Alçak Tünel ve 01.30.10.03.06. (Dış Mekan Süs Bitkileri) - Metrekare|2017|3000.0|
||2018|3000.0|
||2019|3000.0|
||2020|3000.0|
||2021|3000.0|
|Ekilen Alan ve Yüksek Tünel ve 01.30.10.03.06. (Dış Mekan Süs Bitkileri) - Metrekare|2017|4000.0|
||2018|4000.0|
||2019|4000.0|
||2020|4000.0|
||2021|4000.0|
|Üretim Miktarı ve Alçak Tünel ve 01.30.10.03.06. (Dış Mekan Süs Bitkileri) - Adet Sayısı|2017|36000.0|
||2018|36000.0|
||2019|36000.0|
||2020|36000.0|
||2021|36000.0|
|Üretim Miktarı ve Yüksek Tünel ve 01.30.10.03.06. (Dış Mekan Süs Bitkileri) - Adet Sayısı|2017|25000.0|
||2018|25000.0|
||2019|25000.0|
||2020|25000.0|
||2021|25000.0|
||||
