|||Sütunlar|||||||||||||||||||||||||||||||
Satırlar|||Konya(Ahırlı)-1868|Konya(Akören)-1753|Konya(Akşehir)-1122|Konya(Altınekin)-1760|Konya(Beyşehir)-1188|Konya(Bozkır)-1207|Konya(Cihanbeyli)-1222|Konya(Derbent)-1907|Konya(Derebucak)-1789|Konya(Doğanhisar)-1285|Konya(Emirgazi)-1920|Konya(Ereğli)-1312|Konya(Güneysınır)-1933|Konya(Hadim)-1375|Konya(Halkapınar)-1937|Konya(Hüyük)-1804|Konya(Ilgın)-1400|Konya(Kadınhanı)-1422|Konya(Karapınar)-1441|Konya(Karatay)-1814|Konya(Kulu)-1491|Konya(Meram)-1827|Konya(Sarayönü)-1598|Konya(Selçuklu)-1839|Konya(Seydişehir)-1617|Konya(Taşkent)-1848|Konya(Tuzlukçu)-1990|Konya(Yalıhüyük)-1994|Konya(Yunak)-1735|Konya(Çeltik)-1902|Konya(Çumra)-1262|
||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||
Tahıllar Ve Diğer Bitkisel Ürünler|Ekilen Alan ve 01.11.11.00.00. (Durum Buğdayı) - Dekar|2016|19454.0|51270.0|19679.0|37855.0|299532.0|3475.0|37855.0|17033.0|10536.0|36277.0|8486.0|89322.0|50669.0|46.0|2268.0|73582.0|104645.0|186776.0|182512.0|87154.0|221.0|131617.0|120842.0|60671.0|86716.0||73132.0|12881.0|458039.0|26348.0|193788.0|
||2017|20767.0|51108.0|23624.0|38617.0|294518.0|3353.0|36936.0|17492.0|8704.0|33693.0|11468.0|93043.0|52589.0|45.0|2305.0|68946.0|103279.0|184047.0|156174.0|89236.0|12930.0|126087.0|108301.0|63150.0|82937.0||74023.0|11847.0|469244.0|31813.0|198619.0|
||2018|22026.0|52953.0|31212.0|54197.0|193244.0|4012.0|37472.0|18734.0|8931.0|31504.0|11555.0|93615.0|52445.0|42.0|2294.0|69027.0|106632.0|123420.0|161450.0|68177.0|9315.0|126325.0|99016.0|53668.0|81692.0||74734.0|12296.0|477204.0|14570.0|142126.0|
||2019|23125.0|50875.0|29711.0|50875.0|185000.0|4452.0|35150.0|17032.0|7401.0|30341.0|4163.0|69181.0|52818.0||2313.0|68450.0|96784.0|115625.0|113775.0|29600.0|10332.0|106375.0|39775.0|51338.0|78554.0||60495.0|11563.0|518000.0|129500.0|111000.0|
||2020|25748.0|59313.0|33130.0|46056.0|211608.0|5462.0|38658.0|15383.0|9179.0|37573.0|8275.0|85446.0|58605.0||3191.0|73589.0|110675.0|136072.0|98286.0|45021.0|8956.0|147966.0|66206.0|71799.0|83692.0||78654.0|11883.0|79942.0|130669.0|187545.0|
||2021|25301.0|47427.0|23537.0|40404.0|204906.0|4623.0|32227.0|14886.0|8177.0|31169.0|8658.0|72150.0|56902.0|10.0|2715.0|25448.0|94757.0|143338.0|121212.0|63741.0|7679.0|131794.0|82251.0|65416.0|83694.0||66378.0|11693.0|101010.0|11063.0|197210.0|
|Ekilen Alan ve 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Dekar|2016|3402.0|39501.0|105005.0|213563.0|58661.0|29377.0|920210.0|22601.0|3250.0|43601.0|137602.0|203810.0|38601.0|1944.0|6186.0|23750.0|126005.0|265019.0|146511.0|661006.0|543877.0|88084.0|516005.0|175506.0|103117.0|5470.0|70351.0|7185.0|124008.0|141511.0|155013.0|
||2017|3480.0|38800.0|114380.0|225760.0|58200.0|29379.0|918000.0|24840.0|2310.0|43456.0|140000.0|193720.0|3846.0|1961.0|6524.0|22956.0|128400.0|274000.0|175600.0|687689.0|479566.0|88720.0|520336.0|173400.0|93369.0|5080.0|73120.0|7156.0|138130.0|166720.0|160400.0|
||2018|2973.0|37032.0|183469.0|150408.0|56647.0|35843.0|904683.0|25390.0|2045.0|44823.0|112884.0|173333.0|3535.0|1819.0|6205.0|20449.0|125099.0|274846.0|178562.0|484081.0|460713.0|87360.0|466952.0|161483.0|92062.0|4992.0|63817.0|6963.0|133200.0|139044.0|121625.0|
||2019|3000.0|31000.0|182733.0|125000.0|58000.0|36819.0|843400.0|24518.0|2000.0|45000.0|103600.0|157000.0|4150.0|1970.0|5490.0|20450.0|119299.0|269000.0|166000.0|411000.0|332830.0|85000.0|460000.0|156850.0|94900.0|4192.0|49400.0|7160.0|160000.0|32000.0|120000.0|
||2020|3108.0|31730.0|205253.0|101511.0|64818.0|42149.0|721584.0|23581.0|2206.0|57267.0|123145.0|175619.0|3596.0|2046.0|5234.0|22970.0|132925.0|286336.0|205610.0|456864.0|304579.0|104777.0|432689.0|177477.0|85671.0|5280.0|51594.0|7189.0|223342.0|40554.0|133320.0|
||2021|3011.0|26455.0|180808.0|107744.0|62530.0|35411.0|609283.0|22685.0|2203.0|50601.0|128908.0|115440.0|3564.0|1919.0|4473.0|33325.0|118037.0|212602.0|283790.0|419847.0|285933.0|99086.0|338576.0|135642.0|82732.0|5108.0|50986.0|7071.0|327080.0|137566.0|128908.0|
|Ekilen Alan ve 01.11.20.00.00. (Mısır) - Dekar|2016||1081.0||63282.0|||36807.0|||27.0|4954.0|57161.0|270.0|3.0|||54.0|9007.0|238682.0|16139.0|369.0|19815.0|5854.0|3308.0|18.0|5.0|219.0||23297.0|1801.0|153116.0|
||2017||1196.0||64634.0||1.0|42335.0|||23.0|3496.0|46935.0|857.0||||276.0|15640.0|214360.0|16631.0|710.0|20240.0|8280.0|7828.0|1196.0|4.0|920.0||21466.0|14544.0|156400.0|
||2018||1939.0|367.0|97877.0|253.0|13.0|62101.0|||169.0|3456.0|63365.0|1686.0|||42.0|1222.0|37937.0|242966.0|132286.0|928.0|25291.0|18547.0|19132.0|3372.0|3.0|3077.0||52993.0|25291.0|280313.0|
||2019||2223.0|1120.0|125670.0|445.0|14.0|87175.0|42.0||52.0|3163.0|80751.0|3120.0||256.0||7884.0|47874.0|244843.0|151691.0|1277.0|25647.0|26074.0|26553.0|9404.0|2.0|5257.0||52576.0|29922.0|312318.0|
||2020||2038.0|770.0|121520.0||15.0|86240.0|||31.0|1529.0|40141.0|2195.0||172.0||6353.0|44688.0|192080.0|132104.0|3224.0|21952.0|21403.0|24461.0|4704.0||3332.0||53782.0|28224.0|243040.0|
||2021||2600.0|267.0|155000.0||23.0|109000.0|||60.0|1400.0|51000.0|2200.0||188.0||6500.0|73100.0|237000.0|156683.0|4350.0|24000.0|26500.0|30700.0|6000.0||2250.0||65000.0|38000.0|250000.0|
|Ekilen Alan ve 01.11.31.00.01. (Arpa (Biralık)) - Dekar|2016|||||||292489.0||||||||||3453.0|||2175.0|93.0|1740.0|||||||||4508.0|
||2017|||||||302550.0||||||||||3000.0|||1890.0|48.0|1500.0|||||||||4000.0|
||2018|||10.0||||305550.0||||||||||3000.0|||1950.0||1400.0|||||||||5500.0|
||2019|||4.0||||359050.0||||||||||3000.0|||||1200.0|||||||||5997.0|
||2020|||||||688432.0||||||||||3300.0|||||1467.0|||||||||6190.0|
||2021|||||||538720.0||||||||||3175.0|||||1140.0|||||||||3127.0|
|Ekilen Alan ve 01.11.31.00.02. (Arpa (Diğer)) - Dekar|2016|7405.0|19905.0|62333.0|96644.0|138106.0|7771.0||10032.0|922.0|22169.0|122509.0|175265.0|41358.0|150.0|9733.0|43893.0|177727.0|216212.0|193686.0|172996.0|435798.0|36485.0|162029.0|183886.0|58875.0|400.0|77634.0|8185.0|108075.0|22864.0|153371.0|
||2017|10384.0|18480.0|54209.0|90641.0|123202.0|6846.0||8923.0|836.0|19642.0|105601.0|158402.0|13904.0|123.0|8624.0|37752.0|158402.0|193602.0|164562.0|160337.0|337799.0|35200.0|145378.0|162802.0|62480.0|334.0|66441.0|6864.0|110661.0|19184.0|140801.0|
||2018|9201.0|20599.0|95049.0|102556.0|147270.0|7472.0||10178.0|891.0|20980.0|143097.0|169322.0|16676.0|119.0|8101.0|45044.0|170974.0|212134.0|178057.0|177181.0|322696.0|35381.0|181449.0|197697.0|60053.0|365.0|84847.0|6550.0|118838.0|15304.0|186725.0|
||2019|8700.0|18700.0|101737.0|113750.0|145300.0|7876.0||10975.0|855.0|21270.0|176675.0|161950.0|21488.0|250.0|7020.0|52900.0|150637.0|229500.0|158700.0|282000.0|391204.0|45400.0|213400.0|238000.0|57220.0|365.0|87038.0|6638.0|136850.0|18050.0|188750.0|
||2020|10631.0|18164.0|96785.0|85954.0|131690.0|7240.0||13460.0|1339.0|20266.0|137696.0|136432.0|30506.0|230.0|6018.0|46987.0|135449.0|220416.0|120405.0|268326.0|408896.0|53941.0|242646.0|206438.0|66918.0|335.0|95386.0|7401.0|333784.0|37746.0|212953.0|
||2021|10871.0|18470.0|98262.0|108706.0|134680.0|7580.0||12949.0|1126.0|25974.0|159692.0|125060.0|29774.0|236.0|6138.0|74645.0|134767.0|250120.0|169312.0|257739.0|441789.0|50024.0|259069.0|225381.0|56758.0|327.0|115921.0|6840.0|306878.0|39442.0|211640.0|
|Ekilen Alan ve 01.11.32.00.00. (Çavdar) - Dekar|2016|||50.0|100.0|100.0||7000.0|||300.0|6000.0|20000.0|||5350.0||255.0|500.0|37000.0|2350.0|924.0|200.0||400.0||130.0|400.0||120.0|300.0|200.0|
||2017|||50.0|95.0|100.0||6000.0|||270.0|6000.0|20000.0|||5400.0||300.0|500.0|37000.0|2350.0|2462.0|200.0|16.0|400.0||50.0|2000.0||122.0|325.0|200.0|
||2018|||51.0|23.0|114.0||3993.0|||228.0|16257.0|30804.0|||4564.0||342.0||42212.0|2396.0|479.0|171.0|129.0|228.0||57.0|2453.0||137.0|228.0|228.0|
||2019|||29.0|58.0|132.0|16.0|581.0|||139.0|17418.0|46447.0|||3251.0||862.0||42963.0|1161.0|462.0|174.0|116.0|265.0||66.0|2671.0|||46.0|232.0|
||2020|115.0|88.0|25.0|98.0|350.0|15.0|500.0|||75.0|24100.0|40000.0|||3000.0||862.0|50.0|7000.0|750.0|450.0|155.0||400.0|70.0|67.0|2550.0||130.0|93.0|200.0|
