|||Sütunlar|||||
Satırlar||||||||
||||||||
|||Meyveler, İçecek Ve Baharat Bitkileri Alanı - Dekar|Nadas Alanı - Dekar|Sebze Alanı - Dekar|Süs Bitkileri Alanı - Dekar|Tahıllar Ve Diğer Bitkisel Ürünlerin Alanı - Dekar|
Tarım Alanı|Konya(Ahırlı)-1868|2015|8377.0|17250.0|90.0|0.0|37964.0|
||2016|8107.0|19573.0|100.0|0.0|35973.0|
||2017|8186.0|7613.0|100.0|0.0|45678.0|
||2018|6738.0|8038.0|100.0|0.0|46835.0|
||2019|5916.0|4500.0|260.0|0.0|46968.0|
||2020|5927.0|4438.0|540.0|0.0|56271.0|
||2021|5953.0|4438.0|700.0|0.0|57563.0|
|Konya(Akören)-1753|2015|1445.0|67820.0|560.0|0.0|141490.0|
||2016|1560.0|64843.0|690.0|0.0|141081.0|
||2017|1521.0|62376.0|680.0|0.0|138384.0|
||2018|1546.0|56115.0|680.0|0.0|143283.0|
||2019|1889.0|54044.0|662.0|0.0|140003.0|
||2020|2038.0|59652.0|680.0|0.0|154737.0|
||2021|2237.0|59891.0|682.0|0.0|144953.0|
|Konya(Akşehir)-1122|2015|28900.0|27431.0|7998.0|0.0|250323.0|
||2016|29114.0|26819.0|8251.0|0.0|245026.0|
||2017|30207.0|23352.0|10449.0|0.0|250567.0|
||2018|38373.0|50628.0|9341.0|0.0|388297.0|
||2019|40000.0|50383.0|9423.0|0.0|389411.0|
||2020|39071.0|50758.0|9514.0|0.0|398713.0|
||2021|39126.0|52508.0|2394.0|0.0|355981.0|
|Konya(Altınekin)-1760|2015|2880.0|55338.0|10200.0|0.0|614066.0|
||2016|2710.0|120420.0|10190.0|0.0|616112.0|
||2017|2646.0|108605.0|12940.0|0.0|639027.0|
||2018|710.0|52032.0|12705.0|0.0|618494.0|
||2019|2090.0|27840.0|10720.0|0.0|612157.0|
||2020|1270.0|50000.0|14125.0|0.0|560285.0|
||2021|1236.0|50000.0|15865.0|0.0|613746.0|
|Konya(Beyşehir)-1188|2015|10738.0|11706.0|4706.0|0.0|346835.0|
||2016|10786.0|72122.0|11706.0|0.0|572262.0|
||2017|9994.0|69368.0|11706.0|0.0|550857.0|
||2018|8566.0|20000.0|11710.0|0.0|483407.0|
||2019|8627.0|9815.0|11715.0|0.0|470504.0|
||2020|9017.0|10000.0|11771.0|0.0|493528.0|
||2021|9644.0|10000.0|11526.0|0.0|489101.0|
|Konya(Bozkır)-1207|2015|38748.0|122885.0|246.0|0.0|56378.0|
||2016|39151.0|121072.0|290.0|0.0|56557.0|
||2017|39327.0|116470.0|298.0|0.0|55588.0|
||2018|39756.0|63862.0|579.0|0.0|69748.0|
||2019|39303.0|62532.0|636.0|0.0|69065.0|
||2020|39422.0|62149.0|655.0|0.0|76030.0|
||2021|39422.0|62144.0|659.0|0.0|70452.0|
|Konya(Çeltik)-1902|2015|965.0|53210.0|1371.0|0.0|278324.0|
||2016|410.0|72765.0|1360.0|0.0|293070.0|
||2017|266.0|10950.0|5522.0|0.0|322564.0|
||2018|12000.0|8300.0|8070.0|0.0|291075.0|
||2019|16870.0|9155.0|5320.0|0.0|335059.0|
||2020|3719.0|10000.0|6663.0|0.0|350448.0|
||2021|1446.0|28000.0|7592.0|0.0|337800.0|
|Konya(Cihanbeyli)-1222|2015|41077.0|689831.0|1800.0|0.0|1461922.0|
||2016|35077.0|679909.0|1550.0|0.0|1473130.0|
||2017|40077.0|630050.0|1600.0|0.0|1531144.0|
||2018|41078.0|592250.0|1600.0|0.0|1531396.0|
||2019|47577.0|594000.0|2500.0|0.0|1526059.0|
||2020|47577.0|573673.0|3500.0|0.0|1748831.0|
||2021|29077.0|573673.0|4600.0|0.0|1524530.0|
|Konya(Çumra)-1262|2015|10706.0|236158.0|43027.0|0.0|1021702.0|
||2016|9710.0|198544.0|43192.0|0.0|999401.0|
||2017|8546.0|191000.0|44367.0|0.0|1009239.0|
||2018|6979.0|131000.0|56893.0|0.0|1109440.0|
||2019|6980.0|44995.0|44783.0|0.0|1111921.0|
||2020|7100.0|44925.0|40432.0|0.0|1174581.0|
||2021|6964.0|60000.0|66393.0|0.0|1204889.0|
|Konya(Derbent)-1907|2015|3205.0|41000.0|5700.0|0.0|69618.0|
||2016|3245.0|39069.0|6300.0|0.0|70062.0|
||2017|3332.0|41200.0|7000.0|0.0|71858.0|
||2018|3356.0|30620.0|6700.0|0.0|75528.0|
||2019|3413.0|33158.0|6700.0|0.0|74148.0|
||2020|3554.0|47738.0|6700.0|0.0|72234.0|
||2021|3817.0|56563.0|2500.0|0.0|70448.0|
|Konya(Derebucak)-1789|2015|608.0|3725.0|0.0|0.0|17719.0|
||2016|758.0|3222.0|0.0|0.0|23784.0|
||2017|758.0|3070.0|12.0|0.0|23958.0|
||2018|863.0|3100.0|202.0|0.0|24034.0|
||2019|925.0|3570.0|1033.0|0.0|21491.0|
||2020|915.0|3700.0|254.0|0.0|23539.0|
||2021|988.0|3000.0|253.0|0.0|22441.0|
|Konya(Doğanhisar)-1285|2015|15120.0|5321.0|2200.0|0.0|138785.0|
||2016|15979.0|5197.0|4475.0|0.0|132059.0|
||2017|15970.0|5812.0|4585.0|0.0|123984.0|
||2018|16043.0|13640.0|4341.0|0.0|127080.0|
||2019|16249.0|58085.0|4265.0|0.0|130414.0|
||2020|16401.0|60850.0|4085.0|0.0|141058.0|
||2021|13095.0|78000.0|3415.0|0.0|130618.0|
|Konya(Emirgazi)-1920|2015|573.0|126456.0|0.0|0.0|306727.0|
||2016|653.0|122661.0|0.0|0.0|295751.0|
||2017|657.0|120000.0|0.0|0.0|287067.0|
||2018|637.0|119400.0|0.0|0.0|316941.0|
||2019|739.0|120000.0|751.0|0.0|349338.0|
||2020|827.0|90000.0|200.0|0.0|341488.0|
||2021|850.0|58000.0|102.0|0.0|361768.0|
|Konya(Ereğli)-1312|2015|40510.0|210710.0|47595.0|0.0|636245.0|
||2016|45065.0|326402.0|55490.0|0.0|744048.0|
||2017|57204.0|261000.0|69690.0|0.0|751634.0|
||2018|56264.0|332700.0|69495.0|0.0|793932.0|
||2019|59884.0|140778.0|73295.0|0.0|791615.0|
||2020|59374.0|173199.0|106665.0|0.0|752215.0|
||2021|57740.0|184090.0|96450.0|0.0|713671.0|
|Konya(Güneysınır)-1933|2015|18208.0|17027.0|570.0|0.0|117653.0|
||2016|24613.0|17671.0|600.0|0.0|157884.0|
||2017|20039.0|79866.0|1500.0|0.0|91273.0|
||2018|20810.0|59040.0|2500.0|0.0|100013.0|
||2019|19974.0|56050.0|2470.0|0.0|104576.0|
||2020|20399.0|65000.0|1959.0|0.0|122350.0|
||2021|20652.0|55000.0|2500.0|0.0|128550.0|
|Konya(Hadim)-1375|2015|74271.0|2341.0|930.0|0.0|3490.0|
||2016|73480.0|2938.0|930.0|0.0|2828.0|
||2017|74101.0|2503.0|40.0|0.0|2838.0|
||2018|79054.0|3342.0|1015.0|0.0|2710.0|
||2019|74412.0|2363.0|1011.0|0.0|3245.0|
||2020|75876.0|2220.0|1326.0|0.0|3120.0|
||2021|75644.0|2000.0|1342.0|0.0|3007.0|
|Konya(Halkapınar)-1937|2015|8504.0|13695.0|30.0|0.0|31537.0|
||2016|8504.0|13382.0|30.0|0.0|31686.0|
||2017|8480.0|12554.0|70.0|0.0|31331.0|
||2018|8561.0|12554.0|120.0|0.0|32423.0|
||2019|8534.0|12554.0|365.0|0.0|31344.0|
||2020|8534.0|12554.0|365.0|0.0|31934.0|
||2021|8594.0|12500.0|365.0|0.0|32002.0|
|Konya(Hüyük)-1804|2015|7574.0|16765.0|1360.0|0.0|142112.0|
||2016|10211.0|10395.0|1480.0|0.0|165655.0|
||2017|10687.0|10000.0|1490.0|0.0|153132.0|
||2018|11829.0|10000.0|1450.0|0.0|155639.0|
||2019|12445.0|15816.0|1212.0|0.0|167306.0|
||2020|12495.0|15286.0|1179.0|0.0|170807.0|
||2021|11098.0|15917.0|684.0|4.0|166368.0|
|Konya(Ilgın)-1400|2015|11533.0|281798.0|3798.0|0.0|545649.0|
||2016|12057.0|276421.0|3778.0|0.0|531872.0|
||2017|11014.0|246000.0|2848.0|0.0|518341.0|
||2018|10998.0|257550.0|2848.0|0.0|526086.0|
||2019|11578.0|230000.0|2848.0|0.0|524701.0|
||2020|7798.0|228449.0|3204.0|0.0|532983.0|
||2021|7653.0|241908.0|3970.0|0.0|510725.0|
|Konya(Kadınhanı)-1422|2015|5773.0|624741.0|1300.0|0.0|1070815.0|
||2016|4249.0|183898.0|1771.0|0.0|877070.0|
||2017|5861.0|172552.0|381.0|0.0|875856.0|
||2018|7549.0|184763.0|963.0|0.0|846590.0|
||2019|10361.0|158301.0|1218.0|0.0|898712.0|
||2020|9770.0|172258.0|1137.0|0.0|927961.0|
||2021|9686.0|119041.0|1339.0|0.0|956413.0|
|Konya(Karapınar)-1441|2015|2033.0|660000.0|12550.0|0.0|846524.0|
||2016|7947.0|665278.0|12600.0|0.0|1010518.0|
||2017|7942.0|246045.0|12650.0|0.0|1017173.0|
||2018|4359.0|176510.0|26450.0|0.0|1050311.0|
||2019|5450.0|181310.0|23900.0|0.0|1100934.0|
||2020|4940.0|40000.0|12900.0|0.0|966027.0|
||2021|5321.0|100000.0|16547.0|0.0|1118859.0|
|Konya(Karatay)-1814|2015|3091.0|549461.0|2281.0|400.0|1131535.0|
||2016|3091.0|528792.0|2281.0|400.0|1263969.0|
||2017|3090.0|512205.0|2281.0|400.0|1303788.0|
||2018|2666.0|506500.0|5092.0|400.0|1265499.0|
||2019|2114.0|440071.0|5550.0|400.0|1328009.0|
||2020|2053.0|425572.0|5327.0|404.0|1348191.0|
||2021|1866.0|452897.0|10124.0|368.0|1355128.0|
|Konya(Kulu)-1491|2015|25778.0|564023.0|100.0|0.0|585278.0|
||2016|28225.0|199583.0|0.0|0.0|1011902.0|
||2017|39253.0|217000.0|0.0|0.0|894923.0|
||2018|88106.0|135893.0|0.0|0.0|948411.0|
||2019|52853.0|201684.0|535.0|0.0|935441.0|
||2020|37282.0|211436.0|350.0|0.0|906428.0|
||2021|26559.0|174000.0|250.0|0.0|951864.0|
