|||Sütunlar||
Satırlar|||||
|||||
|||Et Tavuğu Sayısı|Yumurta Tavuğu Sayısı|
Ölçüm bazında|Konya(Ahırlı)-1868|2015|0.0|2400.0|
||2016|0.0|3500.0|
||2017|0.0|3225.0|
||2018|0.0|3000.0|
||2019|0.0|2000.0|
||2020|0.0|2000.0|
||2021|0.0|2010.0|
|Konya(Akören)-1753|2015|0.0|34000.0|
||2016|0.0|0.0|
||2017|0.0|29000.0|
||2018|0.0|29000.0|
||2019|0.0|400.0|
||2020|0.0|6030.0|
||2021|0.0|5470.0|
|Konya(Akşehir)-1122|2015|531200.0|201300.0|
||2016|199000.0|194000.0|
||2017|348000.0|206500.0|
||2018|307800.0|206810.0|
||2019|362000.0|206810.0|
||2020|112250.0|184756.0|
||2021|101050.0|180150.0|
|Konya(Altınekin)-1760|2015|0.0|350000.0|
||2016|0.0|352000.0|
||2017|0.0|350000.0|
||2018|0.0|235000.0|
||2019|0.0|325000.0|
||2020|0.0|252000.0|
||2021|0.0|166889.0|
|Konya(Beyşehir)-1188|2015||7500.0|
||2016|0.0|6800.0|
||2017|0.0|17421.0|
||2018|0.0|17500.0|
||2019|0.0|17000.0|
||2020|0.0|17421.0|
||2021|0.0|19850.0|
|Konya(Bozkır)-1207|2015|0.0|2000.0|
||2016|0.0|1890.0|
||2017|0.0|3150.0|
||2018|0.0|3000.0|
||2019|0.0|3350.0|
||2020|0.0|3200.0|
||2021|0.0|3250.0|
|Konya(Çeltik)-1902|2015||4500.0|
||2016|0.0|4400.0|
||2017|0.0|3500.0|
||2018|0.0|3600.0|
||2019|0.0|3400.0|
||2020|0.0|5001.0|
||2021|0.0|4050.0|
|Konya(Cihanbeyli)-1222|2015||36150.0|
||2016||28100.0|
||2017|0.0|28050.0|
||2018|0.0|28100.0|
||2019|0.0|28160.0|
||2020|0.0|21100.0|
||2021|0.0|18150.0|
|Konya(Çumra)-1262|2015|0.0|1950000.0|
||2016|0.0|1722640.0|
||2017|0.0|2229000.0|
||2018|0.0|2043585.0|
||2019|0.0|1800000.0|
||2020|0.0|1701383.0|
||2021|0.0|1702245.0|
|Konya(Derbent)-1907|2015||3450.0|
||2016||3210.0|
||2017||3250.0|
||2018||3000.0|
||2019||2453.0|
||2020|0.0|2385.0|
||2021|0.0|2002.0|
|Konya(Derebucak)-1789|2015||2700.0|
||2016||3000.0|
||2017|0.0|2900.0|
||2018|0.0|2750.0|
||2019|0.0|2500.0|
||2020|0.0|2400.0|
||2021|0.0|2200.0|
|Konya(Doğanhisar)-1285|2015||7335.0|
||2016|0.0|7320.0|
||2017|0.0|6100.0|
||2018|0.0|5900.0|
||2019|0.0|5860.0|
||2020|0.0|5246.0|
||2021|0.0|5440.0|
|Konya(Emirgazi)-1920|2015|1500.0|7500.0|
||2016|0.0|7600.0|
||2017|0.0|4690.0|
||2018|0.0|4800.0|
||2019|0.0|4900.0|
||2020|0.0|4850.0|
||2021|0.0|4800.0|
|Konya(Ereğli)-1312|2015|225100.0|320050.0|
||2016|225000.0|310000.0|
||2017|0.0|345000.0|
||2018|0.0|350000.0|
||2019|220000.0|248000.0|
||2020|206000.0|120450.0|
||2021|205000.0|180350.0|
|Konya(Güneysınır)-1933|2015||35500.0|
||2016||80000.0|
||2017||36000.0|
||2018||50000.0|
||2019||57841.0|
||2020|0.0|0.0|
||2021|0.0|68200.0|
|Konya(Hadim)-1375|2015|0.0|5650.0|
||2016|0.0|4400.0|
||2017|0.0|2500.0|
||2018|0.0|2500.0|
||2019|0.0|2522.0|
||2020|0.0|2650.0|
||2021|0.0|2680.0|
|Konya(Halkapınar)-1937|2015||3150.0|
||2016|0.0|3275.0|
||2017|0.0|2163.0|
||2018|0.0|2000.0|
||2019|0.0|2120.0|
||2020|0.0|2300.0|
||2021|0.0|2080.0|
|Konya(Hüyük)-1804|2015||8144.0|
||2016||7650.0|
||2017||7825.0|
||2018||6800.0|
||2019||7100.0|
||2020|0.0|8250.0|
||2021|0.0|8280.0|
|Konya(Ilgın)-1400|2015|0.0|47000.0|
||2016|0.0|40500.0|
||2017|0.0|41000.0|
||2018|0.0|40500.0|
||2019|0.0|40000.0|
||2020|0.0|41100.0|
||2021|0.0|41120.0|
|Konya(Kadınhanı)-1422|2015||11000.0|
||2016|0.0|10500.0|
||2017|0.0|10045.0|
||2018|0.0|10100.0|
||2019|0.0|10050.0|
||2020|0.0|10500.0|
||2021|0.0|10550.0|
|Konya(Karapınar)-1441|2015|0.0|13300.0|
||2016|0.0|14500.0|
||2017|0.0|15000.0|
||2018|0.0|15100.0|
||2019|0.0|16000.0|
||2020|0.0|18976.0|
||2021|3000.0|17257.0|
|Konya(Karatay)-1814|2015|0.0|2594023.0|
||2016|0.0|2818000.0|
||2017|0.0|2890000.0|
||2018|0.0|2810000.0|
||2019|0.0|2426292.0|
||2020|0.0|2018354.0|
||2021|0.0|1593951.0|
|Konya(Kulu)-1491|2015||38400.0|
||2016||40000.0|
||2017|0.0|350000.0|
||2018|0.0|540000.0|
||2019|0.0|1240000.0|
||2020|0.0|1247920.0|
||2021|0.0|991194.0|
|Konya(Meram)-1827|2015||4552721.0|
||2016||4780000.0|
||2017|0.0|6696597.0|
||2018|0.0|4974785.0|
||2019|0.0|4536693.0|
||2020|0.0|3909817.0|
||2021|0.0|3318095.0|
|Konya(Sarayönü)-1598|2015||716412.0|
||2016||724874.0|
||2017||1051500.0|
||2018||825000.0|
||2019||833823.0|
||2020|0.0|654354.0|
||2021|0.0|579764.0|
|Konya(Selçuklu)-1839|2015|0.0|570720.0|
||2016|0.0|794783.0|
||2017|0.0|850000.0|
||2018|0.0|846132.0|
||2019|0.0|711812.0|
||2020|0.0|568275.0|
||2021|0.0|507309.0|
|Konya(Seydişehir)-1617|2015|0.0|12100.0|
||2016|0.0|12400.0|
||2017|0.0|11750.0|
||2018|0.0|11900.0|
||2019|0.0|12300.0|
||2020|0.0|12500.0|
||2021|0.0|13700.0|
|Konya(Taşkent)-1848|2015|0.0|825.0|
||2016|0.0|689.0|
||2017|0.0|684.0|
||2018|0.0|685.0|
||2019|0.0|685.0|
||2020|0.0|650.0|
||2021|0.0|638.0|
|Konya(Tuzlukçu)-1990|2015|0.0|8800.0|
||2016|0.0|9000.0|
||2017|0.0|8500.0|
||2018|0.0|8500.0|
||2019|0.0|8600.0|
||2020|0.0|8500.0|
||2021|0.0|8300.0|
|Konya(Yalıhüyük)-1994|2015|0.0|3800.0|
||2016|0.0|3600.0|
||2017|0.0|3500.0|
||2018|0.0|3200.0|
||2019|0.0|3100.0|
||2020|0.0|2810.0|
||2021|0.0|2750.0|
|Konya(Yunak)-1735|2015||6800.0|
||2016|0.0|6750.0|
||2017|0.0|6775.0|
||2018|0.0|6775.0|
||2019|0.0|6850.0|
||2020|0.0|12738.0|
||2021|0.0|12900.0|
|||||
