|||Sütunlar||||
Satırlar|||Konya(Akşehir)-1122|Konya(Karatay)-1814|Konya(Meram)-1827|Konya(Çumra)-1262|
|||||||
|||||||
Örtüaltı Sebzeler|Ekilen Alan ve Alçak Tünel ve 01.13.14.00.02. (Marul (Göbekli)) - Dekar|2019|||50.0||
||2020|||50.0||
||2021|||48.0||
|Ekilen Alan ve Yüksek Tünel ve 01.13.14.00.02. (Marul (Göbekli)) - Dekar|2015||||2.0|
||2019|||50.0||
||2020|||50.0||
||2021|||51.0||
|Ekilen Alan ve Yüksek Tünel ve 01.13.21.00.00. (Karpuz) - Dekar|2016||||5.0|
||2017||||5.0|
|Ekilen Alan ve Yüksek Tünel ve 01.13.31.00.01. (Biber (Salçalık, Kapya)) - Dekar|2015||||2.0|
||2016||||1.0|
||2017||||1.0|
||2018||||1.0|
||2019||||1.0|
||2020||||2.0|
||2021||||3.0|
|Ekilen Alan ve Yüksek Tünel ve 01.13.32.00.01. (Hıyar (Sofralık)) - Dekar|2015||2.0|20.0|7.0|
||2016|2.0|2.0|20.0|9.0|
||2017|16.0|2.0|21.0|9.0|
||2018|33.0|2.0|10.0|9.0|
||2019|50.0|3.0|20.0|9.0|
||2020|55.0|12.0|15.0|8.0|
||2021|60.0||16.0|9.0|
|Ekilen Alan ve Yüksek Tünel ve 01.13.34.00.01. (Domates (Sofralık)) - Dekar|2015||2.0||4.0|
||2016||2.0|1.0|5.0|
||2017|10.0|2.0|1.0|5.0|
||2018|30.0|2.0|20.0|5.0|
||2019|50.0|10.0|30.0|5.0|
||2020|45.0|10.0|33.0|4.0|
||2021|70.0||32.0|8.0|
|Ekilen Alan ve Yüksek Tünel ve 01.13.43.00.01. (Soğan (Taze)) - Dekar|2015|1.0||||
||2016|1.0||||
|Üretim Miktarı ve Alçak Tünel ve 01.13.14.00.02. (Marul (Göbekli)) - Ton|2019|||90.0||
||2020|||150.0||
||2021|||149.0||
|Üretim Miktarı ve Yüksek Tünel ve 01.13.14.00.02. (Marul (Göbekli)) - Ton|2015||||12.0|
||2019|||100.0||
||2020|||150.0||
||2021|||153.0||
|Üretim Miktarı ve Yüksek Tünel ve 01.13.21.00.00. (Karpuz) - Ton|2016||||30.0|
||2017||||30.0|
|Üretim Miktarı ve Yüksek Tünel ve 01.13.31.00.01. (Biber (Salçalık, Kapya)) - Ton|2015||||8.0|
||2016||||4.0|
||2017||||4.0|
||2018||||4.0|
||2019||||4.0|
||2020||||8.0|
||2021||||12.0|
|Üretim Miktarı ve Yüksek Tünel ve 01.13.32.00.01. (Hıyar (Sofralık)) - Ton|2015||45.0|400.0|105.0|
||2016|7.0|45.0|460.0|126.0|
||2017|320.0|45.0|525.0|126.0|
||2018|660.0|45.0|250.0|126.0|
||2019|1000.0|68.0|500.0|126.0|
||2020|1100.0|270.0|180.0|108.0|
||2021|1200.0||193.0|122.0|
|Üretim Miktarı ve Yüksek Tünel ve 01.13.34.00.01. (Domates (Sofralık)) - Ton|2015||41.0||60.0|
||2016||41.0|21.0|68.0|
||2017|150.0|41.0|25.0|68.0|
||2018|450.0|41.0|500.0|68.0|
||2019|750.0|205.0|750.0|68.0|
||2020|900.0|205.0|462.0|54.0|
||2021|1400.0||450.0|108.0|
|Üretim Miktarı ve Yüksek Tünel ve 01.13.43.00.01. (Soğan (Taze)) - Ton|2015|1.0||||
||2016|1.0||||
|||||||
