|||Sütunlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Hasat Edilen Alan ve 01.11.11.00.00. (Durum Buğdayı) - Dekar|Hasat Edilen Alan ve 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Dekar|Hasat Edilen Alan ve 01.11.20.00.00. (Mısır) - Dekar|Hasat Edilen Alan ve 01.11.31.00.01. (Arpa (Biralık)) - Dekar|Hasat Edilen Alan ve 01.11.31.00.02. (Arpa (Diğer)) - Dekar|Hasat Edilen Alan ve 01.11.32.00.00. (Çavdar) - Dekar|Hasat Edilen Alan ve 01.11.33.00.00. (Yulaf) - Dekar|Hasat Edilen Alan ve 01.11.41.00.00. (Sorgum) - Dekar|Hasat Edilen Alan ve 01.11.42.00.00. (Darı) - Dekar|Hasat Edilen Alan ve 01.11.49.00.01. (Kaplıca) - Dekar|Hasat Edilen Alan ve 01.11.49.00.02. (Kuş Yemi) - Dekar|Hasat Edilen Alan ve 01.11.49.00.03. (Mahlut) - Dekar|Hasat Edilen Alan ve 01.11.49.00.04. (Triticale) - Dekar|Hasat Edilen Alan ve 01.11.49.00.05. (Kara Buğday) - Dekar|Hasat Edilen Alan ve 01.11.71.00. (Fasulye, Kuru) - Dekar|Hasat Edilen Alan ve 01.11.72.00.00. (Bakla, Kuru (İnsan Tüketimi İçin)) - Dekar|Hasat Edilen Alan ve 01.11.73.00.00. (Nohut, Kuru) - Dekar|Hasat Edilen Alan ve 01.11.74.00.01. (Mercimek, Kuru (Kırmızı)) - Dekar|Hasat Edilen Alan ve 01.11.74.00.02. (Mercimek, Kuru (Yeşil)) - Dekar|Hasat Edilen Alan ve 01.11.75.00.00. (Bezelye, Kuru) - Dekar|Hasat Edilen Alan ve 01.11.79.00.01. (Börülce, Kuru) - Dekar|Hasat Edilen Alan ve 01.11.79.00.02. (Burçak (Dane)) - Dekar|Hasat Edilen Alan ve 01.11.79.00.03. (Buy (Çemen Otu)) - Dekar|Hasat Edilen Alan ve 01.11.79.00.04. (Mürdümük) - Dekar|Hasat Edilen Alan ve 01.11.79.00.05. (Acı Bakla (İnsan Tüketimi İçin)) - Dekar|Hasat Edilen Alan ve 01.11.81.00.00. (Soya Fasulyesi) - Dekar|Hasat Edilen Alan ve 01.11.82.00.00. (Yerfıstığı, Kabuklu) - Dekar|Hasat Edilen Alan ve 01.11.84.00.00. (Pamuk Çekirdeği (Çiğit)) - Dekar|Hasat Edilen Alan ve 01.11.91.00.00. (Keten Tohumu) - Dekar|Hasat Edilen Alan ve 01.11.93.00.00. (Kanola Veya Kolza Tohumu) - Dekar|Hasat Edilen Alan ve 01.11.94.00.00. (Susam Tohumu) - Dekar|Hasat Edilen Alan ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Dekar|Hasat Edilen Alan ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Dekar|Hasat Edilen Alan ve 01.11.99.00.01. (Kenevir Tohumu) - Dekar|Hasat Edilen Alan ve 01.11.99.00.02. (Haşhaş Tohumu) - Dekar|Hasat Edilen Alan ve 01.11.99.00.03. (Aspir Tohumu) - Dekar|Hasat Edilen Alan ve 01.12.10.00.00. (Çeltik) - Dekar|Hasat Edilen Alan ve 01.13.51.00.00. (Patates (Tatlı Patates Hariç)) - Dekar|Hasat Edilen Alan ve 01.13.52.00.00. (Tatlı Patates) - Dekar|Hasat Edilen Alan ve 01.13.59.00.01. (Yer Elması) - Dekar|Hasat Edilen Alan ve 01.13.59.00.02. (Salep) - Dekar|Hasat Edilen Alan ve 01.13.71.00.00. (Şeker Pancarı) - Dekar|Hasat Edilen Alan ve 01.13.72.00.00. (Şeker Pancarı Tohumları) - Dekar|Hasat Edilen Alan ve 01.15.10.00.00. (Tütün, İşlenmemiş) - Dekar|Hasat Edilen Alan ve 01.16.11.00.01. (Pamuk, Çırçırlanmamış (Kütlü)) - Dekar|Hasat Edilen Alan ve 01.16.11.00.02. (Pamuk, Çırçırlanmış (Lifli)) - Dekar|Hasat Edilen Alan ve 01.16.19.00.01. (Keten, Lif) - Dekar|Hasat Edilen Alan ve 01.16.19.00.02. (Kenevir, Lif) - Dekar|Hasat Edilen Alan ve 01.19.10.10. (Fiğ (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.10.01. (Fiğ (Adi) (Yeşil Ot)) - Dekar|Hasat Edilen Alan ve 01.19.10.10.02. (Fiğ (Macar) (Yeşil Ot)) - Dekar|Hasat Edilen Alan ve 01.19.10.10.03. (Fiğ (Diğer) (Yeşil Ot)) - Dekar|Hasat Edilen Alan ve 01.19.10.11.00. (Burçak (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.12.00. (Yonca (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.13.00. (Korunga (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.14.00. (Üçgül (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.15.00. (Yulaf (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.16.00. (Sorgum (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.17.00. (Triticale (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.18.00. (Mürdümük (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.19.00. (Mısır (Hasıl)) - Dekar|Hasat Edilen Alan ve 01.19.10.20.00. (Mısır (Slaj)) - Dekar|Hasat Edilen Alan ve 01.19.10.22.00. (Hayvan Pancarı) - Dekar|Hasat Edilen Alan ve 01.19.10.23.00. (Yem Şalgamı) - Dekar|Hasat Edilen Alan ve 01.19.10.24.00. (Buğday (Hasıl/Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.26.00. (Bakla, Kuru (Yemlik)) - Dekar|Hasat Edilen Alan ve 01.19.10.27.00. (Sudan Otu (Yemlik)) - Dekar|Hasat Edilen Alan ve 01.19.10.28.00. (Çayır Otu (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.29.00. (Arpa (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.30.00. (Çavdar (Yeşilot)) - Dekar|Hasat Edilen Alan ve 01.19.10.31.00. (Bezelye (Yemlik)) - Dekar|Hasat Edilen Alan ve 01.19.10.32.00. (İtalyan Çimi (Yemlik)) - Dekar|Hasat Edilen Alan ve 01.19.31.03.00. (Üçgül Tohumu) - Dekar|Hasat Edilen Alan ve 01.19.31.05.00. (Korunga Tohumu) - Dekar|Hasat Edilen Alan ve 01.19.31.06. (Fiğ Tohumu) - Dekar|Hasat Edilen Alan ve 01.19.31.06.01. (Fiğ (Adi) Tohumu) - Dekar|Hasat Edilen Alan ve 01.19.31.06.02. (Fiğ (Macar) Tohumu) - Dekar|Hasat Edilen Alan ve 01.19.31.06.03. (Fiğ (Diğer) Tohumu) - Dekar|Hasat Edilen Alan ve 01.19.31.08.00. (Çim Tohumu) - Dekar|Hasat Edilen Alan ve 01.19.31.09.00. (Yonca Tohumu) - Dekar|Hasat Edilen Alan ve 01.28.30.00.08. (Haşhaş Kapsülü (Haşhaş Kellesi)) - Dekar|Hasat Edilen Alan ve 01.28.30.00.11. (Adaçayı) - Dekar|Hasat Edilen Alan ve 01.28.30.00.17. (Isırgan Otu) - Dekar|Hasat Edilen Alan ve 01.28.30.00.19. (Lavanta) - Dekar|Hasat Edilen Alan ve 01.28.30.00.23. (Oğul Otu (Melisa)) - Dekar|Hasat Edilen Alan ve 01.28.30.00.36. (Gül, Yağlık) - Dekar|
Tahıllar Ve Diğer Bitkisel Ürünler|Kilis-79|2004|172970.0|45880.0|3240.0||111420.0||||||||||||75150.0|95070.0||||||||||2260.0|||3500.0|||||||||||210.0|||2260.0|2260.0|||730.0|||||||||||||110.0|||||||||||||730.0||||||||||||
||2005|152360.0|40500.0|5320.0||99990.0||||||||||||75950.0|100000.0||||||||||3760.0|||3540.0||||||||||||||3760.0|3760.0|||1750.0|||||||||||||390.0|||||||||||||350.0||||||||||||
||2006|120485.0|37365.0|1556.0||95539.0||||||||||||82325.0|107665.0||||||||||4327.0||39.0|3540.0|||||||||||329.0|||4327.0|4327.0|||6230.0|||||||||||||165.0|||||||||||||||||||||||||
||2007|112076.0|59073.0|1853.0||85085.0||||||||||||64200.0|109500.0||||||||||3550.0||40.0|2735.0||||||||||||||3550.0|3550.0|||13910.0|||||||||||||245.0|||||||||||||3000.0||||||||||||
||2008|110016.0|61675.0|2208.0||84450.0||||||||||||64595.0|91515.0||||||||||4043.0|||2500.0||||||||||||||4043.0|4043.0|||12015.0|||||||||||||733.0|||||||||||||2600.0||||||||||||
||2009|109232.0|59056.0|1680.0||86441.0||||||||||||69700.0|94110.0||||||||||4702.0|||2500.0||||||||||||||4702.0|4702.0|||9100.0|||||||||||||815.0|||||||||||||2710.0||||||||||||
