|||Sütunlar||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Satırlar|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||Üretim Miktarı ve 01.11.11.00.00. (Durum Buğdayı) - Ton|Üretim Miktarı ve 01.11.12.00.00. (Buğday, Durum Buğdayı Hariç) - Ton|Üretim Miktarı ve 01.11.20.00.00. (Mısır) - Ton|Üretim Miktarı ve 01.11.31.00.01. (Arpa (Biralık)) - Ton|Üretim Miktarı ve 01.11.31.00.02. (Arpa (Diğer)) - Ton|Üretim Miktarı ve 01.11.32.00.00. (Çavdar) - Ton|Üretim Miktarı ve 01.11.33.00.00. (Yulaf) - Ton|Üretim Miktarı ve 01.11.41.00.00. (Sorgum) - Ton|Üretim Miktarı ve 01.11.42.00.00. (Darı) - Ton|Üretim Miktarı ve 01.11.49.00.01. (Kaplıca) - Ton|Üretim Miktarı ve 01.11.49.00.02. (Kuş Yemi) - Ton|Üretim Miktarı ve 01.11.49.00.03. (Mahlut) - Ton|Üretim Miktarı ve 01.11.49.00.04. (Triticale) - Ton|Üretim Miktarı ve 01.11.49.00.05. (Kara Buğday) - Ton|Üretim Miktarı ve 01.11.71.00. (Fasulye, Kuru) - Ton|Üretim Miktarı ve 01.11.72.00.00. (Bakla, Kuru (İnsan Tüketimi İçin)) - Ton|Üretim Miktarı ve 01.11.73.00.00. (Nohut, Kuru) - Ton|Üretim Miktarı ve 01.11.74.00.01. (Mercimek, Kuru (Kırmızı)) - Ton|Üretim Miktarı ve 01.11.74.00.02. (Mercimek, Kuru (Yeşil)) - Ton|Üretim Miktarı ve 01.11.75.00.00. (Bezelye, Kuru) - Ton|Üretim Miktarı ve 01.11.79.00.01. (Börülce, Kuru) - Ton|Üretim Miktarı ve 01.11.79.00.02. (Burçak (Dane)) - Ton|Üretim Miktarı ve 01.11.79.00.03. (Buy (Çemen Otu)) - Ton|Üretim Miktarı ve 01.11.79.00.04. (Mürdümük) - Ton|Üretim Miktarı ve 01.11.79.00.05. (Acı Bakla (İnsan Tüketimi İçin)) - Ton|Üretim Miktarı ve 01.11.81.00.00. (Soya Fasulyesi) - Ton|Üretim Miktarı ve 01.11.82.00.00. (Yerfıstığı, Kabuklu) - Ton|Üretim Miktarı ve 01.11.84.00.00. (Pamuk Çekirdeği (Çiğit)) - Ton|Üretim Miktarı ve 01.11.91.00.00. (Keten Tohumu) - Ton|Üretim Miktarı ve 01.11.93.00.00. (Kanola Veya Kolza Tohumu) - Ton|Üretim Miktarı ve 01.11.94.00.00. (Susam Tohumu) - Ton|Üretim Miktarı ve 01.11.95.00.01. (Ayçiçeği Tohumu (Yağlık)) - Ton|Üretim Miktarı ve 01.11.95.00.02. (Ayçiçeği Tohumu (Çerezlik)) - Ton|Üretim Miktarı ve 01.11.99.00.01. (Kenevir Tohumu) - Ton|Üretim Miktarı ve 01.11.99.00.02. (Haşhaş Tohumu) - Ton|Üretim Miktarı ve 01.11.99.00.03. (Aspir Tohumu) - Ton|Üretim Miktarı ve 01.12.10.00.00. (Çeltik) - Ton|Üretim Miktarı ve 01.13.51.00.00. (Patates (Tatlı Patates Hariç)) - Ton|Üretim Miktarı ve 01.13.52.00.00. (Tatlı Patates) - Ton|Üretim Miktarı ve 01.13.59.00.01. (Yer Elması) - Ton|Üretim Miktarı ve 01.13.59.00.02. (Salep) - Ton|Üretim Miktarı ve 01.13.71.00.00. (Şeker Pancarı) - Ton|Üretim Miktarı ve 01.13.72.00.00. (Şeker Pancarı Tohumları) - Ton|Üretim Miktarı ve 01.15.10.00.00. (Tütün, İşlenmemiş) - Ton|Üretim Miktarı ve 01.16.11.00.01. (Pamuk, Çırçırlanmamış (Kütlü)) - Ton|Üretim Miktarı ve 01.16.11.00.02. (Pamuk, Çırçırlanmış (Lifli)) - Ton|Üretim Miktarı ve 01.16.19.00.01. (Keten, Lif) - Ton|Üretim Miktarı ve 01.16.19.00.02. (Kenevir, Lif) - Ton|Üretim Miktarı ve 01.19.10.10. (Fiğ (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.10.01. (Fiğ (Adi) (Yeşil Ot)) - Ton|Üretim Miktarı ve 01.19.10.10.02. (Fiğ (Macar) (Yeşil Ot)) - Ton|Üretim Miktarı ve 01.19.10.10.03. (Fiğ (Diğer) (Yeşil Ot)) - Ton|Üretim Miktarı ve 01.19.10.11.00. (Burçak (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.12.00. (Yonca (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.13.00. (Korunga (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.14.00. (Üçgül (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.15.00. (Yulaf (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.16.00. (Sorgum (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.17.00. (Triticale (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.18.00. (Mürdümük (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.19.00. (Mısır (Hasıl)) - Ton|Üretim Miktarı ve 01.19.10.20.00. (Mısır (Slaj)) - Ton|Üretim Miktarı ve 01.19.10.22.00. (Hayvan Pancarı) - Ton|Üretim Miktarı ve 01.19.10.23.00. (Yem Şalgamı) - Ton|Üretim Miktarı ve 01.19.10.24.00. (Buğday (Hasıl/Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.26.00. (Bakla, Kuru (Yemlik)) - Ton|Üretim Miktarı ve 01.19.10.27.00. (Sudan Otu (Yemlik)) - Ton|Üretim Miktarı ve 01.19.10.28.00. (Çayır Otu (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.29.00. (Arpa (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.30.00. (Çavdar (Yeşilot)) - Ton|Üretim Miktarı ve 01.19.10.31.00. (Bezelye (Yemlik)) - Ton|Üretim Miktarı ve 01.19.10.32.00. (İtalyan Çimi (Yemlik)) - Ton|Üretim Miktarı ve 01.19.31.03.00. (Üçgül Tohumu) - Ton|Üretim Miktarı ve 01.19.31.05.00. (Korunga Tohumu) - Ton|Üretim Miktarı ve 01.19.31.06. (Fiğ Tohumu) - Ton|Üretim Miktarı ve 01.19.31.06.01. (Fiğ (Adi) Tohumu) - Ton|Üretim Miktarı ve 01.19.31.06.02. (Fiğ (Macar) Tohumu) - Ton|Üretim Miktarı ve 01.19.31.06.03. (Fiğ (Diğer) Tohumu) - Ton|Üretim Miktarı ve 01.19.31.08.00. (Çim Tohumu) - Ton|Üretim Miktarı ve 01.19.31.09.00. (Yonca Tohumu) - Ton|Üretim Miktarı ve 01.28.30.00.08. (Haşhaş Kapsülü (Haşhaş Kellesi)) - Ton|Üretim Miktarı ve 01.28.30.00.11. (Adaçayı) - Ton|Üretim Miktarı ve 01.28.30.00.17. (Isırgan Otu) - Ton|Üretim Miktarı ve 01.28.30.00.19. (Lavanta) - Ton|Üretim Miktarı ve 01.28.30.00.23. (Oğul Otu (Melisa)) - Ton|Üretim Miktarı ve 01.28.30.00.36. (Gül, Yağlık) - Ton|
Tahıllar Ve Diğer Bitkisel Ürünler|Kilis-79|2004|31682.0|7749.0|1809.0||17862.0||||||||||||8161.0|11838.0||||||||||350.0|||132.0|||||||||||867.0|||600.0|227.0|||0.0|||||||||||||70.0|||||||||||||121.0||||||||||||
||2005|41113.0|10687.0|3279.0||24802.0||||||||||||9350.0|11985.0||||||||||585.0|||155.0||||||||||||||1008.0|385.0|||0.0|||||||||||||229.0|||||||||||||58.0||||||||||||
||2006|25042.0|8177.0|1129.0||22841.0||||||||||||15211.0|12927.0||||||||||777.0||10.0|144.0|||||||||||1413.0|||1334.0|507.0|||0.0|||||||||||||101.0|||||||||||||||||||||||||
||2007|23298.0|13827.0|1320.0||21198.0||||||||||||10970.0|10435.0||||||||||644.0||3.0|137.0||||||||||||||1107.0|421.0|||4150.0|||||||||||||143.0|||||||||||||313.0||||||||||||
||2008|9749.0|3493.0|1149.0||6126.0||||||||||||4479.0|4655.0||||||||||518.0|||88.0||||||||||||||875.0|324.0|||2140.0|||||||||||||436.0|||||||||||||103.0||||||||||||
||2009|23807.0|11057.0|903.0||16819.0||||||||||||15496.0|17121.0||||||||||688.0|||120.0||||||||||||||1161.0|429.0|||2955.0|||||||||||||541.0|||||||||||||159.0||||||||||||
