|||Sütunlar|||||
Satırlar||||||||
||||||||
|||Meyveler, İçecek Ve Baharat Bitkileri Alanı - Dekar|Nadas Alanı - Dekar|Sebze Alanı - Dekar|Süs Bitkileri Alanı - Dekar|Tahıllar Ve Diğer Bitkisel Ürünlerin Alanı - Dekar|
Tarım Alanı|Adana-1|2004|443400.0|102500.0|287740.0|0.0|5126320.0|
||2005|452390.0|63220.0|271890.0|0.0|5156130.0|
||2006|482610.0|36260.0|299613.0|0.0|4803462.0|
||2007|508607.0|51350.0|284929.0|0.0|4697768.0|
||2008|535425.0|78383.0|320589.0|0.0|4619870.0|
||2009|541264.0|76159.0|328378.0|0.0|4663473.0|
||2010|582614.0|75954.0|319428.0|0.0|4528357.0|
||2011|605037.0|78241.0|311605.0|435.1|3967661.0|
||2012|623479.0|88319.0|311510.0|321.0|3784339.0|
||2013|661085.0|82545.0|300491.0|143.6|3707347.0|
||2014|675066.0|83843.0|282034.0|143.6|3940955.0|
||2015|672551.0|92600.0|285057.0|405.0|3836537.0|
||2016|683976.0|89352.0|309269.0|515.0|3831221.0|
||2017|711126.0|91480.0|308875.0|1485.0|3868467.0|
||2018|742080.0|90263.0|346194.0|1500.0|3675938.0|
||2019|785261.0|87710.0|335445.0|1499.0|3557337.0|
||2020|844349.0|90539.0|329783.0|1390.0|3556299.0|
||2021|900310.0|78930.0|313213.0|1270.0|3576151.0|
|Adıyaman-2|2004|383100.0|5500.0|45370.0|0.0|2419460.0|
||2005|386990.0|0.0|44850.0|0.0|2444510.0|
||2006|397481.0|3500.0|44627.0|0.0|2329673.0|
||2007|375052.0|3000.0|38348.0|0.0|2367353.0|
||2008|376784.0|3000.0|41837.0|0.0|2347383.0|
||2009|382631.0|3000.0|44962.0|0.0|2158606.0|
||2010|385710.0|5590.0|45252.0|0.0|2026840.0|
||2011|388417.0|9330.0|52596.0|13.0|1948955.0|
||2012|394358.0|15200.0|55718.0|7.5|1876370.0|
||2013|414886.0|12460.0|61327.0|1.0|1919531.0|
||2014|425509.0|10249.0|59231.0|2.0|1908234.0|
||2015|444639.0|12021.0|57236.0|0.0|1884495.0|
||2016|491742.0|6212.0|58968.0|0.0|1851472.0|
||2017|503477.0|8560.0|56676.0|0.0|1778972.0|
||2018|519923.0|6453.0|46105.0|0.0|1770925.0|
||2019|537693.0|6457.0|55801.0|0.0|1706542.0|
||2020|541286.0|14414.0|58688.0|0.0|1760001.0|
||2021|570896.0|14882.0|49608.0|0.0|1609168.0|
|Afyonkarahisar-3|2004|139160.0|1238950.0|75480.0|0.0|4353240.0|
||2005|150310.0|1077810.0|72400.0|0.0|4210850.0|
||2006|154566.0|978550.0|76049.0|0.0|4268774.0|
||2007|157648.0|978370.0|79481.0|0.0|4171253.0|
||2008|160040.0|1108967.0|80856.0|0.0|3889990.0|
||2009|162527.0|437221.0|79989.0|0.0|3652890.0|
||2010|167893.0|692592.0|78309.0|0.0|3954919.0|
||2011|178822.0|665566.0|79869.0|4.0|3808721.0|
||2012|180832.0|735159.0|74929.0|6.1|3664784.0|
||2013|184478.0|789796.0|75278.0|7.0|3656634.0|
||2014|170899.0|747897.0|71074.0|7.0|3654649.0|
||2015|172533.0|858162.0|69929.0|6.1|3693702.0|
||2016|176581.0|851058.0|69379.0|6.1|3640445.0|
||2017|168991.0|847449.0|74109.0|6.1|3492048.0|
||2018|183437.0|805499.0|76868.0|1.1|3598777.0|
||2019|190040.0|772883.0|81594.0|1.1|3683144.0|
||2020|186930.0|755531.0|75202.0|1.1|3723343.0|
||2021|177773.0|827171.0|79984.0|0.0|3925204.0|
|Ağrı-4|2004|480.0|1152170.0|9340.0|0.0|2379310.0|
||2005|530.0|1115010.0|11060.0|0.0|2410650.0|
||2006|530.0|1235778.0|11196.0|0.0|2355572.0|
||2007|364.0|1617923.0|4191.0|0.0|2386823.0|
||2008|449.0|815594.0|5400.0|0.0|2499615.0|
||2009|459.0|958669.0|5965.0|0.0|2480776.0|
||2010|754.0|1003629.0|9125.0|0.0|2477856.0|
||2011|771.0|1118550.0|7985.0|0.0|2408680.0|
||2012|1218.0|1217951.0|8208.0|0.0|2462083.0|
||2013|943.0|1092602.0|7983.0|0.0|2489968.0|
||2014|741.0|1192274.0|11584.0|0.0|2500402.0|
||2015|738.0|1188112.0|10647.0|0.0|2445726.0|
||2016|743.0|1200476.0|6844.0|0.0|2397950.0|
||2017|651.0|1187657.0|5482.0|0.0|2350382.0|
||2018|1555.0|1211940.0|5196.0|0.0|2318496.0|
||2019|2014.0|1179019.0|5164.0|0.0|2337691.0|
||2020|3031.0|1137875.0|6321.0|0.0|2384831.0|
||2021|3031.0|1041756.0|6679.0|0.0|2483976.0|
|Aksaray-68|2004|108100.0|1189500.0|81670.0|0.0|2727000.0|
||2005|176330.0|1189090.0|84310.0|0.0|2694040.0|
||2006|221462.0|1244354.0|105149.0|0.0|2768730.0|
||2007|69642.0|1295000.0|78862.0|0.0|2816631.0|
||2008|60102.0|1254313.0|92271.0|0.0|2554037.0|
||2009|58771.0|1252720.0|93261.0|0.0|2653916.0|
||2010|63220.0|1397476.0|93789.0|0.0|2572041.0|
||2011|61583.0|1216086.0|91272.0|0.0|2527097.0|
||2012|50725.0|1220636.0|98335.0|0.0|2382962.0|
||2013|46174.0|1361607.0|92927.0|0.0|2349806.0|
||2014|42608.0|1520741.0|98807.0|0.0|2497108.0|
||2015|39387.0|1401806.0|106311.0|0.0|2604829.0|
||2016|39770.0|1405361.0|107964.0|0.0|2560099.0|
||2017|38412.0|1257003.0|106925.0|0.0|2581571.0|
||2018|39691.0|1164578.0|112708.0|0.0|2583988.0|
||2019|38675.0|1164325.0|104363.0|0.0|2570151.0|
||2020|39018.0|1041292.0|109945.0|0.0|2608564.0|
||2021|40012.0|830500.0|112818.0|0.0|2861918.0|
|Amasya-5|2004|40530.0|201700.0|192660.0|0.0|1859030.0|
||2005|40650.0|185750.0|158070.0|0.0|1920510.0|
||2006|41935.0|166851.0|151335.0|0.0|1884604.0|
||2007|44945.0|169817.0|159586.0|0.0|1812079.0|
||2008|47050.0|177204.0|168680.0|0.0|1805596.0|
||2009|48235.0|163338.0|148127.0|0.0|1799725.0|
||2010|51037.0|158743.0|156206.0|0.0|1804413.0|
||2011|54134.0|133832.0|168017.0|0.0|1832072.0|
||2012|57608.0|212160.0|166436.0|0.0|1812567.0|
||2013|62170.0|243451.0|141001.0|0.0|1781679.0|
||2014|63087.0|340089.0|124769.0|0.0|1783646.0|
||2015|63225.0|344685.0|112997.0|0.0|1801146.0|
||2016|67473.0|332559.0|110155.0|0.0|1793943.0|
||2017|73040.0|322680.0|103672.0|0.0|1796025.0|
||2018|75165.0|311591.0|100259.0|0.0|1799753.0|
||2019|74861.0|317406.0|115876.0|0.0|1798892.0|
||2020|76697.0|273755.0|123807.0|0.0|1835725.0|
||2021|79414.0|333476.0|110801.0|0.0|1895612.0|
|Ankara-6|2004|267550.0|3208010.0|456690.0|0.0|8705240.0|
||2005|241760.0|3208540.0|455410.0|0.0|8735620.0|
||2006|224339.0|3100938.0|429409.0|0.0|8495897.0|
||2007|237815.0|3238396.0|433151.0|0.0|8144010.0|
||2008|221237.0|3317061.0|438078.0|0.0|7988590.0|
||2009|265237.0|3176118.0|476573.0|0.0|7877277.0|
||2010|254875.0|3146567.0|466794.0|0.0|7686798.0|
||2011|261367.0|3188041.0|479874.0|213.5|7869769.0|
||2012|306806.0|3250485.0|463936.0|323.7|7527604.0|
||2013|322198.0|3321444.0|448267.0|327.8|7953704.0|
||2014|299799.0|3365276.0|435285.0|367.6|8113348.0|
||2015|323116.0|3268403.0|427103.0|348.6|8226090.0|
||2016|326499.0|3175394.0|426622.0|318.6|8131326.0|
||2017|289715.0|3201356.0|422974.0|312.2|7907800.0|
||2018|296544.0|3108752.0|373307.0|280.9|8125674.0|
||2019|315976.0|2936645.0|419315.0|280.9|7879730.0|
||2020|275559.0|2759891.0|419944.0|305.9|8068326.0|
||2021|249323.0|2642779.0|415975.0|343.4|8327982.0|
|Antalya-7|2004|532700.0|458670.0|419620.0|0.0|2502760.0|
||2005|541260.0|486250.0|416520.0|0.0|2423280.0|
||2006|559705.0|485982.0|415485.0|0.0|2318668.0|
||2007|562220.0|485775.0|438604.0|0.0|2240160.0|
||2008|593775.0|420855.0|471796.0|0.0|2245727.0|
||2009|618214.0|376057.0|452275.0|0.0|2119885.0|
||2010|632573.0|381919.0|451804.0|0.0|2206217.0|
||2011|654569.0|411678.0|455264.0|5153.7|2076662.0|
||2012|701535.0|422591.0|471602.0|5200.7|2080859.0|
||2013|712197.0|382196.0|469056.0|5636.9|2078252.0|
||2014|726296.0|392489.0|479866.0|5687.3|2062215.0|
||2015|739474.0|390870.0|490730.0|5509.5|2044376.0|
||2016|747868.0|543762.0|506674.0|5506.0|1846305.0|
||2017|758497.0|521596.0|510985.0|5497.5|1801839.0|
||2018|771375.0|506462.0|508418.0|5959.1|1808837.0|
||2019|797144.0|523771.0|501165.0|5943.6|1789946.0|
||2020|821731.0|516007.0|502804.0|5891.2|1802797.0|
||2021|851159.0|395080.0|493193.0|6069.5|1810922.0|
|Ardahan-75|2004|1570.0|13500.0|1990.0|0.0|424300.0|
||2005|1570.0|12500.0|1240.0|0.0|406970.0|
||2006|1650.0|12500.0|1770.0|0.0|401286.0|
||2007|1650.0|99046.0|281.0|0.0|610534.0|
||2008|1592.0|103679.0|280.0|0.0|591874.0|
||2009|722.0|102412.0|250.0|0.0|609231.0|
||2010|692.0|14427.0|99.0|0.0|383675.0|
||2011|672.0|3385.0|27.0|0.0|569081.0|
||2012|639.0|57179.0|140.0|0.0|665103.0|
||2013|687.0|45631.0|110.0|0.0|542204.0|
||2014|770.0|91481.0|120.0|0.0|237154.0|
||2015|538.0|89631.0|92.0|0.0|225414.0|
||2016|528.0|40224.0|81.0|0.0|240991.0|
||2017|592.0|89124.0|160.0|0.0|270929.0|
||2018|593.0|50333.0|111.0|0.0|338456.0|
||2019|472.0|41526.0|111.0|0.0|367013.0|
||2020|502.0|13709.0|90.0|0.0|413683.0|
||2021|831.0|1617.0|133.0|0.0|722483.0|
